State,Residence_Type,Gender,Education level,Labor force participation rate according to usual status based on different general education level,Working population rate according to usual status based on different general education level,Unemployment rate according to usual status based on different general education level
Bihar,Rural,Male,Higher Secondary,45.8,42.8,6.6
Bihar,Rural,Male,Literate & Upto Primary,85.8,83.6,2.5
Bihar,Rural,Male,Middle,69,65.7,4.9
Bihar,Rural,Male,Not Literate,90.3,87.7,2.9
Bihar,Rural,Male,Post Graduate & Above,86.7,74.2,14.3
Bihar,Rural,Male,Secondary,56,53.6,4.3
Bihar,Rural,Male,Secondary & Above,58.9,53.1,9.8
Bihar,Rural,Person,All,42.1,40.1,4.7
Bihar,Rural,Person,Diploma/Certificate Course,56.4,1.3,97.7
Bihar,Rural,Person,Graduate,63,50.8,19.3
Bihar,Rural,Person,Higher Secondary,31.1,29.1,6.4
Bihar,Rural,Person,Literate & Upto Primary,46.6,45.5,2.3
Bihar,Rural,Person,Middle,44.7,42.7,4.6
Bihar,Rural,Person,Not Literate,40.7,39.8,2.3
Bihar,Rural,Person,Post Graduate & Above,77.7,67.5,13.1
Bihar,Rural,Person,Secondary,35.1,33.6,4.2
Bihar,Rural,Person,Secondary & Above,39.6,35.8,9.6
Bihar,Total,Female,All,9.5,9.4,1.7
Bihar,Total,Female,Diploma/Certificate Course,100,0,100
Bihar,Total,Female,Graduate,13.4,10.9,18.2
Bihar,Total,Female,Higher Secondary,3.8,3.8,1.7
Bihar,Total,Female,Literate & Upto Primary,7.9,7.7,1.5
Bihar,Total,Female,Middle,5.8,5.7,0.7
Bihar,Total,Female,Not Literate,13.3,13.3,0
Bihar,Total,Female,Post Graduate & Above,40.4,31.7,21.4
Bihar,Total,Female,Secondary,2.8,2.8,0
Bihar,Total,Female,Secondary & Above,5.5,5,10.4
Bihar,Total,Male,All,73,69,5.6
Bihar,Total,Male,Diploma/Certificate Course,57.8,8.7,84.9
Bihar,Total,Male,Graduate,80.4,64.3,20
Bihar,Total,Male,Higher Secondary,46.1,43,6.8
Bihar,Total,Male,Literate & Upto Primary,85.7,83.6,2.5
Bihar,Total,Male,Middle,69.1,65.5,5.2
Bihar,Total,Male,Not Literate,90,87.2,3.1
Bihar,Total,Male,Post Graduate & Above,84,75.1,10.7
Bihar,Total,Male,Secondary,56.4,54.2,4
Bihar,Total,Male,Secondary & Above,59.3,53.4,10
Bihar,Total,Person,All,41.8,39.7,5.1
Bihar,Total,Person,Diploma/Certificate Course,57.8,8.7,84.9
Bihar,Total,Person,Graduate,60.3,48.3,19.9
Bihar,Total,Person,Higher Secondary,30.3,28.3,6.6
Bihar,Total,Person,Literate & Upto Primary,46.6,45.5,2.4
Bihar,Total,Person,Middle,44,41.8,5
Bihar,Total,Person,Not Literate,40.6,39.6,2.5
Bihar,Total,Person,Post Graduate & Above,72.5,63.6,12.3
Bihar,Total,Person,Secondary,34.8,33.5,3.9
Bihar,Total,Person,Secondary & Above,39.5,35.5,10
Bihar,Urban,Female,All,8.4,7.4,11.9
Bihar,Urban,Female,Diploma/Certificate Course,100,0,100
Bihar,Urban,Female,Graduate,16.6,12.2,26.8
Bihar,Urban,Female,Higher Secondary,2.2,2.2,0
Bihar,Urban,Female,Literate & Upto Primary,7,5.6,20
Bihar,Urban,Female,Middle,4.2,3.9,7.6
Bihar,Urban,Female,Not Literate,11.7,11.7,0
Bihar,Urban,Female,Post Graduate & Above,42.7,29.3,31.5
Bihar,Urban,Female,Secondary,3.8,3.8,0
Bihar,Urban,Female,Secondary & Above,8.4,6.6,21.1
Bihar,Urban,Male,All,69.2,63.5,8.2
Bihar,Urban,Male,Diploma/Certificate Course,60.9,25.8,57.7
Bihar,Urban,Male,Graduate,72.1,56.7,21.3
Bihar,Urban,Male,Higher Secondary,47.8,44.1,7.6
Bihar,Urban,Male,Literate & Upto Primary,84.9,83.1,2.1
Bihar,Urban,Male,Middle,70.3,64.2,8.7
Bihar,Urban,Male,Not Literate,86.2,81.3,5.7
Bihar,Urban,Male,Post Graduate & Above,80.3,76.2,5.1
Bihar,Urban,Male,Secondary,59.3,58,2.1
Bihar,Urban,Male,Secondary & Above,61.1,54.6,10.7
Bihar,Urban,Person,All,39.6,36.2,8.6
Bihar,Urban,Person,Diploma/Certificate Course,61.2,25.6,58.1
Bihar,Urban,Person,Graduate,52.2,40.8,21.9
Bihar,Urban,Person,Higher Secondary,27.1,25.1,7.3
Bihar,Urban,Person,Literate & Upto Primary,46.7,45.1,3.4
Bihar,Urban,Person,Middle,37.7,34.4,8.7
Bihar,Urban,Person,Not Literate,39.2,37.4,4.6
Bihar,Urban,Person,Post Graduate & Above,66.8,59.4,11.1
Bihar,Urban,Person,Secondary,33.3,32.7,2
Bihar,Urban,Person,Secondary & Above,38.7,34.2,11.6
Sikkim,Rural,Female,All,55,54,1.8
Sikkim,Rural,Female,Diploma/Certificate Course,100,100,0
Sikkim,Rural,Female,Graduate,86.3,84,2.6
Sikkim,Rural,Female,Higher Secondary,47.6,43,9.7
Sikkim,Rural,Female,Literate & Upto Primary,69.8,69.8,0
Sikkim,Rural,Female,Middle,47.1,47.1,0
Sikkim,Rural,Female,Not Literate,55,55,0
Sikkim,Rural,Female,Post Graduate & Above,100,94,6
Sikkim,Rural,Female,Secondary,23.4,19.4,17
Sikkim,Rural,Female,Secondary & Above,47.3,43.4,8.3
Sikkim,Rural,Male,All,73,70.9,3
Sikkim,Rural,Male,Diploma/Certificate Course,91.8,91.8,0
Sikkim,Rural,Male,Graduate,90.9,82.5,9.2
Sikkim,Rural,Male,Higher Secondary,87.2,86,1.4
Sikkim,Rural,Male,Literate & Upto Primary,86.4,84.2,2.6
Sikkim,Rural,Male,Middle,61.1,60,1.9
Sikkim,Rural,Male,Not Literate,64.4,64.4,0
Sikkim,Rural,Male,Post Graduate & Above,100,100,0
Sikkim,Rural,Male,Secondary,57.5,53.2,7.5
Sikkim,Rural,Male,Secondary & Above,73.9,70.1,5.2
Sikkim,Rural,Person,All,64.6,63,2.5
Sikkim,Rural,Person,Diploma/Certificate Course,95.3,95.3,0
Sikkim,Rural,Person,Graduate,88.9,83.1,6.5
Sikkim,Rural,Person,Higher Secondary,72.1,69.6,3.5
Sikkim,Rural,Person,Literate & Upto Primary,79,77.7,1.5
Sikkim,Rural,Person,Middle,54.2,53.6,1.1
Sikkim,Rural,Person,Not Literate,59.1,59.1,0
Sikkim,Rural,Person,Post Graduate & Above,100,94.8,5.2
Sikkim,Rural,Person,Secondary,43.7,39.5,9.5
Sikkim,Rural,Person,Secondary & Above,62.9,59.1,6.1
Sikkim,Total,Female,All,50.3,48.9,2.8
Sikkim,Total,Female,Diploma/Certificate Course,100,100,0
Sikkim,Total,Female,Graduate,79.1,73.4,7.1
Sikkim,Total,Female,Higher Secondary,43.7,40.4,7.6
Sikkim,Total,Female,Literate & Upto Primary,63.5,63.5,0
Sikkim,Total,Female,Middle,44.1,43.7,0.9
Sikkim,Total,Female,Not Literate,48.6,48.6,0
Sikkim,Total,Female,Post Graduate & Above,79.2,73,7.8
Sikkim,Total,Female,Secondary,25.3,21,17
Sikkim,Total,Female,Secondary & Above,46.1,41.8,9.4
Sikkim,Total,Male,All,73.9,71.5,3.2
Sikkim,Total,Male,Diploma/Certificate Course,88.8,88.8,0
Sikkim,Total,Male,Graduate,89.1,80.9,9.2
Sikkim,Total,Male,Higher Secondary,77,75.7,1.7
Sikkim,Total,Male,Literate & Upto Primary,87.3,84.2,3.5
Sikkim,Total,Male,Middle,68.1,67.2,1.3
Sikkim,Total,Male,Not Literate,65.6,65.6,0
Sikkim,Total,Male,Post Graduate & Above,71.7,65.8,8.2
Sikkim,Total,Male,Secondary,60.1,56.7,5.7
Sikkim,Total,Male,Secondary & Above,73.3,69.5,5.1
Sikkim,Total,Person,All,63,61.1,3.1
Sikkim,Total,Person,Diploma/Certificate Course,92.8,92.8,0
Sikkim,Total,Person,Graduate,85,77.9,8.4
Sikkim,Total,Person,Higher Secondary,63.9,61.8,3.3
Sikkim,Total,Person,Literate & Upto Primary,76.6,74.9,2.2
Sikkim,Total,Person,Middle,56.9,56.2,1.1
Sikkim,Total,Person,Not Literate,55.8,55.8,0
Sikkim,Total,Person,Post Graduate & Above,75.8,69.7,8
Sikkim,Total,Person,Secondary,44.4,40.6,8.6
Sikkim,Total,Person,Secondary & Above,61.7,57.7,6.5
Sikkim,Urban,Female,All,36.6,33.9,7.5
Sikkim,Urban,Female,Diploma/Certificate Course,100,100,0
Sikkim,Urban,Female,Graduate,70.9,61.5,13.3
Sikkim,Urban,Female,Higher Secondary,38.2,36.7,4
Sikkim,Urban,Female,Literate & Upto Primary,29.5,29.5,0
Sikkim,Urban,Female,Middle,34.4,32.8,4.8
Sikkim,Urban,Female,Not Literate,21.3,21.3,0
Sikkim,Urban,Female,Post Graduate & Above,54.6,48.2,11.8
Sikkim,Urban,Female,Secondary,29,24.1,17
Sikkim,Urban,Female,Secondary & Above,44.3,39.3,11.3
Sikkim,Urban,Male,All,76.1,73.2,3.9
Sikkim,Urban,Male,Diploma/Certificate Course,83.1,83.1,0
Sikkim,Urban,Male,Graduate,87.5,79.4,9.2
Sikkim,Urban,Male,Higher Secondary,60.5,59.1,2.3
Sikkim,Urban,Male,Literate & Upto Primary,92.1,84.3,8.4
Sikkim,Urban,Male,Middle,83.1,82.9,0.3
Sikkim,Urban,Male,Not Literate,72.4,72.4,0
Sikkim,Urban,Male,Post Graduate & Above,68.4,61.9,9.5
Sikkim,Urban,Male,Secondary,70.4,70.4,0
Sikkim,Urban,Male,Secondary & Above,72.1,68.4,5.1
Sikkim,Urban,Person,All,58.7,55.9,4.9
Sikkim,Urban,Person,Diploma/Certificate Course,86.3,86.3,0
Sikkim,Urban,Person,Graduate,81.2,72.7,10.5
Sikkim,Urban,Person,Higher Secondary,51.3,49.8,2.8
Sikkim,Urban,Person,Literate & Upto Primary,63.8,59.6,6.7
Sikkim,Urban,Person,Middle,63.9,63.1,1.2
Sikkim,Urban,Person,Not Literate,40.2,40.2,0
Sikkim,Urban,Person,Post Graduate & Above,63.2,56.7,10.3
Sikkim,Urban,Person,Secondary,46.5,43.6,6.1
Sikkim,Urban,Person,Secondary & Above,59.8,55.5,7.1
Sikkim,Rural,Female,All,65.8,64.9,1.4
Sikkim,Rural,Female,Diploma/Certificate Course,64.1,12.6,80.3
Sikkim,Rural,Female,Graduate,85.5,81.2,5.1
Sikkim,Rural,Female,Higher Secondary,65,61.8,5
Sikkim,Rural,Female,Literate & Upto Primary,67.7,67.7,0
Sikkim,Rural,Female,Middle,75.2,75.2,0
Sikkim,Rural,Female,Not Literate,58.3,58.3,0
Sikkim,Rural,Female,Post Graduate & Above,79.2,79.2,0
Sikkim,Rural,Female,Secondary,48,48,0
Sikkim,Rural,Female,Secondary & Above,64.4,61.6,4.4
Sikkim,Rural,Male,All,79.6,77.7,2.5
Sikkim,Rural,Male,Diploma/Certificate Course,61.3,61.3,0
Sikkim,Rural,Male,Graduate,100,81.5,18.5
Sikkim,Rural,Male,Higher Secondary,72.7,67.3,7.3
Sikkim,Rural,Male,Literate & Upto Primary,89.1,89.1,0
Sikkim,Rural,Male,Middle,70.6,70.4,0.2
Sikkim,Rural,Male,Not Literate,77.5,77.5,0
Sikkim,Rural,Male,Post Graduate & Above,100,96.2,3.8
Sikkim,Rural,Male,Secondary,63.5,62,2.4
Sikkim,Rural,Male,Secondary & Above,75.2,69,8.3
Sikkim,Rural,Person,All,73.2,71.7,2
Sikkim,Rural,Person,Diploma/Certificate Course,62.3,44.4,28.7
Sikkim,Rural,Person,Graduate,93.1,81.3,12.6
Sikkim,Rural,Person,Higher Secondary,68.8,64.5,6.2
Sikkim,Rural,Person,Literate & Upto Primary,80.7,80.7,0
Sikkim,Rural,Person,Middle,72.7,72.6,0.1
Sikkim,Rural,Person,Not Literate,66.4,66.4,0
Sikkim,Rural,Person,Post Graduate & Above,86.9,85.5,1.6
Sikkim,Rural,Person,Secondary,56.8,56,1.5
Sikkim,Rural,Person,Secondary & Above,70.1,65.5,6.6
Sikkim,Total,Female,All,59.4,58.5,1.7
Sikkim,Total,Female,Diploma/Certificate Course,61.6,41.5,32.7
Sikkim,Total,Female,Graduate,74.5,69.1,7.1
Sikkim,Total,Female,Higher Secondary,52.4,50.1,4.4
Sikkim,Total,Female,Literate & Upto Primary,62.1,62.1,0
Sikkim,Total,Female,Middle,64.2,64.2,0
Sikkim,Total,Female,Not Literate,54.8,54.8,0
Sikkim,Total,Female,Post Graduate & Above,76.1,76.1,0
Sikkim,Total,Female,Secondary,45.8,45.8,0
Sikkim,Total,Female,Secondary & Above,57.9,55.3,4.5
Sikkim,Total,Male,All,79.8,77.8,2.5
Sikkim,Total,Male,Diploma/Certificate Course,63.3,63.3,0
Sikkim,Total,Male,Graduate,93.6,80.4,14.1
Sikkim,Total,Male,Higher Secondary,69.2,65,6.1
Sikkim,Total,Male,Literate & Upto Primary,89.8,89.6,0.2
Sikkim,Total,Male,Middle,71.9,71.8,0.2
Sikkim,Total,Male,Not Literate,77.1,76.6,0.7
Sikkim,Total,Male,Post Graduate & Above,95.5,91.8,3.8
Sikkim,Total,Male,Secondary,70.2,68.4,2.6
Sikkim,Total,Male,Secondary & Above,76.9,71.6,6.8
Sikkim,Total,Person,All,70.4,68.8,2.2
Sikkim,Total,Person,Diploma/Certificate Course,62.6,53.9,13.9
Sikkim,Total,Person,Graduate,84.2,74.9,11.1
Sikkim,Total,Person,Higher Secondary,60.3,57.1,5.3
Sikkim,Total,Person,Literate & Upto Primary,78.3,78.2,0.1
Sikkim,Total,Person,Middle,68.7,68.6,0.1
Sikkim,Total,Person,Not Literate,64.3,64.1,0.4
Sikkim,Total,Person,Post Graduate & Above,85.5,83.7,2.1
Sikkim,Total,Person,Secondary,60.1,59.1,1.8
Sikkim,Total,Person,Secondary & Above,67.8,63.8,5.9
Sikkim,Urban,Female,All,41.2,40,3
Sikkim,Urban,Female,Diploma/Certificate Course,59.9,59.9,0
Sikkim,Urban,Female,Graduate,62.2,55.9,10.2
Sikkim,Urban,Female,Higher Secondary,30.1,29.4,2.2
Sikkim,Urban,Female,Literate & Upto Primary,40.4,40.4,0
Sikkim,Urban,Female,Middle,30.3,30.3,0
Sikkim,Urban,Female,Not Literate,23.3,23.3,0
Sikkim,Urban,Female,Post Graduate & Above,72.1,72.1,0
Sikkim,Urban,Female,Secondary,40.2,40.2,0
Sikkim,Urban,Female,Secondary & Above,47.2,44.9,4.7
Sikkim,Urban,Male,All,80.4,78.2,2.8
Sikkim,Urban,Male,Diploma/Certificate Course,65.9,65.9,0
Sikkim,Urban,Male,Graduate,85.6,79.1,7.6
Sikkim,Urban,Male,Higher Secondary,60.5,59,2.5
Sikkim,Urban,Male,Literate & Upto Primary,94.8,93.5,1.4
Sikkim,Urban,Male,Middle,74.7,74.7,0
Sikkim,Urban,Male,Not Literate,74.3,69.8,6
Sikkim,Urban,Male,Post Graduate & Above,93,89.4,3.9
Sikkim,Urban,Male,Secondary,84.4,81.9,2.9
Sikkim,Urban,Male,Secondary & Above,79.7,76.3,4.3
Sikkim,Urban,Person,All,62,60.2,2.9
Sikkim,Urban,Person,Diploma/Certificate Course,62.9,62.9,0
Sikkim,Urban,Person,Graduate,73.6,67.2,8.7
Sikkim,Urban,Person,Higher Secondary,42.6,41.6,2.4
Sikkim,Urban,Person,Literate & Upto Primary,65.7,65.1,0.9
Sikkim,Urban,Person,Middle,58.8,58.8,0
Sikkim,Urban,Person,Not Literate,47.5,45.4,4.4
Sikkim,Urban,Person,Post Graduate & Above,84.3,82.2,2.5
Sikkim,Urban,Person,Secondary,67.7,66.1,2.3
Sikkim,Urban,Person,Secondary & Above,63.9,61,4.5
Arunachal Pradesh,Rural,Female,All,17.6,15.4,12.2
Arunachal Pradesh,Rural,Female,Diploma/Certificate Course,0,0,0
Arunachal Pradesh,Rural,Female,Graduate,68.9,25.9,62.4
Arunachal Pradesh,Rural,Female,Higher Secondary,17,11.1,34.7
Arunachal Pradesh,Rural,Female,Literate & Upto Primary,26.9,25.3,5.8
Arunachal Pradesh,Rural,Female,Middle,15.1,13.8,8.7
Arunachal Pradesh,Rural,Female,Not Literate,12.4,12.2,1.8
Arunachal Pradesh,Rural,Female,Post Graduate & Above,100,45.6,54.4
Arunachal Pradesh,Rural,Female,Secondary,7.9,6.5,16.9
Arunachal Pradesh,Rural,Female,Secondary & Above,17.7,10.2,42.4
Arunachal Pradesh,Rural,Male,All,66.3,62.3,6.1
Arunachal Pradesh,Rural,Male,Diploma/Certificate Course,0,0,0
Arunachal Pradesh,Rural,Male,Graduate,74.6,57.8,22.5
Arunachal Pradesh,Rural,Male,Higher Secondary,51.9,46.6,10.3
Arunachal Pradesh,Rural,Male,Literate & Upto Primary,95.2,90.2,5.2
Arunachal Pradesh,Rural,Male,Middle,62.6,60.8,2.8
Arunachal Pradesh,Rural,Male,Not Literate,83.1,81.2,2.4
Arunachal Pradesh,Rural,Male,Post Graduate & Above,100,100,0
Arunachal Pradesh,Rural,Male,Secondary,43.7,41,6.3
Arunachal Pradesh,Rural,Male,Secondary & Above,52.5,46.2,11.9
Arunachal Pradesh,Rural,Person,All,44.9,41.7,7.1
Arunachal Pradesh,Rural,Person,Diploma/Certificate Course,0,0,0
Arunachal Pradesh,Rural,Person,Graduate,73.5,51.6,29.8
Arunachal Pradesh,Rural,Person,Higher Secondary,45,39.6,12.1
Arunachal Pradesh,Rural,Person,Literate & Upto Primary,56.5,53.5,5.4
Arunachal Pradesh,Rural,Person,Middle,44.1,42.5,3.6
Arunachal Pradesh,Rural,Person,Not Literate,38.5,37.6,2.3
Arunachal Pradesh,Rural,Person,Post Graduate & Above,100,55.7,44.3
Arunachal Pradesh,Rural,Person,Secondary,31.1,28.9,7.3
Arunachal Pradesh,Rural,Person,Secondary & Above,43.2,36.7,15.2
Arunachal Pradesh,Total,Female,All,17.1,14.6,14.8
Arunachal Pradesh,Total,Female,Diploma/Certificate Course,0,0,0
Arunachal Pradesh,Total,Female,Graduate,57.5,25.8,55.1
Arunachal Pradesh,Total,Female,Higher Secondary,16.1,10.8,32.8
Arunachal Pradesh,Total,Female,Literate & Upto Primary,24.6,23.3,5.5
Arunachal Pradesh,Total,Female,Middle,14.3,13.1,8.3
Arunachal Pradesh,Total,Female,Not Literate,11.5,11.3,2.3
Arunachal Pradesh,Total,Female,Post Graduate & Above,80.8,28.5,64.8
Arunachal Pradesh,Total,Female,Secondary,8.8,7.5,15.1
Arunachal Pradesh,Total,Female,Secondary & Above,19.7,11.6,41
Arunachal Pradesh,Total,Male,All,66.2,62,6.3
Arunachal Pradesh,Total,Male,Diploma/Certificate Course,100,100,0
Arunachal Pradesh,Total,Male,Graduate,76.4,59.7,21.8
Arunachal Pradesh,Total,Male,Higher Secondary,51.5,46.5,9.6
Arunachal Pradesh,Total,Male,Literate & Upto Primary,94.2,89.7,4.7
Arunachal Pradesh,Total,Male,Middle,62.3,60.6,2.7
Arunachal Pradesh,Total,Male,Not Literate,82.9,81,2.3
Arunachal Pradesh,Total,Male,Post Graduate & Above,93.9,62.5,33.4
Arunachal Pradesh,Total,Male,Secondary,46.3,43.6,6
Arunachal Pradesh,Total,Male,Secondary & Above,54.6,48.1,11.9
Arunachal Pradesh,Total,Person,All,44.3,40.9,7.7
Arunachal Pradesh,Total,Person,Diploma/Certificate Course,100,100,0
Arunachal Pradesh,Total,Person,Graduate,71.9,51.6,28.2
Arunachal Pradesh,Total,Person,Higher Secondary,42.9,37.8,11.7
Arunachal Pradesh,Total,Person,Literate & Upto Primary,54.8,52.2,4.9
Arunachal Pradesh,Total,Person,Middle,43.2,41.7,3.4
Arunachal Pradesh,Total,Person,Not Literate,36.9,36,2.3
Arunachal Pradesh,Total,Person,Post Graduate & Above,84.9,39.1,54
Arunachal Pradesh,Total,Person,Secondary,32.4,30.1,6.9
Arunachal Pradesh,Total,Person,Secondary & Above,44.1,37.1,15.8
Arunachal Pradesh,Urban,Female,All,14.9,10.7,28.4
Arunachal Pradesh,Urban,Female,Diploma/Certificate Course,0,0,0
Arunachal Pradesh,Urban,Female,Graduate,45.3,25.8,43.1
Arunachal Pradesh,Urban,Female,Higher Secondary,14.6,10.3,29.2
Arunachal Pradesh,Urban,Female,Literate & Upto Primary,9.4,9.4,0
Arunachal Pradesh,Urban,Female,Middle,10.5,10,5.2
Arunachal Pradesh,Urban,Female,Not Literate,4.2,3.4,17.2
Arunachal Pradesh,Urban,Female,Post Graduate & Above,78.3,26.2,66.5
Arunachal Pradesh,Urban,Female,Secondary,11.5,10.2,11.3
Arunachal Pradesh,Urban,Female,Secondary & Above,23.6,14.4,39.1
Arunachal Pradesh,Urban,Male,All,65.3,60.5,7.4
Arunachal Pradesh,Urban,Male,Diploma/Certificate Course,100,100,0
Arunachal Pradesh,Urban,Male,Graduate,80,63.7,20.4
Arunachal Pradesh,Urban,Male,Higher Secondary,49.8,46.3,6.9
Arunachal Pradesh,Urban,Male,Literate & Upto Primary,87.3,86.4,1.1
Arunachal Pradesh,Urban,Male,Middle,60.4,59.2,2
Arunachal Pradesh,Urban,Male,Not Literate,77.7,77.7,0
Arunachal Pradesh,Urban,Male,Post Graduate & Above,93.5,60.2,35.6
Arunachal Pradesh,Urban,Male,Secondary,58.5,55.7,4.8
Arunachal Pradesh,Urban,Male,Secondary & Above,62.1,54.6,12.1
Arunachal Pradesh,Urban,Person,All,41.3,36.8,11
Arunachal Pradesh,Urban,Person,Diploma/Certificate Course,100,100,0
Arunachal Pradesh,Urban,Person,Graduate,68.9,51.6,25.1
Arunachal Pradesh,Urban,Person,Higher Secondary,36,32.3,10.4
Arunachal Pradesh,Urban,Person,Literate & Upto Primary,43.6,43.2,0.9
Arunachal Pradesh,Urban,Person,Middle,38.1,37.2,2.4
Arunachal Pradesh,Urban,Person,Not Literate,19.3,18.7,2.9
Arunachal Pradesh,Urban,Person,Post Graduate & Above,83.3,37.3,55.2
Arunachal Pradesh,Urban,Person,Secondary,37.1,35,5.7
Arunachal Pradesh,Urban,Person,Secondary & Above,46.5,38.3,17.7
Arunachal Pradesh,Rural,Female,All,24.1,21.9,9.2
Arunachal Pradesh,Rural,Female,Diploma/Certificate Course,100,100,0
Arunachal Pradesh,Rural,Female,Graduate,77.9,40.2,48.3
Arunachal Pradesh,Rural,Female,Higher Secondary,25,18.8,24.7
Arunachal Pradesh,Rural,Female,Literate & Upto Primary,24.9,24.4,2.3
Arunachal Pradesh,Rural,Female,Middle,21.9,20.7,5.6
Arunachal Pradesh,Rural,Female,Not Literate,22.9,22.7,0.8
Arunachal Pradesh,Rural,Female,Post Graduate & Above,62.4,53.2,14.7
Arunachal Pradesh,Rural,Female,Secondary,16,13.1,18.2
Arunachal Pradesh,Rural,Female,Secondary & Above,27.7,19.6,29.3
Arunachal Pradesh,Rural,Male,All,68.9,65.1,5.4
Arunachal Pradesh,Rural,Male,Diploma/Certificate Course,0,0,0
Arunachal Pradesh,Rural,Male,Graduate,82.5,65.3,20.9
Arunachal Pradesh,Rural,Male,Higher Secondary,58.6,52.7,9.9
Arunachal Pradesh,Rural,Male,Literate & Upto Primary,78.2,77.6,0.8
Arunachal Pradesh,Rural,Male,Middle,63,61.2,2.9
Arunachal Pradesh,Rural,Male,Not Literate,86.8,86.8,0
Arunachal Pradesh,Rural,Male,Post Graduate & Above,91.1,34.6,62.1
Arunachal Pradesh,Rural,Male,Secondary,48.6,44.1,9.3
Arunachal Pradesh,Rural,Male,Secondary & Above,60.6,52,14.2
Arunachal Pradesh,Rural,Person,All,48.2,45.2,6.3
Arunachal Pradesh,Rural,Person,Diploma/Certificate Course,100,100,0
Arunachal Pradesh,Rural,Person,Graduate,81.5,60.1,26.2
Arunachal Pradesh,Rural,Person,Higher Secondary,48.1,42.1,12.3
Arunachal Pradesh,Rural,Person,Literate & Upto Primary,51.3,50.7,1.2
Arunachal Pradesh,Rural,Person,Middle,44.5,43,3.5
Arunachal Pradesh,Rural,Person,Not Literate,47.9,47.8,0.2
Arunachal Pradesh,Rural,Person,Post Graduate & Above,79.2,42.3,46.5
Arunachal Pradesh,Rural,Person,Secondary,35.4,31.6,10.9
Arunachal Pradesh,Rural,Person,Secondary & Above,49.7,41.2,17
Arunachal Pradesh,Total,Female,All,22.9,20.8,9.5
Arunachal Pradesh,Total,Female,Diploma/Certificate Course,100,100,0
Arunachal Pradesh,Total,Female,Graduate,64.3,39.9,37.9
Arunachal Pradesh,Total,Female,Higher Secondary,23.4,18.9,19.6
Arunachal Pradesh,Total,Female,Literate & Upto Primary,22.5,22,2.2
Arunachal Pradesh,Total,Female,Middle,20.1,19,5.6
Arunachal Pradesh,Total,Female,Not Literate,21.7,21.5,0.8
Arunachal Pradesh,Total,Female,Post Graduate & Above,69.2,54.9,20.7
Arunachal Pradesh,Total,Female,Secondary,15.2,13,14.3
Arunachal Pradesh,Total,Female,Secondary & Above,27.5,20.8,24.6
Arunachal Pradesh,Total,Male,All,68.8,64.7,5.9
Arunachal Pradesh,Total,Male,Diploma/Certificate Course,73,73,0
Arunachal Pradesh,Total,Male,Graduate,83.1,66.5,19.9
Arunachal Pradesh,Total,Male,Higher Secondary,58,53.1,8.5
Arunachal Pradesh,Total,Male,Literate & Upto Primary,78.7,77.8,1.1
Arunachal Pradesh,Total,Male,Middle,63.1,60.8,3.6
Arunachal Pradesh,Total,Male,Not Literate,86.4,86.4,0
Arunachal Pradesh,Total,Male,Post Graduate & Above,87.9,49.5,43.7
Arunachal Pradesh,Total,Male,Secondary,50.3,45.9,8.8
Arunachal Pradesh,Total,Male,Secondary & Above,62.2,53.8,13.4
Arunachal Pradesh,Total,Person,All,47.5,44.3,6.7
Arunachal Pradesh,Total,Person,Diploma/Certificate Course,88.2,88.2,0
Arunachal Pradesh,Total,Person,Graduate,78.1,59.4,23.9
Arunachal Pradesh,Total,Person,Higher Secondary,46.1,41.3,10.5
Arunachal Pradesh,Total,Person,Literate & Upto Primary,50.3,49.6,1.4
Arunachal Pradesh,Total,Person,Middle,43.8,42,4
Arunachal Pradesh,Total,Person,Not Literate,46.3,46.2,0.2
Arunachal Pradesh,Total,Person,Post Graduate & Above,81.1,51.5,36.5
Arunachal Pradesh,Total,Person,Secondary,35.3,31.9,9.8
Arunachal Pradesh,Total,Person,Secondary & Above,49.7,41.9,15.7
Arunachal Pradesh,Urban,Female,All,17.7,15.6,11.4
Arunachal Pradesh,Urban,Female,Diploma/Certificate Course,100,100,0
Arunachal Pradesh,Urban,Female,Graduate,51.4,39.6,23
Arunachal Pradesh,Urban,Female,Higher Secondary,20.3,19,6.4
Arunachal Pradesh,Urban,Female,Literate & Upto Primary,5,5,0
Arunachal Pradesh,Urban,Female,Middle,11.2,10.6,5.3
Arunachal Pradesh,Urban,Female,Not Literate,11.3,11.1,1.2
Arunachal Pradesh,Urban,Female,Post Graduate & Above,80.6,57.6,28.5
Arunachal Pradesh,Urban,Female,Secondary,12.8,12.7,1
Arunachal Pradesh,Urban,Female,Secondary & Above,27.2,23.2,14.8
Arunachal Pradesh,Urban,Male,All,68.6,62.8,8.4
Arunachal Pradesh,Urban,Male,Diploma/Certificate Course,73,73,0
Arunachal Pradesh,Urban,Male,Graduate,84.3,69,18.1
Arunachal Pradesh,Urban,Male,Higher Secondary,56.3,54.3,3.5
Arunachal Pradesh,Urban,Male,Literate & Upto Primary,82.3,79.5,3.3
Arunachal Pradesh,Urban,Male,Middle,63.5,58.9,7.2
Arunachal Pradesh,Urban,Male,Not Literate,80.8,80.8,0
Arunachal Pradesh,Urban,Male,Post Graduate & Above,84.7,64.7,23.6
Arunachal Pradesh,Urban,Male,Secondary,57.4,53.4,6.9
Arunachal Pradesh,Urban,Male,Secondary & Above,66.9,59.3,11.3
Arunachal Pradesh,Urban,Person,All,44.3,40.3,9
