State,Residence_Type,Gender,Attendance type,Level of education,Attendance ratio (%)
Delhi,Urban,Male,Gross Attendance Ratio,Secondary Level,86.6
Delhi,Urban,Male,Net Attendance Ratio,Secondary Level,57.4
Delhi,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,105.1
Delhi,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,80.9
Delhi,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,87.3
Delhi,Urban,Person,Net Attendance Ratio,Higher Secondary Level,53.3
Delhi,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,30.3
Delhi,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,23.9
Delhi,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,97.0
Delhi,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,87.3
Delhi,Urban,Person,Gross Attendance Ratio,Primary Level,100.3
Delhi,Urban,Person,Net Attendance Ratio,Primary Level,89.7
Delhi,Urban,Person,Gross Attendance Ratio,Secondary Level,92.5
Delhi,Urban,Person,Net Attendance Ratio,Secondary Level,61.7
Delhi,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,90.8
Delhi,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,73.1
Rajasthan,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,65.2
Rajasthan,Rural,Female,Net Attendance Ratio,Higher Secondary Level,36.4
Rajasthan,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,19.0
Rajasthan,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,16.5
Rajasthan,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,102.0
Rajasthan,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,86.8
Rajasthan,Rural,Female,Gross Attendance Ratio,Primary Level,111.2
Rajasthan,Rural,Female,Net Attendance Ratio,Primary Level,88.9
Rajasthan,Rural,Female,Gross Attendance Ratio,Secondary Level,62.5
Rajasthan,Rural,Female,Net Attendance Ratio,Secondary Level,38.0
Rajasthan,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,87.7
Rajasthan,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,66.7
Rajasthan,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,72.1
Rajasthan,Rural,Male,Net Attendance Ratio,Higher Secondary Level,34.8
Rajasthan,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,29.7
Rajasthan,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,24.8
Rajasthan,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,102.5
Rajasthan,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,89.0
Rajasthan,Rural,Male,Gross Attendance Ratio,Primary Level,111.0
Rajasthan,Rural,Male,Net Attendance Ratio,Primary Level,89.8
Rajasthan,Rural,Male,Gross Attendance Ratio,Secondary Level,93.5
Rajasthan,Rural,Male,Net Attendance Ratio,Secondary Level,56.4
Rajasthan,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,87.4
Rajasthan,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,71.0
Rajasthan,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,68.9
Rajasthan,Rural,Person,Net Attendance Ratio,Higher Secondary Level,35.5
Rajasthan,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,24.6
Rajasthan,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,20.8
Rajasthan,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,102.3
Rajasthan,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,88.0
Rajasthan,Rural,Person,Gross Attendance Ratio,Primary Level,111.1
Rajasthan,Rural,Person,Net Attendance Ratio,Primary Level,89.4
Rajasthan,Rural,Person,Gross Attendance Ratio,Secondary Level,79.0
Rajasthan,Rural,Person,Net Attendance Ratio,Secondary Level,47.8
Rajasthan,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,87.5
Rajasthan,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,68.9
Rajasthan,Total,Female,Gross Attendance Ratio,Higher Secondary Level,68.1
Rajasthan,Total,Female,Net Attendance Ratio,Higher Secondary Level,38.8
Rajasthan,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,24.5
Rajasthan,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,20.8
Rajasthan,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,102.0
Rajasthan,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,87.4
Rajasthan,Total,Female,Gross Attendance Ratio,Primary Level,111.7
Rajasthan,Total,Female,Net Attendance Ratio,Primary Level,89.5
Rajasthan,Total,Female,Gross Attendance Ratio,Secondary Level,65.2
Rajasthan,Total,Female,Net Attendance Ratio,Secondary Level,39.7
Rajasthan,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,87.5
Rajasthan,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,67.6
Rajasthan,Total,Male,Gross Attendance Ratio,Higher Secondary Level,71.6
Rajasthan,Total,Male,Net Attendance Ratio,Higher Secondary Level,36.9
Rajasthan,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,32.8
Rajasthan,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,27.3
Rajasthan,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.3
Rajasthan,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,88.9
Rajasthan,Total,Male,Gross Attendance Ratio,Primary Level,109.5
Rajasthan,Total,Male,Net Attendance Ratio,Primary Level,89.5
Rajasthan,Total,Male,Gross Attendance Ratio,Secondary Level,98.2
Rajasthan,Total,Male,Net Attendance Ratio,Secondary Level,56.1
Rajasthan,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,86.6
Rajasthan,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,70.5
Rajasthan,Total,Person,Gross Attendance Ratio,Higher Secondary Level,70.1
Rajasthan,Total,Person,Net Attendance Ratio,Higher Secondary Level,37.8
Rajasthan,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,28.9
Rajasthan,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,24.2
Rajasthan,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.6
Rajasthan,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,88.2
Rajasthan,Total,Person,Gross Attendance Ratio,Primary Level,110.5
Rajasthan,Total,Person,Net Attendance Ratio,Primary Level,89.5
Rajasthan,Total,Person,Gross Attendance Ratio,Secondary Level,82.4
Rajasthan,Total,Person,Net Attendance Ratio,Secondary Level,48.2
Rajasthan,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,87.0
Rajasthan,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,69.1
Rajasthan,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,77.5
Rajasthan,Urban,Female,Net Attendance Ratio,Higher Secondary Level,46.3
Rajasthan,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,41.0
Rajasthan,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,33.7
Rajasthan,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.7
Rajasthan,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.3
Rajasthan,Urban,Female,Gross Attendance Ratio,Primary Level,114.6
Rajasthan,Urban,Female,Net Attendance Ratio,Primary Level,92.3
Rajasthan,Urban,Female,Gross Attendance Ratio,Secondary Level,76.8
Rajasthan,Urban,Female,Net Attendance Ratio,Secondary Level,46.8
Rajasthan,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,86.6
Rajasthan,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,71.1
Rajasthan,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,70.4
Rajasthan,Urban,Male,Net Attendance Ratio,Higher Secondary Level,42.9
Rajasthan,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,40.6
Rajasthan,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,33.5
Rajasthan,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,96.8
Rajasthan,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,88.6
Rajasthan,Urban,Male,Gross Attendance Ratio,Primary Level,104.0
Rajasthan,Urban,Male,Net Attendance Ratio,Primary Level,88.7
Rajasthan,Urban,Male,Gross Attendance Ratio,Secondary Level,122.7
Rajasthan,Urban,Male,Net Attendance Ratio,Secondary Level,54.4
Rajasthan,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,83.5
Rajasthan,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,68.3
Rajasthan,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,73.4
Rajasthan,Urban,Person,Net Attendance Ratio,Higher Secondary Level,44.3
Rajasthan,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,40.8
Rajasthan,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,33.6
Rajasthan,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.8
Rajasthan,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,89.3
Rajasthan,Urban,Person,Gross Attendance Ratio,Primary Level,107.8
Rajasthan,Urban,Person,Net Attendance Ratio,Primary Level,90.0
Rajasthan,Urban,Person,Gross Attendance Ratio,Secondary Level,99.1
Rajasthan,Urban,Person,Net Attendance Ratio,Secondary Level,50.5
Rajasthan,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,85.0
Rajasthan,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,69.7
Uttar Pradesh,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,53.9
Uttar Pradesh,Rural,Female,Net Attendance Ratio,Higher Secondary Level,31.8
Uttar Pradesh,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,18.8
Uttar Pradesh,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,15.9
Uttar Pradesh,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,94.7
Uttar Pradesh,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,82.5
Uttar Pradesh,Rural,Female,Gross Attendance Ratio,Primary Level,95.3
Uttar Pradesh,Rural,Female,Net Attendance Ratio,Primary Level,78.2
Uttar Pradesh,Rural,Female,Gross Attendance Ratio,Secondary Level,54.5
Uttar Pradesh,Rural,Female,Net Attendance Ratio,Secondary Level,33.9
Uttar Pradesh,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,93.4
Uttar Pradesh,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,61.8
Uttar Pradesh,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,63.2
Uttar Pradesh,Rural,Male,Net Attendance Ratio,Higher Secondary Level,30.9
Uttar Pradesh,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,18.5
Uttar Pradesh,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,15.2
Uttar Pradesh,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,97.0
Uttar Pradesh,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,85.9
Uttar Pradesh,Rural,Male,Gross Attendance Ratio,Primary Level,101.8
Uttar Pradesh,Rural,Male,Net Attendance Ratio,Primary Level,81.0
Uttar Pradesh,Rural,Male,Gross Attendance Ratio,Secondary Level,68.6
Uttar Pradesh,Rural,Male,Net Attendance Ratio,Secondary Level,41.0
Uttar Pradesh,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,87.9
Uttar Pradesh,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,58.3
Uttar Pradesh,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,58.7
Uttar Pradesh,Rural,Person,Net Attendance Ratio,Higher Secondary Level,31.3
Uttar Pradesh,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,18.6
Uttar Pradesh,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,15.5
Uttar Pradesh,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,95.9
Uttar Pradesh,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,84.4
Uttar Pradesh,Rural,Person,Gross Attendance Ratio,Primary Level,98.8
Uttar Pradesh,Rural,Person,Net Attendance Ratio,Primary Level,79.7
Uttar Pradesh,Rural,Person,Gross Attendance Ratio,Secondary Level,62.1
Uttar Pradesh,Rural,Person,Net Attendance Ratio,Secondary Level,37.7
Uttar Pradesh,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,90.4
Uttar Pradesh,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,59.9
Uttar Pradesh,Total,Female,Gross Attendance Ratio,Higher Secondary Level,55.4
Uttar Pradesh,Total,Female,Net Attendance Ratio,Higher Secondary Level,33.7
Uttar Pradesh,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,20.9
Uttar Pradesh,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,17.4
Uttar Pradesh,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,93.9
Uttar Pradesh,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,82.1
Uttar Pradesh,Total,Female,Gross Attendance Ratio,Primary Level,94.8
Uttar Pradesh,Total,Female,Net Attendance Ratio,Primary Level,77.5
Uttar Pradesh,Total,Female,Gross Attendance Ratio,Secondary Level,57.7
Uttar Pradesh,Total,Female,Net Attendance Ratio,Secondary Level,36.4
Uttar Pradesh,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,92.3
Uttar Pradesh,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,62.0
Uttar Pradesh,Total,Male,Gross Attendance Ratio,Higher Secondary Level,65.1
Uttar Pradesh,Total,Male,Net Attendance Ratio,Higher Secondary Level,32.6
Uttar Pradesh,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,20.7
Uttar Pradesh,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,17.1
Uttar Pradesh,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,96.7
Uttar Pradesh,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,85.5
Uttar Pradesh,Total,Male,Gross Attendance Ratio,Primary Level,102.4
Uttar Pradesh,Total,Male,Net Attendance Ratio,Primary Level,80.7
Uttar Pradesh,Total,Male,Gross Attendance Ratio,Secondary Level,69.4
Uttar Pradesh,Total,Male,Net Attendance Ratio,Secondary Level,40.7
Uttar Pradesh,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,86.0
Uttar Pradesh,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,57.8
Uttar Pradesh,Total,Person,Gross Attendance Ratio,Higher Secondary Level,60.4
Uttar Pradesh,Total,Person,Net Attendance Ratio,Higher Secondary Level,33.1
Uttar Pradesh,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,20.8
Uttar Pradesh,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,17.2
Uttar Pradesh,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,95.4
Uttar Pradesh,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,84.0
Uttar Pradesh,Total,Person,Gross Attendance Ratio,Primary Level,98.9
Uttar Pradesh,Total,Person,Net Attendance Ratio,Primary Level,79.2
Uttar Pradesh,Total,Person,Gross Attendance Ratio,Secondary Level,64.0
Uttar Pradesh,Total,Person,Net Attendance Ratio,Secondary Level,38.7
Uttar Pradesh,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,88.8
Uttar Pradesh,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,59.7
Uttar Pradesh,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,61.1
Uttar Pradesh,Urban,Female,Net Attendance Ratio,Higher Secondary Level,40.9
Uttar Pradesh,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,28.8
Uttar Pradesh,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,22.8
Uttar Pradesh,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,90.5
Uttar Pradesh,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,80.0
Uttar Pradesh,Urban,Female,Gross Attendance Ratio,Primary Level,92.3
Uttar Pradesh,Urban,Female,Net Attendance Ratio,Primary Level,73.9
Uttar Pradesh,Urban,Female,Gross Attendance Ratio,Secondary Level,72.6
Uttar Pradesh,Urban,Female,Net Attendance Ratio,Secondary Level,47.8
Uttar Pradesh,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,87.4
Uttar Pradesh,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,62.9
Uttar Pradesh,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,72.6
Uttar Pradesh,Urban,Male,Net Attendance Ratio,Higher Secondary Level,39.6
Uttar Pradesh,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,28.3
Uttar Pradesh,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,23.6
Uttar Pradesh,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,95.0
Uttar Pradesh,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,83.7
Uttar Pradesh,Urban,Male,Gross Attendance Ratio,Primary Level,105.3
Uttar Pradesh,Urban,Male,Net Attendance Ratio,Primary Level,79.2
Uttar Pradesh,Urban,Male,Gross Attendance Ratio,Secondary Level,73.1
Uttar Pradesh,Urban,Male,Net Attendance Ratio,Secondary Level,39.5
Uttar Pradesh,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,78.3
Uttar Pradesh,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,55.8
Uttar Pradesh,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,66.9
Uttar Pradesh,Urban,Person,Net Attendance Ratio,Higher Secondary Level,40.3
Uttar Pradesh,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,28.5
Uttar Pradesh,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,23.3
Uttar Pradesh,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,93.0
Uttar Pradesh,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,82.0
Uttar Pradesh,Urban,Person,Gross Attendance Ratio,Primary Level,99.5
Uttar Pradesh,Urban,Person,Net Attendance Ratio,Primary Level,76.8
Uttar Pradesh,Urban,Person,Gross Attendance Ratio,Secondary Level,72.9
Uttar Pradesh,Urban,Person,Net Attendance Ratio,Secondary Level,43.4
Uttar Pradesh,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,82.3
Uttar Pradesh,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,59.0
Bihar,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,55.0
Bihar,Rural,Female,Net Attendance Ratio,Higher Secondary Level,27.4
Bihar,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,8.8
Bihar,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,7.7
Bihar,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,96.5
Bihar,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,86.4
Bihar,Rural,Female,Gross Attendance Ratio,Primary Level,98.8
Bihar,Rural,Female,Net Attendance Ratio,Primary Level,81.2
Bihar,Rural,Female,Gross Attendance Ratio,Secondary Level,85.3
Bihar,Rural,Female,Net Attendance Ratio,Secondary Level,57.9
Bihar,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,91.7
Bihar,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,65.5
Bihar,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,67.4
Bihar,Rural,Male,Net Attendance Ratio,Higher Secondary Level,36.0
Bihar,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,19.4
Bihar,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,15.2
Bihar,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.8
Bihar,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,89.1
Bihar,Rural,Male,Gross Attendance Ratio,Primary Level,96.4
Bihar,Rural,Male,Net Attendance Ratio,Primary Level,82.3
Bihar,Rural,Male,Gross Attendance Ratio,Secondary Level,80.1
Bihar,Rural,Male,Net Attendance Ratio,Secondary Level,52.8
Bihar,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,103.7
Bihar,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,74.3
Bihar,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,62.8
Bihar,Rural,Person,Net Attendance Ratio,Higher Secondary Level,32.8
Bihar,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,14.1
Bihar,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,11.5
Bihar,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,97.9
Bihar,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,88.0
Bihar,Rural,Person,Gross Attendance Ratio,Primary Level,97.4
Bihar,Rural,Person,Net Attendance Ratio,Primary Level,81.8
Bihar,Rural,Person,Gross Attendance Ratio,Secondary Level,82.1
Bihar,Rural,Person,Net Attendance Ratio,Secondary Level,54.8
Bihar,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,98.9
Bihar,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,70.8
Bihar,Total,Female,Gross Attendance Ratio,Higher Secondary Level,58.4
Bihar,Total,Female,Net Attendance Ratio,Higher Secondary Level,30.4
Bihar,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,11.1
Bihar,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,9.3
Bihar,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,95.8
Bihar,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,85.9
Bihar,Total,Female,Gross Attendance Ratio,Primary Level,98.0
Bihar,Total,Female,Net Attendance Ratio,Primary Level,80.9
Bihar,Total,Female,Gross Attendance Ratio,Secondary Level,86.1
Bihar,Total,Female,Net Attendance Ratio,Secondary Level,57.1
Bihar,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,91.5
Bihar,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,65.8
Bihar,Total,Male,Gross Attendance Ratio,Higher Secondary Level,70.2
Bihar,Total,Male,Net Attendance Ratio,Higher Secondary Level,39.0
Bihar,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,21.2
Bihar,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,16.9
Bihar,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.8
Bihar,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,89.0
Bihar,Total,Male,Gross Attendance Ratio,Primary Level,96.7
Bihar,Total,Male,Net Attendance Ratio,Primary Level,82.5
Bihar,Total,Male,Gross Attendance Ratio,Secondary Level,79.4
Bihar,Total,Male,Net Attendance Ratio,Secondary Level,52.3
Bihar,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,103.1
Bihar,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,73.3
Bihar,Total,Person,Gross Attendance Ratio,Higher Secondary Level,65.7
Bihar,Total,Person,Net Attendance Ratio,Higher Secondary Level,35.7
Bihar,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,16.2
Bihar,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,13.2
Bihar,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,97.6
Bihar,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,87.8
Bihar,Total,Person,Gross Attendance Ratio,Primary Level,97.2
Bihar,Total,Person,Net Attendance Ratio,Primary Level,81.9
Bihar,Total,Person,Gross Attendance Ratio,Secondary Level,82.0
Bihar,Total,Person,Net Attendance Ratio,Secondary Level,54.2
Bihar,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,98.4
Bihar,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,70.3
Bihar,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,82.0
Bihar,Urban,Female,Net Attendance Ratio,Higher Secondary Level,51.8
Bihar,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,30.5
Bihar,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,23.1
Bihar,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,90.0
Bihar,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,81.3
Bihar,Urban,Female,Gross Attendance Ratio,Primary Level,90.3
Bihar,Urban,Female,Net Attendance Ratio,Primary Level,78.3
Bihar,Urban,Female,Gross Attendance Ratio,Secondary Level,93.6
Bihar,Urban,Female,Net Attendance Ratio,Secondary Level,50.9
Bihar,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,89.6
Bihar,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,68.3
Bihar,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,93.2
Bihar,Urban,Male,Net Attendance Ratio,Higher Secondary Level,64.0
Bihar,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,37.2
Bihar,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,31.8
Bihar,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.5
Bihar,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,88.2
Bihar,Urban,Male,Gross Attendance Ratio,Primary Level,98.8
Bihar,Urban,Male,Net Attendance Ratio,Primary Level,84.4
Bihar,Urban,Male,Gross Attendance Ratio,Secondary Level,72.4
Bihar,Urban,Male,Net Attendance Ratio,Secondary Level,46.6
Bihar,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,97.9
Bihar,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,63.7
Bihar,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,88.5
Bihar,Urban,Person,Net Attendance Ratio,Higher Secondary Level,58.8
Bihar,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,33.8
Bihar,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,27.4
Bihar,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,95.2
Bihar,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,85.5
Bihar,Urban,Person,Gross Attendance Ratio,Primary Level,95.5
Bihar,Urban,Person,Net Attendance Ratio,Primary Level,82.0
Bihar,Urban,Person,Gross Attendance Ratio,Secondary Level,81.1
Bihar,Urban,Person,Net Attendance Ratio,Secondary Level,48.4
Bihar,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,94.6
Bihar,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,65.6
Assam,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,49.4
Assam,Rural,Female,Net Attendance Ratio,Higher Secondary Level,35.8
Assam,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,10.6
Assam,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,10.3
Assam,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,105.2
Assam,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.9
Assam,Rural,Female,Gross Attendance Ratio,Primary Level,104.5
