State,Residence_Type,Gender,Age group,Attendance ratio
Rajasthan,Total,Person,3-35 years,46.3
Rajasthan,Total,Person,3-5 years,35.8
Rajasthan,Total,Person,5-29 years,55.9
Rajasthan,Total,Person,6-10 years,93.1
Rajasthan,Urban,Female,11-13 years,96.6
Rajasthan,Urban,Female,14-17 years,80.3
Rajasthan,Urban,Female,18-23 years,42.5
Rajasthan,Urban,Female,24-29 years,4.7
Rajasthan,Urban,Female,30-35 years,0.1
Rajasthan,Urban,Female,3-35 years,46.2
Rajasthan,Urban,Female,3-5 years,40.2
Rajasthan,Urban,Female,5-29 years,55.9
Rajasthan,Urban,Female,6-10 years,96.7
Rajasthan,Urban,Male,11-13 years,98.1
Rajasthan,Urban,Male,14-17 years,83.6
Rajasthan,Urban,Male,18-23 years,47.2
Rajasthan,Urban,Male,24-29 years,5.5
Rajasthan,Urban,Male,30-35 years,1.2
Rajasthan,Urban,Male,3-35 years,51.2
Rajasthan,Urban,Male,3-5 years,55.6
Rajasthan,Urban,Male,5-29 years,59.1
Rajasthan,Urban,Male,6-10 years,96.9
Rajasthan,Urban,Person,11-13 years,97.4
Rajasthan,Urban,Person,14-17 years,82.1
Rajasthan,Urban,Person,18-23 years,45.1
Rajasthan,Urban,Person,24-29 years,5.1
Rajasthan,Urban,Person,30-35 years,0.7
Rajasthan,Urban,Person,3-35 years,49
Rajasthan,Urban,Person,3-5 years,48.6
Rajasthan,Urban,Person,5-29 years,57.7
Rajasthan,Urban,Person,6-10 years,96.9
Uttar Pradesh,Rural,Female,11-13 years,87.5
Uttar Pradesh,Rural,Female,14-17 years,62.4
Uttar Pradesh,Rural,Female,18-23 years,23.5
Uttar Pradesh,Rural,Female,24-29 years,1.3
Uttar Pradesh,Rural,Female,30-35 years,0.1
Uttar Pradesh,Rural,Female,3-35 years,41.3
Uttar Pradesh,Rural,Female,3-5 years,19.2
Uttar Pradesh,Rural,Female,5-29 years,50.1
Uttar Pradesh,Rural,Female,6-10 years,88.5
Uttar Pradesh,Rural,Male,11-13 years,90.5
Uttar Pradesh,Rural,Male,14-17 years,70.5
Uttar Pradesh,Rural,Male,18-23 years,27
Uttar Pradesh,Rural,Male,24-29 years,2.9
Uttar Pradesh,Rural,Male,30-35 years,0.3
Uttar Pradesh,Rural,Male,3-35 years,46.5
Uttar Pradesh,Rural,Male,3-5 years,25.3
Uttar Pradesh,Rural,Male,5-29 years,55.4
Uttar Pradesh,Rural,Male,6-10 years,92.1
Uttar Pradesh,Rural,Person,11-13 years,89.1
Uttar Pradesh,Rural,Person,14-17 years,66.7
Uttar Pradesh,Rural,Person,18-23 years,25.4
Uttar Pradesh,Rural,Person,24-29 years,2.1
Uttar Pradesh,Rural,Person,30-35 years,0.2
Uttar Pradesh,Rural,Person,3-35 years,44.1
Uttar Pradesh,Rural,Person,3-5 years,22.5
Uttar Pradesh,Rural,Person,5-29 years,52.9
Uttar Pradesh,Rural,Person,6-10 years,90.4
Uttar Pradesh,Total,Female,11-13 years,88.1
Uttar Pradesh,Total,Female,14-17 years,64.5
Uttar Pradesh,Total,Female,18-23 years,25
Uttar Pradesh,Total,Female,24-29 years,1.8
Uttar Pradesh,Total,Female,30-35 years,0.1
Uttar Pradesh,Total,Female,3-35 years,41.6
Uttar Pradesh,Total,Female,3-5 years,22.7
Uttar Pradesh,Total,Female,5-29 years,50.4
Uttar Pradesh,Total,Female,6-10 years,88.7
Uttar Pradesh,Total,Male,11-13 years,90.4
Uttar Pradesh,Total,Male,14-17 years,71.1
Uttar Pradesh,Total,Male,18-23 years,29.8
Uttar Pradesh,Total,Male,24-29 years,3.3
Uttar Pradesh,Total,Male,30-35 years,0.3
Uttar Pradesh,Total,Male,3-35 years,46.7
Uttar Pradesh,Total,Male,3-5 years,29.7
Uttar Pradesh,Total,Male,5-29 years,55.5
Uttar Pradesh,Total,Male,6-10 years,92.2
Uttar Pradesh,Total,Person,11-13 years,89.4
Uttar Pradesh,Total,Person,14-17 years,68
Uttar Pradesh,Total,Person,18-23 years,27.6
Uttar Pradesh,Total,Person,24-29 years,2.6
Uttar Pradesh,Total,Person,30-35 years,0.2
Uttar Pradesh,Total,Person,3-35 years,44.3
Uttar Pradesh,Total,Person,3-5 years,26.4
Uttar Pradesh,Total,Person,5-29 years,53.2
Uttar Pradesh,Total,Person,6-10 years,90.6
Uttar Pradesh,Urban,Female,11-13 years,90.5
Uttar Pradesh,Urban,Female,14-17 years,73.4
Uttar Pradesh,Urban,Female,18-23 years,30.4
Uttar Pradesh,Urban,Female,24-29 years,3.6
Uttar Pradesh,Urban,Female,30-35 years,0.2
Uttar Pradesh,Urban,Female,3-35 years,43
Uttar Pradesh,Urban,Female,3-5 years,38.8
Uttar Pradesh,Urban,Female,5-29 years,51.7
Uttar Pradesh,Urban,Female,6-10 years,89.5
Uttar Pradesh,Urban,Male,11-13 years,90
Uttar Pradesh,Urban,Male,14-17 years,73.9
Uttar Pradesh,Urban,Male,18-23 years,39.6
Uttar Pradesh,Urban,Male,24-29 years,4.8
Uttar Pradesh,Urban,Male,30-35 years,0.4
Uttar Pradesh,Urban,Male,3-35 years,47.3
Uttar Pradesh,Urban,Male,3-5 years,49.4
Uttar Pradesh,Urban,Male,5-29 years,56
Uttar Pradesh,Urban,Male,6-10 years,92.8
Uttar Pradesh,Urban,Person,11-13 years,90.2
Uttar Pradesh,Urban,Person,14-17 years,73.7
Uttar Pradesh,Urban,Person,18-23 years,35.6
Uttar Pradesh,Urban,Person,24-29 years,4.2
Uttar Pradesh,Urban,Person,30-35 years,0.3
Uttar Pradesh,Urban,Person,3-35 years,45.3
Uttar Pradesh,Urban,Person,3-5 years,44.5
Uttar Pradesh,Urban,Person,5-29 years,54
Uttar Pradesh,Urban,Person,6-10 years,91.3
Bihar,Rural,Female,11-13 years,93
Bihar,Rural,Female,14-17 years,78.2
Bihar,Rural,Female,18-23 years,15
Bihar,Rural,Female,24-29 years,0.4
Bihar,Rural,Female,30-35 years,0
Bihar,Rural,Female,3-35 years,38.7
Bihar,Rural,Female,3-5 years,16.9
Bihar,Rural,Female,5-29 years,49.5
Bihar,Rural,Female,6-10 years,88.9
Bihar,Rural,Male,11-13 years,97.3
Bihar,Rural,Male,14-17 years,78.8
Bihar,Rural,Male,18-23 years,30.3
Bihar,Rural,Male,24-29 years,2.8
Bihar,Rural,Male,30-35 years,0
Bihar,Rural,Male,3-35 years,51.7
Bihar,Rural,Male,3-5 years,24.9
Bihar,Rural,Male,5-29 years,64
Bihar,Rural,Male,6-10 years,91.7
Bihar,Rural,Person,11-13 years,95.6
Bihar,Rural,Person,14-17 years,78.6
Bihar,Rural,Person,18-23 years,22.8
Bihar,Rural,Person,24-29 years,1.5
Bihar,Rural,Person,30-35 years,0
Bihar,Rural,Person,3-35 years,45.8
Bihar,Rural,Person,3-5 years,20.9
Bihar,Rural,Person,5-29 years,57.6
Bihar,Rural,Person,6-10 years,90.6
Bihar,Total,Female,11-13 years,93.1
Bihar,Total,Female,14-17 years,79.3
Bihar,Total,Female,18-23 years,16.5
Bihar,Total,Female,24-29 years,0.7
Bihar,Total,Female,30-35 years,0
Bihar,Total,Female,3-35 years,39.4
Bihar,Total,Female,3-5 years,18.1
Bihar,Total,Female,5-29 years,50.3
Bihar,Total,Female,6-10 years,89.3
Bihar,Total,Male,11-13 years,97
Bihar,Total,Male,14-17 years,79.6
Bihar,Total,Male,18-23 years,32.3
Bihar,Total,Male,24-29 years,2.7
Bihar,Total,Male,30-35 years,0.1
Bihar,Total,Male,3-35 years,52.3
Bihar,Total,Male,3-5 years,25.9
Bihar,Total,Male,5-29 years,64.6
Bihar,Total,Male,6-10 years,92.2
Bihar,Total,Person,11-13 years,95.4
Bihar,Total,Person,14-17 years,79.5
Bihar,Total,Person,18-23 years,24.5
Bihar,Total,Person,24-29 years,1.6
Bihar,Total,Person,30-35 years,0
Bihar,Total,Person,3-35 years,46.4
Bihar,Total,Person,3-5 years,22
Bihar,Total,Person,5-29 years,58.2
Bihar,Total,Person,6-10 years,91
Bihar,Urban,Female,11-13 years,93.9
Bihar,Urban,Female,14-17 years,87.6
Bihar,Urban,Female,18-23 years,29.8
Bihar,Urban,Female,24-29 years,3.6
Bihar,Urban,Female,30-35 years,0.2
Bihar,Urban,Female,3-35 years,45.4
Bihar,Urban,Female,3-5 years,31.6
Bihar,Urban,Female,5-29 years,57.3
Bihar,Urban,Female,6-10 years,93
Bihar,Urban,Male,11-13 years,94.6
Bihar,Urban,Male,14-17 years,87
Bihar,Urban,Male,18-23 years,49.6
Bihar,Urban,Male,24-29 years,2.5
Bihar,Urban,Male,30-35 years,0.5
Bihar,Urban,Male,3-35 years,57.5
Bihar,Urban,Male,3-5 years,36
Bihar,Urban,Male,5-29 years,70
Bihar,Urban,Male,6-10 years,96.5
Bihar,Urban,Person,11-13 years,94.4
Bihar,Urban,Person,14-17 years,87.2
Bihar,Urban,Person,18-23 years,39.7
Bihar,Urban,Person,24-29 years,3.1
Bihar,Urban,Person,30-35 years,0.3
Bihar,Urban,Person,3-35 years,52
Bihar,Urban,Person,3-5 years,33.9
Bihar,Urban,Person,5-29 years,64.3
Bihar,Urban,Person,6-10 years,95.1
Sikkim,Rural,Female,11-13 years,97.4
Sikkim,Rural,Female,14-17 years,99.1
Sikkim,Rural,Female,18-23 years,34.6
Sikkim,Rural,Female,24-29 years,0
Sikkim,Rural,Female,30-35 years,0
Sikkim,Rural,Female,3-35 years,48.7
Sikkim,Rural,Female,3-5 years,77.4
Sikkim,Rural,Female,5-29 years,54.2
Sikkim,Rural,Female,6-10 years,100
Sikkim,Rural,Male,11-13 years,99.2
Sikkim,Rural,Male,14-17 years,95.5
Sikkim,Rural,Male,18-23 years,31.6
Sikkim,Rural,Male,24-29 years,0.2
Sikkim,Rural,Male,30-35 years,0
Sikkim,Rural,Male,3-35 years,44.3
Sikkim,Rural,Male,3-5 years,59.8
Sikkim,Rural,Male,5-29 years,50.9
Sikkim,Rural,Male,6-10 years,100
Sikkim,Rural,Person,11-13 years,98.2
Sikkim,Rural,Person,14-17 years,97.3
Sikkim,Rural,Person,18-23 years,33.2
Sikkim,Rural,Person,24-29 years,0.1
Sikkim,Rural,Person,30-35 years,0
Sikkim,Rural,Person,3-35 years,46.5
Sikkim,Rural,Person,3-5 years,68.9
Sikkim,Rural,Person,5-29 years,52.6
Sikkim,Rural,Person,6-10 years,100
Sikkim,Total,Female,11-13 years,97.9
Sikkim,Total,Female,14-17 years,95.2
Sikkim,Total,Female,18-23 years,38.5
Sikkim,Total,Female,24-29 years,0
Sikkim,Total,Female,30-35 years,0
Sikkim,Total,Female,3-35 years,47.6
Sikkim,Total,Female,3-5 years,75.5
Sikkim,Total,Female,5-29 years,53.6
Sikkim,Total,Female,6-10 years,100
Sikkim,Total,Male,11-13 years,99.4
Sikkim,Total,Male,14-17 years,96.4
Sikkim,Total,Male,18-23 years,44.8
Sikkim,Total,Male,24-29 years,1
Sikkim,Total,Male,30-35 years,0
Sikkim,Total,Male,3-35 years,45.7
Sikkim,Total,Male,3-5 years,67.7
Sikkim,Total,Male,5-29 years,52.8
Sikkim,Total,Male,6-10 years,100
Sikkim,Total,Person,11-13 years,98.6
Sikkim,Total,Person,14-17 years,95.8
Sikkim,Total,Person,18-23 years,41.6
Sikkim,Total,Person,24-29 years,0.5
Sikkim,Total,Person,30-35 years,0
Sikkim,Total,Person,3-35 years,46.6
Sikkim,Total,Person,3-5 years,71.4
Sikkim,Total,Person,5-29 years,53.2
Sikkim,Total,Person,6-10 years,100
Sikkim,Urban,Female,11-13 years,100
Sikkim,Urban,Female,14-17 years,85.3
Sikkim,Urban,Female,18-23 years,55.9
Sikkim,Urban,Female,24-29 years,0
Sikkim,Urban,Female,30-35 years,0
Sikkim,Urban,Female,3-35 years,44.1
Sikkim,Urban,Female,3-5 years,68.7
Sikkim,Urban,Female,5-29 years,51.6
Sikkim,Urban,Female,6-10 years,100
Sikkim,Urban,Male,11-13 years,100
Sikkim,Urban,Male,14-17 years,99
Sikkim,Urban,Male,18-23 years,77.8
Sikkim,Urban,Male,24-29 years,3.1
Sikkim,Urban,Male,30-35 years,0
Sikkim,Urban,Male,3-35 years,49.6
Sikkim,Urban,Male,3-5 years,83.4
Sikkim,Urban,Male,5-29 years,57.7
Sikkim,Urban,Male,6-10 years,100
Sikkim,Urban,Person,11-13 years,100
Sikkim,Urban,Person,14-17 years,92.1
Sikkim,Urban,Person,18-23 years,69
Sikkim,Urban,Person,24-29 years,1.7
Sikkim,Urban,Person,30-35 years,0
Sikkim,Urban,Person,3-35 years,47.1
Sikkim,Urban,Person,3-5 years,77.9
Sikkim,Urban,Person,5-29 years,54.9
Sikkim,Urban,Person,6-10 years,100
Arunachal Pradesh,Rural,Female,11-13 years,93.4
Arunachal Pradesh,Rural,Female,14-17 years,75.2
Arunachal Pradesh,Rural,Female,18-23 years,26.5
Arunachal Pradesh,Rural,Female,24-29 years,2.2
Arunachal Pradesh,Rural,Female,30-35 years,0.3
Arunachal Pradesh,Rural,Female,3-35 years,45.6
Arunachal Pradesh,Rural,Female,3-5 years,25.7
Arunachal Pradesh,Rural,Female,5-29 years,56.5
Arunachal Pradesh,Rural,Female,6-10 years,89.8
Arunachal Pradesh,Rural,Male,11-13 years,93.5
Arunachal Pradesh,Rural,Male,14-17 years,81.7
Arunachal Pradesh,Rural,Male,18-23 years,39.1
Arunachal Pradesh,Rural,Male,24-29 years,5.7
Arunachal Pradesh,Rural,Male,30-35 years,0.7
Arunachal Pradesh,Rural,Male,3-35 years,51
Arunachal Pradesh,Rural,Male,3-5 years,22.8
Arunachal Pradesh,Rural,Male,5-29 years,63.1
Arunachal Pradesh,Rural,Male,6-10 years,91.6
Arunachal Pradesh,Rural,Person,11-13 years,93.4
Arunachal Pradesh,Rural,Person,14-17 years,78.9
Arunachal Pradesh,Rural,Person,18-23 years,33.6
Arunachal Pradesh,Rural,Person,24-29 years,3.9
Arunachal Pradesh,Rural,Person,30-35 years,0.5
Arunachal Pradesh,Rural,Person,3-35 years,48.5
Arunachal Pradesh,Rural,Person,3-5 years,24
Arunachal Pradesh,Rural,Person,5-29 years,60
Arunachal Pradesh,Rural,Person,6-10 years,90.8
Arunachal Pradesh,Total,Female,11-13 years,94.2
Arunachal Pradesh,Total,Female,14-17 years,75.6
Arunachal Pradesh,Total,Female,18-23 years,30.8
Arunachal Pradesh,Total,Female,24-29 years,2.5
Arunachal Pradesh,Total,Female,30-35 years,0.2
Arunachal Pradesh,Total,Female,3-35 years,45.5
Arunachal Pradesh,Total,Female,3-5 years,27.2
Arunachal Pradesh,Total,Female,5-29 years,56.5
Arunachal Pradesh,Total,Female,6-10 years,89.3
Arunachal Pradesh,Total,Male,11-13 years,94.1
Arunachal Pradesh,Total,Male,14-17 years,83.3
Arunachal Pradesh,Total,Male,18-23 years,44.2
Arunachal Pradesh,Total,Male,24-29 years,6.2
Arunachal Pradesh,Total,Male,30-35 years,0.6
Arunachal Pradesh,Total,Male,3-35 years,52.8
Arunachal Pradesh,Total,Male,3-5 years,23.6
Arunachal Pradesh,Total,Male,5-29 years,64.7
Arunachal Pradesh,Total,Male,6-10 years,92.2
Arunachal Pradesh,Total,Person,11-13 years,94.1
Arunachal Pradesh,Total,Person,14-17 years,80.1
Arunachal Pradesh,Total,Person,18-23 years,38.2
Arunachal Pradesh,Total,Person,24-29 years,4.3
Arunachal Pradesh,Total,Person,30-35 years,0.4
Arunachal Pradesh,Total,Person,3-35 years,49.4
Arunachal Pradesh,Total,Person,3-5 years,25.2
Arunachal Pradesh,Total,Person,5-29 years,60.9
Arunachal Pradesh,Total,Person,6-10 years,90.8
Arunachal Pradesh,Urban,Female,11-13 years,99.7
Arunachal Pradesh,Urban,Female,14-17 years,77.7
Arunachal Pradesh,Urban,Female,18-23 years,49.6
Arunachal Pradesh,Urban,Female,24-29 years,3.9
Arunachal Pradesh,Urban,Female,30-35 years,0
Arunachal Pradesh,Urban,Female,3-35 years,45
Arunachal Pradesh,Urban,Female,3-5 years,35.9
Arunachal Pradesh,Urban,Female,5-29 years,56.5
Arunachal Pradesh,Urban,Female,6-10 years,84.1
Arunachal Pradesh,Urban,Male,11-13 years,97
Arunachal Pradesh,Urban,Male,14-17 years,91
Arunachal Pradesh,Urban,Male,18-23 years,73.2
Arunachal Pradesh,Urban,Male,24-29 years,8.6
Arunachal Pradesh,Urban,Male,30-35 years,0
Arunachal Pradesh,Urban,Male,3-35 years,63
Arunachal Pradesh,Urban,Male,3-5 years,30
Arunachal Pradesh,Urban,Male,5-29 years,73.6
Arunachal Pradesh,Urban,Male,6-10 years,96
Arunachal Pradesh,Urban,Person,11-13 years,98.2
Arunachal Pradesh,Urban,Person,14-17 years,85.9
Arunachal Pradesh,Urban,Person,18-23 years,61.3
Arunachal Pradesh,Urban,Person,24-29 years,6.1
Arunachal Pradesh,Urban,Person,30-35 years,0
Arunachal Pradesh,Urban,Person,3-35 years,54.5
Arunachal Pradesh,Urban,Person,3-5 years,33.1
Arunachal Pradesh,Urban,Person,5-29 years,65.8
Arunachal Pradesh,Urban,Person,6-10 years,91.1
Nagaland,Rural,Female,11-13 years,98.7
Nagaland,Rural,Female,14-17 years,78
Nagaland,Rural,Female,18-23 years,17.1
Nagaland,Rural,Female,24-29 years,0.5
Nagaland,Rural,Female,30-35 years,0
Nagaland,Rural,Female,3-35 years,43.9
Nagaland,Rural,Female,3-5 years,30.5
Nagaland,Rural,Female,5-29 years,55.5
Nagaland,Rural,Female,6-10 years,90.6
Nagaland,Rural,Male,11-13 years,92.9
Nagaland,Rural,Male,14-17 years,80
Nagaland,Rural,Male,18-23 years,21.4
Nagaland,Rural,Male,24-29 years,0.7
Nagaland,Rural,Male,30-35 years,0
Nagaland,Rural,Male,3-35 years,51.8
Nagaland,Rural,Male,3-5 years,44
Nagaland,Rural,Male,5-29 years,61.2
Nagaland,Rural,Male,6-10 years,99.3
Nagaland,Rural,Person,11-13 years,95.3
Nagaland,Rural,Person,14-17 years,79
Nagaland,Rural,Person,18-23 years,19.6
Nagaland,Rural,Person,24-29 years,0.6
Nagaland,Rural,Person,30-35 years,0
Nagaland,Rural,Person,3-35 years,48.1
Nagaland,Rural,Person,3-5 years,36.9
Nagaland,Rural,Person,5-29 years,58.6
Nagaland,Rural,Person,6-10 years,95.5
Nagaland,Total,Female,11-13 years,98.3
Nagaland,Total,Female,14-17 years,79.7
Nagaland,Total,Female,18-23 years,36.1
Nagaland,Total,Female,24-29 years,1.2
Nagaland,Total,Female,30-35 years,0.1
Nagaland,Total,Female,3-35 years,46.3
Nagaland,Total,Female,3-5 years,33.4
Nagaland,Total,Female,5-29 years,56.7
Nagaland,Total,Female,6-10 years,90
Nagaland,Total,Male,11-13 years,94.6
Nagaland,Total,Male,14-17 years,83.5
Nagaland,Total,Male,18-23 years,33.2
Nagaland,Total,Male,24-29 years,1.6
Nagaland,Total,Male,30-35 years,0
Nagaland,Total,Male,3-35 years,51.2
Nagaland,Total,Male,3-5 years,43.8
Nagaland,Total,Male,5-29 years,60.6
Nagaland,Total,Male,6-10 years,98.8
Nagaland,Total,Person,11-13 years,96.2
Nagaland,Total,Person,14-17 years,81.5
Nagaland,Total,Person,18-23 years,34.5
Nagaland,Total,Person,24-29 years,1.4
Nagaland,Total,Person,30-35 years,0
Nagaland,Total,Person,3-35 years,48.9
Nagaland,Total,Person,3-5 years,38.6
Nagaland,Total,Person,5-29 years,58.8
Nagaland,Total,Person,6-10 years,95.1
Nagaland,Urban,Female,11-13 years,97.5
Nagaland,Urban,Female,14-17 years,82.2
Nagaland,Urban,Female,18-23 years,61.2
Nagaland,Urban,Female,24-29 years,2.7
Nagaland,Urban,Female,30-35 years,0.2
Nagaland,Urban,Female,3-35 years,51.7
Nagaland,Urban,Female,3-5 years,47.4
Nagaland,Urban,Female,5-29 years,59.2
Nagaland,Urban,Female,6-10 years,87.3
Nagaland,Urban,Male,11-13 years,100
Nagaland,Urban,Male,14-17 years,92.8
Nagaland,Urban,Male,18-23 years,54
Nagaland,Urban,Male,24-29 years,3.1
Nagaland,Urban,Male,30-35 years,0
Nagaland,Urban,Male,3-35 years,49.9
Nagaland,Urban,Male,3-5 years,43.2
Nagaland,Urban,Male,5-29 years,59.1
Nagaland,Urban,Male,6-10 years,96.8
Nagaland,Urban,Person,11-13 years,98.7
Nagaland,Urban,Person,14-17 years,86.4
Nagaland,Urban,Person,18-23 years,57.6
Nagaland,Urban,Person,24-29 years,3
Nagaland,Urban,Person,30-35 years,0.1
Nagaland,Urban,Person,3-35 years,50.7
Nagaland,Urban,Person,3-5 years,44.9
Nagaland,Urban,Person,5-29 years,59.1
Nagaland,Urban,Person,6-10 years,93.2
Manipur,Rural,Female,11-13 years,98.4
Manipur,Rural,Female,14-17 years,92.8
Manipur,Rural,Female,18-23 years,23.2
Manipur,Rural,Female,24-29 years,2.4
Manipur,Rural,Female,30-35 years,0.6
Manipur,Rural,Female,3-35 years,41.1
Manipur,Rural,Female,3-5 years,44.8
Manipur,Rural,Female,5-29 years,52
Manipur,Rural,Female,6-10 years,97.8
Manipur,Rural,Male,11-13 years,95.6
Manipur,Rural,Male,14-17 years,84.9
Manipur,Rural,Male,18-23 years,43.1
Manipur,Rural,Male,24-29 years,3.7
Manipur,Rural,Male,30-35 years,0.2
Manipur,Rural,Male,3-35 years,51.3
Manipur,Rural,Male,3-5 years,54.5
Manipur,Rural,Male,5-29 years,64.6
Manipur,Rural,Male,6-10 years,99.5
Manipur,Rural,Person,11-13 years,96.7
Manipur,Rural,Person,14-17 years,88.9
Manipur,Rural,Person,18-23 years,32.9
Manipur,Rural,Person,24-29 years,3
Manipur,Rural,Person,30-35 years,0.4
Manipur,Rural,Person,3-35 years,46.4
Manipur,Rural,Person,3-5 years,49.5
Manipur,Rural,Person,5-29 years,58.6
Manipur,Rural,Person,6-10 years,98.8
Manipur,Total,Female,11-13 years,97.7
Manipur,Total,Female,14-17 years,92.6
Manipur,Total,Female,18-23 years,28
Manipur,Total,Female,24-29 years,2.7
Manipur,Total,Female,30-35 years,0.6
Manipur,Total,Female,3-35 years,43.7
Manipur,Total,Female,3-5 years,47.1
Manipur,Total,Female,5-29 years,55.2
Manipur,Total,Female,6-10 years,97.7
Manipur,Total,Male,11-13 years,96.3
Manipur,Total,Male,14-17 years,87.2
Manipur,Total,Male,18-23 years,49.5
Manipur,Total,Male,24-29 years,4.5
Manipur,Total,Male,30-35 years,0.1
Manipur,Total,Male,3-35 years,54.7
Manipur,Total,Male,3-5 years,53.7
Manipur,Total,Male,5-29 years,68.2
Manipur,Total,Male,6-10 years,99.5
Manipur,Total,Person,11-13 years,96.9
Manipur,Total,Person,14-17 years,90
Manipur,Total,Person,18-23 years,38.7
Manipur,Total,Person,24-29 years,3.5
Manipur,Total,Person,30-35 years,0.4
Manipur,Total,Person,3-35 years,49.4
Manipur,Total,Person,3-5 years,50.4
Manipur,Total,Person,5-29 years,62
Manipur,Total,Person,6-10 years,98.8
Manipur,Urban,Female,11-13 years,96.5
Manipur,Urban,Female,14-17 years,92.3
Manipur,Urban,Female,18-23 years,41.5
Manipur,Urban,Female,24-29 years,3.6
Manipur,Urban,Female,30-35 years,0.7
Manipur,Urban,Female,3-35 years,49.9
Manipur,Urban,Female,3-5 years,53.8
Manipur,Urban,Female,5-29 years,62.3
Manipur,Urban,Female,6-10 years,97.6
Manipur,Urban,Male,11-13 years,97.5
Manipur,Urban,Male,14-17 years,91.9
Manipur,Urban,Male,18-23 years,65
Manipur,Urban,Male,24-29 years,6.9
Manipur,Urban,Male,30-35 years,0
Manipur,Urban,Male,3-35 years,62.5
Manipur,Urban,Male,3-5 years,52
Manipur,Urban,Male,5-29 years,76.4
Manipur,Urban,Male,6-10 years,99.5
Manipur,Urban,Person,11-13 years,97.1
Manipur,Urban,Person,14-17 years,92.1
Manipur,Urban,Person,18-23 years,53.8
Manipur,Urban,Person,24-29 years,5
Manipur,Urban,Person,30-35 years,0.4
Manipur,Urban,Person,3-35 years,56.4
Manipur,Urban,Person,3-5 years,52.8
Manipur,Urban,Person,5-29 years,69.7
Manipur,Urban,Person,6-10 years,98.7
Mizoram,Rural,Female,11-13 years,99.6
Mizoram,Rural,Female,14-17 years,84
Mizoram,Rural,Female,18-23 years,7.1
Mizoram,Rural,Female,24-29 years,0.2
Mizoram,Rural,Female,30-35 years,0
Mizoram,Rural,Female,3-35 years,39.1
Mizoram,Rural,Female,3-5 years,18
Mizoram,Rural,Female,5-29 years,50.2
Mizoram,Rural,Female,6-10 years,96
Mizoram,Rural,Male,11-13 years,97.2
Mizoram,Rural,Male,14-17 years,85
Mizoram,Rural,Male,18-23 years,11.5
Mizoram,Rural,Male,24-29 years,0.1
Mizoram,Rural,Male,30-35 years,0.1
Mizoram,Rural,Male,3-35 years,44
Mizoram,Rural,Male,3-5 years,12.4
Mizoram,Rural,Male,5-29 years,54.7
Mizoram,Rural,Male,6-10 years,98.4
Mizoram,Rural,Person,11-13 years,98.3
Mizoram,Rural,Person,14-17 years,84.5
Mizoram,Rural,Person,18-23 years,9.4
Mizoram,Rural,Person,24-29 years,0.1
Mizoram,Rural,Person,30-35 years,0
Mizoram,Rural,Person,3-35 years,41.7
Mizoram,Rural,Person,3-5 years,15
Mizoram,Rural,Person,5-29 years,52.6
Mizoram,Rural,Person,6-10 years,97.4
Mizoram,Total,Female,11-13 years,99.8
Mizoram,Total,Female,14-17 years,89.1
Mizoram,Total,Female,18-23 years,27
Mizoram,Total,Female,24-29 years,1.9
Mizoram,Total,Female,30-35 years,0
Mizoram,Total,Female,3-35 years,44.6
Mizoram,Total,Female,3-5 years,21.4
Mizoram,Total,Female,5-29 years,56.8
Mizoram,Total,Female,6-10 years,97.8
Mizoram,Total,Male,11-13 years,98.2
Mizoram,Total,Male,14-17 years,87.6
Mizoram,Total,Male,18-23 years,28
Mizoram,Total,Male,24-29 years,1.6
Mizoram,Total,Male,30-35 years,0
Mizoram,Total,Male,3-35 years,46.9
Mizoram,Total,Male,3-5 years,20.6
Mizoram,Total,Male,5-29 years,58.4
Mizoram,Total,Male,6-10 years,99
Mizoram,Total,Person,11-13 years,98.9
Mizoram,Total,Person,14-17 years,88.3
Mizoram,Total,Person,18-23 years,27.5
Mizoram,Total,Person,24-29 years,1.8
Mizoram,Total,Person,30-35 years,0
Mizoram,Total,Person,3-35 years,45.8
Mizoram,Total,Person,3-5 years,21
Mizoram,Total,Person,5-29 years,57.6
Mizoram,Total,Person,6-10 years,98.4
Mizoram,Urban,Female,11-13 years,100
Mizoram,Urban,Female,14-17 years,95.7
Mizoram,Urban,Female,18-23 years,50.2
Mizoram,Urban,Female,24-29 years,4.4
Mizoram,Urban,Female,30-35 years,0
Mizoram,Urban,Female,3-35 years,51.9
Mizoram,Urban,Female,3-5 years,26
Mizoram,Urban,Female,5-29 years,65.2
Mizoram,Urban,Female,6-10 years,100
Mizoram,Urban,Male,11-13 years,100
Mizoram,Urban,Male,14-17 years,91.5
Mizoram,Urban,Male,18-23 years,47.2
Mizoram,Urban,Male,24-29 years,4.2
Mizoram,Urban,Male,30-35 years,0
Mizoram,Urban,Male,3-35 years,51.3
Mizoram,Urban,Male,3-5 years,35.1
Mizoram,Urban,Male,5-29 years,64
Mizoram,Urban,Male,6-10 years,100
Mizoram,Urban,Person,11-13 years,100
Mizoram,Urban,Person,14-17 years,93.6
Mizoram,Urban,Person,18-23 years,48.7
Mizoram,Urban,Person,24-29 years,4.3
Mizoram,Urban,Person,30-35 years,0
Mizoram,Urban,Person,3-35 years,51.6
Mizoram,Urban,Person,3-5 years,30.3
Mizoram,Urban,Person,5-29 years,64.6
Mizoram,Urban,Person,6-10 years,100
Tripura,Rural,Female,11-13 years,98
