State,Residence_Type,Gender,Course type,Institution type,Distribution of students by institution type and course type (%),Sample number of students under survey by institution type and course type
Sikkim,Rural,Female,Secondary and Higher Secondary,Private aided,0.4,411.0
Sikkim,Rural,Female,Secondary and Higher Secondary,Private Unaided,1.5,411.0
Sikkim,Rural,Female,Upper Primary,Government,22.0,411.0
Sikkim,Rural,Female,Upper Primary,Private aided,0.3,411.0
Sikkim,Rural,Female,Upper Primary,Private Unaided,2.7,411.0
Sikkim,Rural,Male,Diploma/Certificate below graduate level,Government,0.3,396.0
Sikkim,Rural,Male,Diploma/Certificate below graduate level,Private aided,0.0,396.0
Sikkim,Rural,Male,Diploma/Certificate below graduate level,Private Unaided,0.0,396.0
Sikkim,Rural,Male,Graduate and above level including diploma,Government,4.8,396.0
Sikkim,Rural,Male,Graduate and above level including diploma,Private aided,0.0,396.0
Sikkim,Rural,Male,Graduate and above level including diploma,Private Unaided,0.6,396.0
Sikkim,Rural,Male,Pre-Primary,Government,1.7,396.0
Sikkim,Rural,Male,Pre-Primary,Private aided,0.0,396.0
Sikkim,Rural,Male,Pre-Primary,Private Unaided,2.7,396.0
Sikkim,Rural,Male,Primary,Government,21.9,396.0
Sikkim,Rural,Male,Primary,Private aided,0.5,396.0
Sikkim,Rural,Male,Primary,Private Unaided,3.7,396.0
Sikkim,Rural,Male,Secondary and Higher Secondary,Government,30.9,396.0
Sikkim,Rural,Male,Secondary and Higher Secondary,Private aided,0.8,396.0
Sikkim,Rural,Male,Secondary and Higher Secondary,Private Unaided,2.5,396.0
Sikkim,Rural,Male,Upper Primary,Government,26.2,396.0
Sikkim,Rural,Male,Upper Primary,Private aided,0.9,396.0
Sikkim,Rural,Male,Upper Primary,Private Unaided,2.3,396.0
Sikkim,Rural,Persons,Diploma/Certificate below graduate level,Government,0.4,807.0
Sikkim,Rural,Persons,Diploma/Certificate below graduate level,Private aided,0.0,807.0
Sikkim,Rural,Persons,Diploma/Certificate below graduate level,Private Unaided,0.0,807.0
Sikkim,Rural,Persons,Graduate and above level including diploma,Government,5.8,807.0
Sikkim,Rural,Persons,Graduate and above level including diploma,Private aided,0.0,807.0
Sikkim,Rural,Persons,Graduate and above level including diploma,Private Unaided,0.3,807.0
Sikkim,Rural,Persons,Pre-Primary,Government,1.5,807.0
Sikkim,Rural,Persons,Pre-Primary,Private aided,0.2,807.0
Sikkim,Rural,Persons,Pre-Primary,Private Unaided,2.6,807.0
Sikkim,Rural,Persons,Primary,Government,22.0,807.0
Sikkim,Rural,Persons,Primary,Private aided,0.2,807.0
Sikkim,Rural,Persons,Primary,Private Unaided,5.7,807.0
Sikkim,Rural,Persons,Secondary and Higher Secondary,Government,31.7,807.0
Sikkim,Rural,Persons,Secondary and Higher Secondary,Private aided,0.6,807.0
Sikkim,Rural,Persons,Secondary and Higher Secondary,Private Unaided,2.0,807.0
Sikkim,Rural,Persons,Upper Primary,Government,24.0,807.0
Sikkim,Rural,Persons,Upper Primary,Private aided,0.6,807.0
Sikkim,Rural,Persons,Upper Primary,Private Unaided,2.5,807.0
Sikkim,Total,Female,Diploma/Certificate below graduate level,Government,0.4,499.0
Sikkim,Total,Female,Diploma/Certificate below graduate level,Private aided,0.0,499.0
Sikkim,Total,Female,Diploma/Certificate below graduate level,Private Unaided,0.0,499.0
Sikkim,Total,Female,Graduate and above level including diploma,Government,8.1,499.0
Sikkim,Total,Female,Graduate and above level including diploma,Private aided,0.0,499.0
Sikkim,Total,Female,Graduate and above level including diploma,Private Unaided,0.2,499.0
Sikkim,Total,Female,Pre-Primary,Government,1.0,499.0
Sikkim,Total,Female,Pre-Primary,Private aided,0.2,499.0
Sikkim,Total,Female,Pre-Primary,Private Unaided,2.9,499.0
Sikkim,Total,Female,Primary,Government,18.4,499.0
Sikkim,Total,Female,Primary,Private aided,0.0,499.0
Sikkim,Total,Female,Primary,Private Unaided,8.9,499.0
Sikkim,Total,Female,Secondary and Higher Secondary,Government,30.3,499.0
Sikkim,Total,Female,Secondary and Higher Secondary,Private aided,1.2,499.0
Sikkim,Total,Female,Secondary and Higher Secondary,Private Unaided,4.2,499.0
Sikkim,Total,Female,Upper Primary,Government,19.6,499.0
Sikkim,Total,Female,Upper Primary,Private aided,0.2,499.0
Sikkim,Total,Female,Upper Primary,Private Unaided,4.3,499.0
Sikkim,Total,Male,Diploma/Certificate below graduate level,Government,0.2,506.0
Sikkim,Total,Male,Diploma/Certificate below graduate level,Private aided,0.0,506.0
Sikkim,Total,Male,Diploma/Certificate below graduate level,Private Unaided,0.9,506.0
Sikkim,Total,Male,Graduate and above level including diploma,Government,6.1,506.0
Sikkim,Total,Male,Graduate and above level including diploma,Private aided,0.0,506.0
Sikkim,Total,Male,Graduate and above level including diploma,Private Unaided,4.9,506.0
Sikkim,Total,Male,Pre-Primary,Government,1.9,506.0
Sikkim,Total,Male,Pre-Primary,Private aided,0.0,506.0
Sikkim,Total,Male,Pre-Primary,Private Unaided,2.8,506.0
Sikkim,Total,Male,Primary,Government,17.3,506.0
Sikkim,Total,Male,Primary,Private aided,1.5,506.0
Sikkim,Total,Male,Primary,Private Unaided,5.8,506.0
Sikkim,Total,Male,Secondary and Higher Secondary,Government,28.5,506.0
Sikkim,Total,Male,Secondary and Higher Secondary,Private aided,1.2,506.0
Sikkim,Total,Male,Secondary and Higher Secondary,Private Unaided,3.8,506.0
Sikkim,Total,Male,Upper Primary,Government,20.7,506.0
Sikkim,Total,Male,Upper Primary,Private aided,1.6,506.0
Sikkim,Total,Male,Upper Primary,Private Unaided,2.7,506.0
Sikkim,Total,Persons,Diploma/Certificate below graduate level,Government,0.3,1005.0
Sikkim,Total,Persons,Diploma/Certificate below graduate level,Private aided,0.0,1005.0
Sikkim,Total,Persons,Diploma/Certificate below graduate level,Private Unaided,0.5,1005.0
Sikkim,Total,Persons,Graduate and above level including diploma,Government,7.1,1005.0
Sikkim,Total,Persons,Graduate and above level including diploma,Private aided,0.0,1005.0
Sikkim,Total,Persons,Graduate and above level including diploma,Private Unaided,2.5,1005.0
Sikkim,Total,Persons,Pre-Primary,Government,1.5,1005.0
Sikkim,Total,Persons,Pre-Primary,Private aided,0.1,1005.0
Sikkim,Total,Persons,Pre-Primary,Private Unaided,2.9,1005.0
Sikkim,Total,Persons,Primary,Government,17.8,1005.0
Sikkim,Total,Persons,Primary,Private aided,0.7,1005.0
Sikkim,Total,Persons,Primary,Private Unaided,7.4,1005.0
Sikkim,Total,Persons,Secondary and Higher Secondary,Government,29.4,1005.0
Sikkim,Total,Persons,Secondary and Higher Secondary,Private aided,1.2,1005.0
Sikkim,Total,Persons,Secondary and Higher Secondary,Private Unaided,4.0,1005.0
Sikkim,Total,Persons,Upper Primary,Government,20.2,1005.0
Sikkim,Total,Persons,Upper Primary,Private aided,0.9,1005.0
Sikkim,Total,Persons,Upper Primary,Private Unaided,3.5,1005.0
Sikkim,Urban,Female,Diploma/Certificate below graduate level,Government,0.0,88.0
Sikkim,Urban,Female,Diploma/Certificate below graduate level,Private aided,0.0,88.0
Sikkim,Urban,Female,Diploma/Certificate below graduate level,Private Unaided,0.2,88.0
Sikkim,Urban,Female,Graduate and above level including diploma,Government,13.2,88.0
Sikkim,Urban,Female,Graduate and above level including diploma,Private aided,0.0,88.0
Sikkim,Urban,Female,Graduate and above level including diploma,Private Unaided,0.5,88.0
Sikkim,Urban,Female,Pre-Primary,Government,0.0,88.0
Sikkim,Urban,Female,Pre-Primary,Private aided,0.0,88.0
Sikkim,Urban,Female,Pre-Primary,Private Unaided,4.2,88.0
Sikkim,Urban,Female,Primary,Government,6.4,88.0
Sikkim,Urban,Female,Primary,Private aided,0.0,88.0
Sikkim,Urban,Female,Primary,Private Unaided,13.7,88.0
Sikkim,Urban,Female,Secondary and Higher Secondary,Government,23.5,88.0
Sikkim,Urban,Female,Secondary and Higher Secondary,Private aided,3.9,88.0
Sikkim,Urban,Female,Secondary and Higher Secondary,Private Unaided,13.3,88.0
Sikkim,Urban,Female,Upper Primary,Government,11.4,88.0
Sikkim,Urban,Female,Upper Primary,Private aided,0.0,88.0
Sikkim,Urban,Female,Upper Primary,Private Unaided,9.6,88.0
Sikkim,Urban,Male,Diploma/Certificate below graduate level,Government,0.0,110.0
Sikkim,Urban,Male,Diploma/Certificate below graduate level,Private aided,0.1,110.0
Sikkim,Urban,Male,Diploma/Certificate below graduate level,Private Unaided,2.9,110.0
Sikkim,Urban,Male,Graduate and above level including diploma,Government,9.0,110.0
Sikkim,Urban,Male,Graduate and above level including diploma,Private aided,0.0,110.0
Sikkim,Urban,Male,Graduate and above level including diploma,Private Unaided,14.8,110.0
Sikkim,Urban,Male,Pre-Primary,Government,2.3,110.0
Sikkim,Urban,Male,Pre-Primary,Private aided,0.0,110.0
Sikkim,Urban,Male,Pre-Primary,Private Unaided,3.0,110.0
Sikkim,Urban,Male,Primary,Government,6.5,110.0
Sikkim,Urban,Male,Primary,Private aided,3.8,110.0
Sikkim,Urban,Male,Primary,Private Unaided,10.9,110.0
Sikkim,Urban,Male,Secondary and Higher Secondary,Government,23.0,110.0
Sikkim,Urban,Male,Secondary and Higher Secondary,Private aided,1.9,110.0
Sikkim,Urban,Male,Secondary and Higher Secondary,Private Unaided,7.0,110.0
Sikkim,Urban,Male,Upper Primary,Government,8.2,110.0
Sikkim,Urban,Male,Upper Primary,Private aided,3.0,110.0
Sikkim,Urban,Male,Upper Primary,Private Unaided,3.6,110.0
Sikkim,Urban,Persons,Diploma/Certificate below graduate level,Government,0.0,198.0
Sikkim,Urban,Persons,Diploma/Certificate below graduate level,Private aided,0.0,198.0
Sikkim,Urban,Persons,Diploma/Certificate below graduate level,Private Unaided,1.7,198.0
Sikkim,Urban,Persons,Graduate and above level including diploma,Government,10.8,198.0
Sikkim,Urban,Persons,Graduate and above level including diploma,Private aided,0.0,198.0
Sikkim,Urban,Persons,Graduate and above level including diploma,Private Unaided,8.6,198.0
Sikkim,Urban,Persons,Pre-Primary,Government,1.3,198.0
Sikkim,Urban,Persons,Pre-Primary,Private aided,0.0,198.0
Sikkim,Urban,Persons,Pre-Primary,Private Unaided,3.5,198.0
Sikkim,Urban,Persons,Primary,Government,6.5,198.0
Sikkim,Urban,Persons,Primary,Private aided,2.1,198.0
Sikkim,Urban,Persons,Primary,Private Unaided,12.1,198.0
Sikkim,Urban,Persons,Secondary and Higher Secondary,Government,23.2,198.0
Sikkim,Urban,Persons,Secondary and Higher Secondary,Private aided,2.8,198.0
Sikkim,Urban,Persons,Secondary and Higher Secondary,Private Unaided,9.8,198.0
Sikkim,Urban,Persons,Upper Primary,Government,9.6,198.0
Sikkim,Urban,Persons,Upper Primary,Private aided,1.7,198.0
Sikkim,Urban,Persons,Upper Primary,Private Unaided,6.2,198.0
Arunachal Pradesh,Rural,Female,Diploma/Certificate below graduate level,Government,1.4,814.0
Arunachal Pradesh,Rural,Female,Diploma/Certificate below graduate level,Private aided,0.4,814.0
Arunachal Pradesh,Rural,Female,Diploma/Certificate below graduate level,Private Unaided,0.3,814.0
Arunachal Pradesh,Rural,Female,Graduate and above level including diploma,Government,5.6,814.0
Arunachal Pradesh,Rural,Female,Graduate and above level including diploma,Private aided,0.5,814.0
Arunachal Pradesh,Rural,Female,Graduate and above level including diploma,Private Unaided,0.3,814.0
Arunachal Pradesh,Rural,Female,Pre-Primary,Government,5.7,814.0
Arunachal Pradesh,Rural,Female,Pre-Primary,Private aided,0.3,814.0
Arunachal Pradesh,Rural,Female,Pre-Primary,Private Unaided,0.5,814.0
Arunachal Pradesh,Rural,Female,Primary,Government,32.7,814.0
Arunachal Pradesh,Rural,Female,Primary,Private aided,0.7,814.0
Arunachal Pradesh,Rural,Female,Primary,Private Unaided,1.1,814.0
Arunachal Pradesh,Rural,Female,Secondary and Higher Secondary,Government,21.4,814.0
Arunachal Pradesh,Rural,Female,Secondary and Higher Secondary,Private aided,0.9,814.0
Arunachal Pradesh,Rural,Female,Secondary and Higher Secondary,Private Unaided,0.0,814.0
Arunachal Pradesh,Rural,Female,Upper Primary,Government,25.3,814.0
Arunachal Pradesh,Rural,Female,Upper Primary,Private aided,2.3,814.0
Arunachal Pradesh,Rural,Female,Upper Primary,Private Unaided,0.6,814.0
Arunachal Pradesh,Rural,Male,Diploma/Certificate below graduate level,Government,1.9,1070.0
Arunachal Pradesh,Rural,Male,Diploma/Certificate below graduate level,Private aided,1.4,1070.0
Arunachal Pradesh,Rural,Male,Diploma/Certificate below graduate level,Private Unaided,0.2,1070.0
Arunachal Pradesh,Rural,Male,Graduate and above level including diploma,Government,7.9,1070.0
Arunachal Pradesh,Rural,Male,Graduate and above level including diploma,Private aided,0.8,1070.0
Arunachal Pradesh,Rural,Male,Graduate and above level including diploma,Private Unaided,0.4,1070.0
Arunachal Pradesh,Rural,Male,Pre-Primary,Government,4.4,1070.0
Arunachal Pradesh,Rural,Male,Pre-Primary,Private aided,0.9,1070.0
Arunachal Pradesh,Rural,Male,Pre-Primary,Private Unaided,0.1,1070.0
Arunachal Pradesh,Rural,Male,Primary,Government,35.1,1070.0
Arunachal Pradesh,Rural,Male,Primary,Private aided,0.4,1070.0
Arunachal Pradesh,Rural,Male,Primary,Private Unaided,0.5,1070.0
Arunachal Pradesh,Rural,Male,Secondary and Higher Secondary,Government,24.9,1070.0
Arunachal Pradesh,Rural,Male,Secondary and Higher Secondary,Private aided,1.1,1070.0
Arunachal Pradesh,Rural,Male,Secondary and Higher Secondary,Private Unaided,0.0,1070.0
Arunachal Pradesh,Rural,Male,Upper Primary,Government,19.0,1070.0
Arunachal Pradesh,Rural,Male,Upper Primary,Private aided,0.5,1070.0
Arunachal Pradesh,Rural,Male,Upper Primary,Private Unaided,0.4,1070.0
Arunachal Pradesh,Rural,Persons,Diploma/Certificate below graduate level,Government,1.7,1884.0
Arunachal Pradesh,Rural,Persons,Diploma/Certificate below graduate level,Private aided,1.0,1884.0
Arunachal Pradesh,Rural,Persons,Diploma/Certificate below graduate level,Private Unaided,0.2,1884.0
Arunachal Pradesh,Rural,Persons,Graduate and above level including diploma,Government,6.9,1884.0
Arunachal Pradesh,Rural,Persons,Graduate and above level including diploma,Private aided,0.6,1884.0
Arunachal Pradesh,Rural,Persons,Graduate and above level including diploma,Private Unaided,0.4,1884.0
Arunachal Pradesh,Rural,Persons,Pre-Primary,Government,5.0,1884.0
Arunachal Pradesh,Rural,Persons,Pre-Primary,Private aided,0.6,1884.0
Arunachal Pradesh,Rural,Persons,Pre-Primary,Private Unaided,0.3,1884.0
Arunachal Pradesh,Rural,Persons,Primary,Government,34.0,1884.0
Arunachal Pradesh,Rural,Persons,Primary,Private aided,0.5,1884.0
Arunachal Pradesh,Rural,Persons,Primary,Private Unaided,0.8,1884.0
Arunachal Pradesh,Rural,Persons,Secondary and Higher Secondary,Government,23.3,1884.0
Arunachal Pradesh,Rural,Persons,Secondary and Higher Secondary,Private aided,1.0,1884.0
Arunachal Pradesh,Rural,Persons,Secondary and Higher Secondary,Private Unaided,0.0,1884.0
Arunachal Pradesh,Rural,Persons,Upper Primary,Government,21.8,1884.0
Arunachal Pradesh,Rural,Persons,Upper Primary,Private aided,1.3,1884.0
Arunachal Pradesh,Rural,Persons,Upper Primary,Private Unaided,0.5,1884.0
Arunachal Pradesh,Total,Female,Diploma/Certificate below graduate level,Government,1.8,1140.0
Arunachal Pradesh,Total,Female,Diploma/Certificate below graduate level,Private aided,0.4,1140.0
Arunachal Pradesh,Total,Female,Diploma/Certificate below graduate level,Private Unaided,0.3,1140.0
Arunachal Pradesh,Total,Female,Graduate and above level including diploma,Government,6.8,1140.0
Arunachal Pradesh,Total,Female,Graduate and above level including diploma,Private aided,0.6,1140.0
Arunachal Pradesh,Total,Female,Graduate and above level including diploma,Private Unaided,0.4,1140.0
Arunachal Pradesh,Total,Female,Pre-Primary,Government,5.4,1140.0
Arunachal Pradesh,Total,Female,Pre-Primary,Private aided,0.3,1140.0
Arunachal Pradesh,Total,Female,Pre-Primary,Private Unaided,0.8,1140.0
Arunachal Pradesh,Total,Female,Primary,Government,30.2,1140.0
Arunachal Pradesh,Total,Female,Primary,Private aided,1.4,1140.0
Arunachal Pradesh,Total,Female,Primary,Private Unaided,1.5,1140.0
Arunachal Pradesh,Total,Female,Secondary and Higher Secondary,Government,21.7,1140.0
Arunachal Pradesh,Total,Female,Secondary and Higher Secondary,Private aided,0.7,1140.0
Arunachal Pradesh,Total,Female,Secondary and Higher Secondary,Private Unaided,0.5,1140.0
Arunachal Pradesh,Total,Female,Upper Primary,Government,24.0,1140.0
Arunachal Pradesh,Total,Female,Upper Primary,Private aided,2.1,1140.0
Arunachal Pradesh,Total,Female,Upper Primary,Private Unaided,0.7,1140.0
Arunachal Pradesh,Total,Male,Diploma/Certificate below graduate level,Government,1.8,1517.0
Arunachal Pradesh,Total,Male,Diploma/Certificate below graduate level,Private aided,1.3,1517.0
Arunachal Pradesh,Total,Male,Diploma/Certificate below graduate level,Private Unaided,0.1,1517.0
Arunachal Pradesh,Total,Male,Graduate and above level including diploma,Government,9.4,1517.0
Arunachal Pradesh,Total,Male,Graduate and above level including diploma,Private aided,1.0,1517.0
Arunachal Pradesh,Total,Male,Graduate and above level including diploma,Private Unaided,0.6,1517.0
Arunachal Pradesh,Total,Male,Pre-Primary,Government,3.8,1517.0
Arunachal Pradesh,Total,Male,Pre-Primary,Private aided,0.7,1517.0
Arunachal Pradesh,Total,Male,Pre-Primary,Private Unaided,0.3,1517.0
Arunachal Pradesh,Total,Male,Primary,Government,32.1,1517.0
Arunachal Pradesh,Total,Male,Primary,Private aided,0.8,1517.0
Arunachal Pradesh,Total,Male,Primary,Private Unaided,1.3,1517.0
Arunachal Pradesh,Total,Male,Secondary and Higher Secondary,Government,24.9,1517.0
Arunachal Pradesh,Total,Male,Secondary and Higher Secondary,Private aided,1.2,1517.0
Arunachal Pradesh,Total,Male,Secondary and Higher Secondary,Private Unaided,0.3,1517.0
Arunachal Pradesh,Total,Male,Upper Primary,Government,18.9,1517.0
Arunachal Pradesh,Total,Male,Upper Primary,Private aided,0.6,1517.0
Arunachal Pradesh,Total,Male,Upper Primary,Private Unaided,0.7,1517.0
Arunachal Pradesh,Total,Persons,Diploma/Certificate below graduate level,Government,1.8,2657.0
Arunachal Pradesh,Total,Persons,Diploma/Certificate below graduate level,Private aided,0.9,2657.0
Arunachal Pradesh,Total,Persons,Diploma/Certificate below graduate level,Private Unaided,0.2,2657.0
Arunachal Pradesh,Total,Persons,Graduate and above level including diploma,Government,8.3,2657.0
Arunachal Pradesh,Total,Persons,Graduate and above level including diploma,Private aided,0.8,2657.0
Arunachal Pradesh,Total,Persons,Graduate and above level including diploma,Private Unaided,0.5,2657.0
Arunachal Pradesh,Total,Persons,Pre-Primary,Government,4.5,2657.0
Arunachal Pradesh,Total,Persons,Pre-Primary,Private aided,0.6,2657.0
Arunachal Pradesh,Total,Persons,Pre-Primary,Private Unaided,0.5,2657.0
Arunachal Pradesh,Total,Persons,Primary,Government,31.3,2657.0
Arunachal Pradesh,Total,Persons,Primary,Private aided,1.1,2657.0
Arunachal Pradesh,Total,Persons,Primary,Private Unaided,1.4,2657.0
Arunachal Pradesh,Total,Persons,Secondary and Higher Secondary,Government,23.5,2657.0
Arunachal Pradesh,Total,Persons,Secondary and Higher Secondary,Private aided,1.0,2657.0
Arunachal Pradesh,Total,Persons,Secondary and Higher Secondary,Private Unaided,0.4,2657.0
Arunachal Pradesh,Total,Persons,Upper Primary,Government,21.1,2657.0
Arunachal Pradesh,Total,Persons,Upper Primary,Private aided,1.3,2657.0
Arunachal Pradesh,Total,Persons,Upper Primary,Private Unaided,0.7,2657.0
Arunachal Pradesh,Urban,Female,Diploma/Certificate below graduate level,Government,4.4,326.0
Arunachal Pradesh,Urban,Female,Diploma/Certificate below graduate level,Private aided,0.0,326.0
Arunachal Pradesh,Urban,Female,Diploma/Certificate below graduate level,Private Unaided,0.0,326.0
Arunachal Pradesh,Urban,Female,Graduate and above level including diploma,Government,13.9,326.0
Arunachal Pradesh,Urban,Female,Graduate and above level including diploma,Private aided,1.1,326.0
Arunachal Pradesh,Urban,Female,Graduate and above level including diploma,Private Unaided,1.1,326.0
Arunachal Pradesh,Urban,Female,Pre-Primary,Government,3.7,326.0
Arunachal Pradesh,Urban,Female,Pre-Primary,Private aided,0.3,326.0
Arunachal Pradesh,Urban,Female,Pre-Primary,Private Unaided,2.4,326.0
Arunachal Pradesh,Urban,Female,Primary,Government,16.2,326.0
Arunachal Pradesh,Urban,Female,Primary,Private aided,5.7,326.0
Arunachal Pradesh,Urban,Female,Primary,Private Unaided,4.0,326.0
Arunachal Pradesh,Urban,Female,Secondary and Higher Secondary,Government,23.7,326.0
Arunachal Pradesh,Urban,Female,Secondary and Higher Secondary,Private aided,0.0,326.0
Arunachal Pradesh,Urban,Female,Secondary and Higher Secondary,Private Unaided,3.6,326.0
Arunachal Pradesh,Urban,Female,Upper Primary,Government,16.7,326.0
Arunachal Pradesh,Urban,Female,Upper Primary,Private aided,0.9,326.0
Arunachal Pradesh,Urban,Female,Upper Primary,Private Unaided,1.4,326.0
Arunachal Pradesh,Urban,Male,Diploma/Certificate below graduate level,Government,1.1,447.0
Arunachal Pradesh,Urban,Male,Diploma/Certificate below graduate level,Private aided,0.9,447.0
Arunachal Pradesh,Urban,Male,Diploma/Certificate below graduate level,Private Unaided,0.1,447.0
Arunachal Pradesh,Urban,Male,Graduate and above level including diploma,Government,16.9,447.0
Arunachal Pradesh,Urban,Male,Graduate and above level including diploma,Private aided,2.0,447.0
Arunachal Pradesh,Urban,Male,Graduate and above level including diploma,Private Unaided,1.3,447.0
Arunachal Pradesh,Urban,Male,Pre-Primary,Government,1.0,447.0
Arunachal Pradesh,Urban,Male,Pre-Primary,Private aided,0.1,447.0
Arunachal Pradesh,Urban,Male,Pre-Primary,Private Unaided,1.1,447.0
Arunachal Pradesh,Urban,Male,Primary,Government,18.0,447.0
Arunachal Pradesh,Urban,Male,Primary,Private aided,2.9,447.0
Arunachal Pradesh,Urban,Male,Primary,Private Unaided,5.1,447.0
Arunachal Pradesh,Urban,Male,Secondary and Higher Secondary,Government,25.0,447.0
Arunachal Pradesh,Urban,Male,Secondary and Higher Secondary,Private aided,1.2,447.0
Arunachal Pradesh,Urban,Male,Secondary and Higher Secondary,Private Unaided,1.8,447.0
Arunachal Pradesh,Urban,Male,Upper Primary,Government,18.3,447.0
Arunachal Pradesh,Urban,Male,Upper Primary,Private aided,1.0,447.0
Arunachal Pradesh,Urban,Male,Upper Primary,Private Unaided,2.2,447.0
Arunachal Pradesh,Urban,Persons,Diploma/Certificate below graduate level,Government,2.4,773.0
Arunachal Pradesh,Urban,Persons,Diploma/Certificate below graduate level,Private aided,0.5,773.0
Arunachal Pradesh,Urban,Persons,Diploma/Certificate below graduate level,Private Unaided,0.0,773.0
Arunachal Pradesh,Urban,Persons,Graduate and above level including diploma,Government,15.7,773.0
Arunachal Pradesh,Urban,Persons,Graduate and above level including diploma,Private aided,1.6,773.0
Arunachal Pradesh,Urban,Persons,Graduate and above level including diploma,Private Unaided,1.2,773.0
Arunachal Pradesh,Urban,Persons,Pre-Primary,Government,2.1,773.0
Arunachal Pradesh,Urban,Persons,Pre-Primary,Private aided,0.2,773.0
Arunachal Pradesh,Urban,Persons,Pre-Primary,Private Unaided,1.6,773.0
Arunachal Pradesh,Urban,Persons,Primary,Government,17.3,773.0
Arunachal Pradesh,Urban,Persons,Primary,Private aided,4.0,773.0
Arunachal Pradesh,Urban,Persons,Primary,Private Unaided,4.6,773.0
Arunachal Pradesh,Urban,Persons,Secondary and Higher Secondary,Government,24.5,773.0
Arunachal Pradesh,Urban,Persons,Secondary and Higher Secondary,Private aided,0.8,773.0
Arunachal Pradesh,Urban,Persons,Secondary and Higher Secondary,Private Unaided,2.5,773.0
Arunachal Pradesh,Urban,Persons,Upper Primary,Government,17.7,773.0
Arunachal Pradesh,Urban,Persons,Upper Primary,Private aided,1.0,773.0
Arunachal Pradesh,Urban,Persons,Upper Primary,Private Unaided,1.9,773.0
Nagaland,Rural,Female,Diploma/Certificate below graduate level,Government,0.9,568.0
Nagaland,Rural,Female,Diploma/Certificate below graduate level,Private aided,0.3,568.0
Nagaland,Rural,Female,Diploma/Certificate below graduate level,Private Unaided,0.1,568.0
Nagaland,Rural,Female,Graduate and above level including diploma,Government,1.4,568.0
Nagaland,Rural,Female,Graduate and above level including diploma,Private aided,0.2,568.0
Nagaland,Rural,Female,Graduate and above level including diploma,Private Unaided,1.0,568.0
Nagaland,Rural,Female,Pre-Primary,Government,3.1,568.0
Nagaland,Rural,Female,Pre-Primary,Private aided,1.3,568.0
Nagaland,Rural,Female,Pre-Primary,Private Unaided,0.8,568.0
Nagaland,Rural,Female,Primary,Government,38.5,568.0
Nagaland,Rural,Female,Primary,Private aided,2.7,568.0
Nagaland,Rural,Female,Primary,Private Unaided,4.7,568.0
Nagaland,Rural,Female,Secondary and Higher Secondary,Government,17.8,568.0
Nagaland,Rural,Female,Secondary and Higher Secondary,Private aided,2.1,568.0
Nagaland,Rural,Female,Secondary and Higher Secondary,Private Unaided,3.1,568.0
Nagaland,Rural,Female,Upper Primary,Government,16.6,568.0
Nagaland,Rural,Female,Upper Primary,Private aided,1.7,568.0
Nagaland,Rural,Female,Upper Primary,Private Unaided,3.5,568.0
Nagaland,Rural,Male,Diploma/Certificate below graduate level,Government,0.8,682.0
Nagaland,Rural,Male,Diploma/Certificate below graduate level,Private aided,0.0,682.0
Nagaland,Rural,Male,Diploma/Certificate below graduate level,Private Unaided,0.0,682.0
Nagaland,Rural,Male,Graduate and above level including diploma,Government,2.9,682.0
Nagaland,Rural,Male,Graduate and above level including diploma,Private aided,0.6,682.0
Nagaland,Rural,Male,Graduate and above level including diploma,Private Unaided,1.5,682.0
Nagaland,Rural,Male,Pre-Primary,Government,7.9,682.0
Nagaland,Rural,Male,Pre-Primary,Private aided,0.9,682.0
Nagaland,Rural,Male,Pre-Primary,Private Unaided,0.7,682.0
Nagaland,Rural,Male,Primary,Government,36.9,682.0
Nagaland,Rural,Male,Primary,Private aided,2.9,682.0
Nagaland,Rural,Male,Primary,Private Unaided,2.9,682.0
Nagaland,Rural,Male,Secondary and Higher Secondary,Government,13.5,682.0
Nagaland,Rural,Male,Secondary and Higher Secondary,Private aided,2.4,682.0
Nagaland,Rural,Male,Secondary and Higher Secondary,Private Unaided,3.3,682.0
Nagaland,Rural,Male,Upper Primary,Government,18.2,682.0
Nagaland,Rural,Male,Upper Primary,Private aided,1.7,682.0
Nagaland,Rural,Male,Upper Primary,Private Unaided,2.6,682.0
Nagaland,Rural,Persons,Diploma/Certificate below graduate level,Government,0.8,1250.0
Nagaland,Rural,Persons,Diploma/Certificate below graduate level,Private aided,0.1,1250.0
Nagaland,Rural,Persons,Diploma/Certificate below graduate level,Private Unaided,0.1,1250.0
Nagaland,Rural,Persons,Graduate and above level including diploma,Government,2.3,1250.0
Nagaland,Rural,Persons,Graduate and above level including diploma,Private aided,0.4,1250.0
Nagaland,Rural,Persons,Graduate and above level including diploma,Private Unaided,1.3,1250.0
Nagaland,Rural,Persons,Pre-Primary,Government,5.8,1250.0
Nagaland,Rural,Persons,Pre-Primary,Private aided,1.1,1250.0
Nagaland,Rural,Persons,Pre-Primary,Private Unaided,0.8,1250.0
Nagaland,Rural,Persons,Primary,Government,37.5,1250.0
Nagaland,Rural,Persons,Primary,Private aided,2.8,1250.0
Nagaland,Rural,Persons,Primary,Private Unaided,3.7,1250.0
Nagaland,Rural,Persons,Secondary and Higher Secondary,Government,15.3,1250.0
Nagaland,Rural,Persons,Secondary and Higher Secondary,Private aided,2.3,1250.0
Nagaland,Rural,Persons,Secondary and Higher Secondary,Private Unaided,3.2,1250.0
