State,Residence_Type,Level of current enrolment,Gender,Gross enrolment ratio ( ger )
Rajasthan,Rural,Post Higher Secondary,Person,24.9
Rajasthan,Rural,Primary,Person,111.4
Rajasthan,Rural,Primary To Higher Secondary,Person,93.5
Rajasthan,Rural,Primary & Upper Primary,Person,102.7
Rajasthan,Rural,Secondary,Person,79.7
Rajasthan,Rural,Secondary And Higher Secondary,Person,75.5
Rajasthan,Rural,Upper Primary,Person,88.1
Rajasthan,Total,Higher Secondary,Female,69.8
Rajasthan,Total,Post Higher Secondary,Female,24.8
Rajasthan,Total,Primary,Female,111.9
Rajasthan,Total,Primary To Higher Secondary,Female,90.4
Rajasthan,Total,Primary & Upper Primary,Female,102.3
Rajasthan,Total,Secondary,Female,66.1
Rajasthan,Total,Secondary And Higher Secondary,Female,67.8
Rajasthan,Total,Upper Primary,Female,88.0
Rajasthan,Total,Higher Secondary,Male,72.5
Rajasthan,Total,Post Higher Secondary,Male,33.7
Rajasthan,Total,Primary,Male,109.9
Rajasthan,Total,Primary To Higher Secondary,Male,96.3
Rajasthan,Total,Primary & Upper Primary,Male,101.7
Rajasthan,Total,Secondary,Male,98.7
Rajasthan,Total,Secondary And Higher Secondary,Male,85.8
Rajasthan,Total,Upper Primary,Male,87.0
Rajasthan,Total,Higher Secondary,Person,71.3
Rajasthan,Total,Post Higher Secondary,Person,29.5
Rajasthan,Total,Primary,Person,110.8
Rajasthan,Total,Primary To Higher Secondary,Person,93.6
Rajasthan,Total,Primary & Upper Primary,Person,102.0
Rajasthan,Total,Secondary,Person,83.2
Rajasthan,Total,Secondary And Higher Secondary,Person,77.5
Rajasthan,Total,Upper Primary,Person,87.5
Rajasthan,Urban,Higher Secondary,Female,77.5
Rajasthan,Urban,Post Higher Secondary,Female,41.8
Rajasthan,Urban,Primary,Female,115.4
Rajasthan,Urban,Primary To Higher Secondary,Female,92.6
Rajasthan,Urban,Primary & Upper Primary,Female,102.2
Rajasthan,Urban,Secondary,Female,77.5
Rajasthan,Urban,Secondary And Higher Secondary,Female,77.5
Rajasthan,Urban,Upper Primary,Female,86.6
Rajasthan,Urban,Higher Secondary,Male,70.9
Rajasthan,Urban,Post Higher Secondary,Male,42.2
Rajasthan,Urban,Primary,Male,104.0
Rajasthan,Urban,Primary To Higher Secondary,Male,95.0
Rajasthan,Urban,Primary & Upper Primary,Male,97.0
Rajasthan,Urban,Secondary,Male,123.5
Rajasthan,Urban,Secondary And Higher Secondary,Male,91.0
Rajasthan,Urban,Upper Primary,Male,84.0
Rajasthan,Urban,Higher Secondary,Person,73.6
Rajasthan,Urban,Post Higher Secondary,Person,42.0
Rajasthan,Urban,Primary,Person,108.1
Rajasthan,Urban,Primary To Higher Secondary,Person,94.0
Rajasthan,Urban,Primary & Upper Primary,Person,99.1
Rajasthan,Urban,Secondary,Person,99.9
Rajasthan,Urban,Secondary And Higher Secondary,Person,84.8
Rajasthan,Urban,Upper Primary,Person,85.3
Uttar Pradesh,Rural,Higher Secondary,Female,54.2
Uttar Pradesh,Rural,Post Higher Secondary,Female,19.1
Uttar Pradesh,Rural,Primary,Female,95.6
Uttar Pradesh,Rural,Primary To Higher Secondary,Female,81.5
Uttar Pradesh,Rural,Primary & Upper Primary,Female,95.4
Uttar Pradesh,Rural,Secondary,Female,55.4
Uttar Pradesh,Rural,Secondary And Higher Secondary,Female,54.8
Uttar Pradesh,Rural,Upper Primary,Female,95.0
Uttar Pradesh,Rural,Higher Secondary,Male,64.0
Uttar Pradesh,Rural,Post Higher Secondary,Male,19.3
Uttar Pradesh,Rural,Primary,Male,102.0
Uttar Pradesh,Rural,Primary To Higher Secondary,Male,87.6
Uttar Pradesh,Rural,Primary & Upper Primary,Male,97.6
Uttar Pradesh,Rural,Secondary,Male,69.7
Uttar Pradesh,Rural,Secondary And Higher Secondary,Male,67.0
Uttar Pradesh,Rural,Upper Primary,Male,89.2
Uttar Pradesh,Rural,Higher Secondary,Person,59.3
Uttar Pradesh,Rural,Post Higher Secondary,Person,19.2
Uttar Pradesh,Rural,Primary,Person,99.1
Uttar Pradesh,Rural,Primary To Higher Secondary,Person,84.8
Uttar Pradesh,Rural,Primary & Upper Primary,Person,96.6
Uttar Pradesh,Rural,Secondary,Person,63.1
Uttar Pradesh,Rural,Secondary And Higher Secondary,Person,61.3
Uttar Pradesh,Rural,Upper Primary,Person,91.8
Uttar Pradesh,Total,Higher Secondary,Female,55.6
Uttar Pradesh,Total,Post Higher Secondary,Female,21.2
Uttar Pradesh,Total,Primary,Female,95.1
Uttar Pradesh,Total,Primary To Higher Secondary,Female,81.6
Uttar Pradesh,Total,Primary & Upper Primary,Female,94.6
Uttar Pradesh,Total,Secondary,Female,58.8
Uttar Pradesh,Total,Secondary And Higher Secondary,Female,57.2
Uttar Pradesh,Total,Upper Primary,Female,93.6
Uttar Pradesh,Total,Higher Secondary,Male,66.0
Uttar Pradesh,Total,Post Higher Secondary,Male,21.3
Uttar Pradesh,Total,Primary,Male,102.6
Uttar Pradesh,Total,Primary To Higher Secondary,Male,87.7
Uttar Pradesh,Total,Primary & Upper Primary,Male,97.2
Uttar Pradesh,Total,Secondary,Male,70.3
Uttar Pradesh,Total,Secondary And Higher Secondary,Male,68.2
Uttar Pradesh,Total,Upper Primary,Male,87.1
Uttar Pradesh,Total,Higher Secondary,Person,61.0
Uttar Pradesh,Total,Post Higher Secondary,Person,21.3
Uttar Pradesh,Total,Primary,Person,99.2
Uttar Pradesh,Total,Primary To Higher Secondary,Person,84.9
Uttar Pradesh,Total,Primary & Upper Primary,Person,96.0
Uttar Pradesh,Total,Secondary,Person,64.9
Uttar Pradesh,Total,Secondary And Higher Secondary,Person,63.0
Uttar Pradesh,Total,Upper Primary,Person,90.0
Uttar Pradesh,Urban,Higher Secondary,Female,61.1
Uttar Pradesh,Urban,Post Higher Secondary,Female,29.0
Uttar Pradesh,Urban,Primary,Female,92.3
Uttar Pradesh,Urban,Primary To Higher Secondary,Female,82.0
Uttar Pradesh,Urban,Primary & Upper Primary,Female,90.6
Uttar Pradesh,Urban,Secondary,Female,74.4
Uttar Pradesh,Urban,Secondary And Higher Secondary,Female,67.2
Uttar Pradesh,Urban,Upper Primary,Female,87.8
Uttar Pradesh,Urban,Higher Secondary,Male,74.0
Uttar Pradesh,Urban,Post Higher Secondary,Male,28.6
Uttar Pradesh,Urban,Primary,Male,105.4
Uttar Pradesh,Urban,Primary To Higher Secondary,Male,87.9
Uttar Pradesh,Urban,Primary & Upper Primary,Male,95.1
Uttar Pradesh,Urban,Secondary,Male,73.2
Uttar Pradesh,Urban,Secondary And Higher Secondary,Male,73.6
Uttar Pradesh,Urban,Upper Primary,Male,78.4
Uttar Pradesh,Urban,Higher Secondary,Person,67.7
Uttar Pradesh,Urban,Post Higher Secondary,Person,28.8
Uttar Pradesh,Urban,Primary,Person,99.6
Uttar Pradesh,Urban,Primary To Higher Secondary,Person,85.2
Uttar Pradesh,Urban,Primary & Upper Primary,Person,93.1
Uttar Pradesh,Urban,Secondary,Person,73.7
Uttar Pradesh,Urban,Secondary And Higher Secondary,Person,70.5
Uttar Pradesh,Urban,Upper Primary,Person,82.5
Bihar,Rural,Higher Secondary,Female,55.0
Bihar,Rural,Post Higher Secondary,Female,9.0
Bihar,Rural,Primary,Female,100.0
Bihar,Rural,Primary To Higher Secondary,Female,91.1
Bihar,Rural,Primary & Upper Primary,Female,97.5
Bihar,Rural,Secondary,Female,86.4
Bihar,Rural,Secondary And Higher Secondary,Female,73.7
Bihar,Rural,Upper Primary,Female,92.7
Bihar,Rural,Higher Secondary,Male,68.2
Bihar,Rural,Post Higher Secondary,Male,19.7
Bihar,Rural,Primary,Male,97.0
Bihar,Rural,Primary To Higher Secondary,Male,92.9
Bihar,Rural,Primary & Upper Primary,Male,99.5
Bihar,Rural,Secondary,Male,81.7
Bihar,Rural,Secondary And Higher Secondary,Male,76.1
Bihar,Rural,Upper Primary,Male,104.6
Bihar,Rural,Higher Secondary,Person,63.3
Bihar,Rural,Post Higher Secondary,Person,14.4
Bihar,Rural,Primary,Person,98.2
Bihar,Rural,Primary To Higher Secondary,Person,92.2
Bihar,Rural,Primary & Upper Primary,Person,98.7
Bihar,Rural,Secondary,Person,83.6
Bihar,Rural,Secondary And Higher Secondary,Person,75.2
Bihar,Rural,Upper Primary,Person,99.8
Bihar,Total,Higher Secondary,Female,58.4
Bihar,Total,Post Higher Secondary,Female,11.4
Bihar,Total,Primary,Female,99.0
Bihar,Total,Primary To Higher Secondary,Female,90.9
Bihar,Total,Primary & Upper Primary,Female,96.8
Bihar,Total,Secondary,Female,87.2
Bihar,Total,Secondary And Higher Secondary,Female,75.4
Bihar,Total,Upper Primary,Female,92.4
Bihar,Total,Higher Secondary,Male,70.9
Bihar,Total,Post Higher Secondary,Male,21.5
Bihar,Total,Primary,Male,97.2
Bihar,Total,Primary To Higher Secondary,Male,93.0
Bihar,Total,Primary & Upper Primary,Male,99.4
Bihar,Total,Secondary,Male,80.9
Bihar,Total,Secondary And Higher Secondary,Male,76.7
Bihar,Total,Upper Primary,Male,104.0
Bihar,Total,Higher Secondary,Person,66.2
Bihar,Total,Post Higher Secondary,Person,16.5
Bihar,Total,Primary,Person,97.9
Bihar,Total,Primary To Higher Secondary,Person,92.2
Bihar,Total,Primary & Upper Primary,Person,98.4
Bihar,Total,Secondary,Person,83.3
Bihar,Total,Secondary And Higher Secondary,Person,76.2
Bihar,Total,Upper Primary,Person,99.3
Bihar,Urban,Higher Secondary,Female,82.0
Bihar,Urban,Post Higher Secondary,Female,32.2
Bihar,Urban,Primary,Female,90.3
Bihar,Urban,Primary To Higher Secondary,Female,89.5
Bihar,Urban,Primary & Upper Primary,Female,90.0
Bihar,Urban,Secondary,Female,93.6
Bihar,Urban,Secondary And Higher Secondary,Female,88.3
Bihar,Urban,Upper Primary,Female,89.6
Bihar,Urban,Higher Secondary,Male,93.2
Bihar,Urban,Post Higher Secondary,Male,37.2
Bihar,Urban,Primary,Male,98.9
Bihar,Urban,Primary To Higher Secondary,Male,93.8
Bihar,Urban,Primary & Upper Primary,Male,98.6
Bihar,Urban,Secondary,Male,72.4
Bihar,Urban,Secondary And Higher Secondary,Male,81.8
Bihar,Urban,Upper Primary,Male,97.9
Bihar,Urban,Higher Secondary,Person,88.5
Bihar,Urban,Post Higher Secondary,Person,34.7
Bihar,Urban,Primary,Person,95.5
Bihar,Urban,Primary To Higher Secondary,Person,92.1
Bihar,Urban,Primary & Upper Primary,Person,95.2
Bihar,Urban,Secondary,Person,81.1
Bihar,Urban,Secondary And Higher Secondary,Person,84.5
Bihar,Urban,Upper Primary,Person,94.6
Sikkim,Rural,Higher Secondary,Female,109.0
Sikkim,Rural,Post Higher Secondary,Female,15.2
Sikkim,Rural,Primary,Female,114.1
Sikkim,Rural,Primary To Higher Secondary,Female,109.2
Sikkim,Rural,Primary & Upper Primary,Female,106.6
Sikkim,Rural,Secondary,Female,118.0
Sikkim,Rural,Secondary And Higher Secondary,Female,113.6
Sikkim,Rural,Upper Primary,Female,98.9
Sikkim,Rural,Higher Secondary,Male,88.4
Sikkim,Rural,Post Higher Secondary,Male,13.1
Sikkim,Rural,Primary,Male,94.5
Sikkim,Rural,Primary To Higher Secondary,Male,106.5
Sikkim,Rural,Primary & Upper Primary,Male,111.1
Sikkim,Rural,Secondary,Male,111.5
Sikkim,Rural,Secondary And Higher Secondary,Male,100.0
Sikkim,Rural,Upper Primary,Male,131.5
Sikkim,Rural,Higher Secondary,Person,98.4
Sikkim,Rural,Post Higher Secondary,Person,14.2
Sikkim,Rural,Primary,Person,104.5
Sikkim,Rural,Primary To Higher Secondary,Person,107.9
Sikkim,Rural,Primary & Upper Primary,Person,108.7
Sikkim,Rural,Secondary,Person,114.7
Sikkim,Rural,Secondary And Higher Secondary,Person,106.6
Sikkim,Rural,Upper Primary,Person,113.3
Sikkim,Total,Higher Secondary,Female,102.4
Sikkim,Total,Post Higher Secondary,Female,20.0
Sikkim,Total,Primary,Female,108.6
Sikkim,Total,Primary To Higher Secondary,Female,106.6
Sikkim,Total,Primary & Upper Primary,Female,104.2
Sikkim,Total,Secondary,Female,118.1
Sikkim,Total,Secondary And Higher Secondary,Female,110.3
Sikkim,Total,Upper Primary,Female,99.6
Sikkim,Total,Higher Secondary,Male,88.5
Sikkim,Total,Post Higher Secondary,Male,27.0
Sikkim,Total,Primary,Male,102.9
Sikkim,Total,Primary To Higher Secondary,Male,107.0
Sikkim,Total,Primary & Upper Primary,Male,111.1
Sikkim,Total,Secondary,Male,114.9
Sikkim,Total,Secondary And Higher Secondary,Male,101.5
Sikkim,Total,Upper Primary,Male,120.5
Sikkim,Total,Higher Secondary,Person,95.3
Sikkim,Total,Post Higher Secondary,Person,23.5
Sikkim,Total,Primary,Person,105.9
Sikkim,Total,Primary To Higher Secondary,Person,106.8
Sikkim,Total,Primary & Upper Primary,Person,107.5
Sikkim,Total,Secondary,Person,116.5
Sikkim,Total,Secondary And Higher Secondary,Person,105.8
Sikkim,Total,Upper Primary,Person,109.2
Sikkim,Urban,Higher Secondary,Female,86.5
Sikkim,Urban,Post Higher Secondary,Female,41.4
Sikkim,Urban,Primary,Female,87.8
Sikkim,Urban,Primary To Higher Secondary,Female,98.3
Sikkim,Urban,Primary & Upper Primary,Female,94.8
Sikkim,Urban,Secondary,Female,118.3
Sikkim,Urban,Secondary And Higher Secondary,Female,102.0
Sikkim,Urban,Upper Primary,Female,102.7
Sikkim,Urban,Higher Secondary,Male,88.8
Sikkim,Urban,Post Higher Secondary,Male,61.9
Sikkim,Urban,Primary,Male,138.0
Sikkim,Urban,Primary To Higher Secondary,Male,108.6
Sikkim,Urban,Primary & Upper Primary,Male,111.3
Sikkim,Urban,Secondary,Male,124.5
Sikkim,Urban,Secondary And Higher Secondary,Male,105.6
Sikkim,Urban,Upper Primary,Male,87.2
Sikkim,Urban,Higher Secondary,Person,87.7
Sikkim,Urban,Post Higher Secondary,Person,53.7
Sikkim,Urban,Primary,Person,111.2
Sikkim,Urban,Primary To Higher Secondary,Person,103.4
Sikkim,Urban,Primary & Upper Primary,Person,102.9
Sikkim,Urban,Secondary,Person,121.3
Sikkim,Urban,Secondary And Higher Secondary,Person,103.8
Sikkim,Urban,Upper Primary,Person,94.6
Arunachal Pradesh,Rural,Higher Secondary,Female,77.7
Arunachal Pradesh,Rural,Post Higher Secondary,Female,20.1
Arunachal Pradesh,Rural,Primary,Female,77.1
Arunachal Pradesh,Rural,Primary To Higher Secondary,Female,84.8
Arunachal Pradesh,Rural,Primary & Upper Primary,Female,92.2
Arunachal Pradesh,Rural,Secondary,Female,63.8
Arunachal Pradesh,Rural,Secondary And Higher Secondary,Female,69.8
Arunachal Pradesh,Rural,Upper Primary,Female,121.2
Arunachal Pradesh,Rural,Higher Secondary,Male,91.2
Arunachal Pradesh,Rural,Post Higher Secondary,Male,23.5
Arunachal Pradesh,Rural,Primary,Male,93.1
Arunachal Pradesh,Rural,Primary To Higher Secondary,Male,91.6
Arunachal Pradesh,Rural,Primary & Upper Primary,Male,99.4
Arunachal Pradesh,Rural,Secondary,Male,69.3
Arunachal Pradesh,Rural,Secondary And Higher Secondary,Male,78.8
Arunachal Pradesh,Rural,Upper Primary,Male,112.6
Arunachal Pradesh,Rural,Higher Secondary,Person,85.4
Arunachal Pradesh,Rural,Post Higher Secondary,Person,22.0
Arunachal Pradesh,Rural,Primary,Person,85.5
Arunachal Pradesh,Rural,Primary To Higher Secondary,Person,88.5
Arunachal Pradesh,Rural,Primary & Upper Primary,Person,95.9
Arunachal Pradesh,Rural,Secondary,Person,66.9
Arunachal Pradesh,Rural,Secondary And Higher Secondary,Person,74.9
Arunachal Pradesh,Rural,Upper Primary,Person,116.9
Arunachal Pradesh,Total,Higher Secondary,Female,83.3
Arunachal Pradesh,Total,Post Higher Secondary,Female,23.1
Arunachal Pradesh,Total,Primary,Female,78.3
Arunachal Pradesh,Total,Primary To Higher Secondary,Female,85.5
Arunachal Pradesh,Total,Primary & Upper Primary,Female,92.2
Arunachal Pradesh,Total,Secondary,Female,63.5
Arunachal Pradesh,Total,Secondary And Higher Secondary,Female,72.2
Arunachal Pradesh,Total,Upper Primary,Female,118.1
Arunachal Pradesh,Total,Higher Secondary,Male,90.7
Arunachal Pradesh,Total,Post Higher Secondary,Male,29.5
Arunachal Pradesh,Total,Primary,Male,93.4
Arunachal Pradesh,Total,Primary To Higher Secondary,Male,92.3
Arunachal Pradesh,Total,Primary & Upper Primary,Male,100.6
Arunachal Pradesh,Total,Secondary,Male,70.1
Arunachal Pradesh,Total,Secondary And Higher Secondary,Male,79.3
Arunachal Pradesh,Total,Upper Primary,Male,115.4
Arunachal Pradesh,Total,Higher Secondary,Person,87.6
Arunachal Pradesh,Total,Post Higher Secondary,Person,26.6
Arunachal Pradesh,Total,Primary,Person,86.3
Arunachal Pradesh,Total,Primary To Higher Secondary,Person,89.2
Arunachal Pradesh,Total,Primary & Upper Primary,Person,96.6
Arunachal Pradesh,Total,Secondary,Person,67.3
Arunachal Pradesh,Total,Secondary And Higher Secondary,Person,76.3
Arunachal Pradesh,Total,Upper Primary,Person,116.7
Arunachal Pradesh,Urban,Higher Secondary,Female,112.4
Arunachal Pradesh,Urban,Post Higher Secondary,Female,36.1
Arunachal Pradesh,Urban,Primary,Female,89.4
Arunachal Pradesh,Urban,Primary To Higher Secondary,Female,89.8
Arunachal Pradesh,Urban,Primary & Upper Primary,Female,92.6
Arunachal Pradesh,Urban,Secondary,Female,62.1
Arunachal Pradesh,Urban,Secondary And Higher Secondary,Female,85.8
Arunachal Pradesh,Urban,Upper Primary,Female,97.2
Arunachal Pradesh,Urban,Higher Secondary,Male,89.0
Arunachal Pradesh,Urban,Post Higher Secondary,Male,63.3
Arunachal Pradesh,Urban,Primary,Male,95.1
Arunachal Pradesh,Urban,Primary To Higher Secondary,Male,96.2
Arunachal Pradesh,Urban,Primary & Upper Primary,Male,108.3
Arunachal Pradesh,Urban,Secondary,Male,74.1
Arunachal Pradesh,Urban,Secondary And Higher Secondary,Male,81.3
Arunachal Pradesh,Urban,Upper Primary,Male,130.1
Arunachal Pradesh,Urban,Higher Secondary,Person,97.6
Arunachal Pradesh,Urban,Post Higher Secondary,Person,49.6
Arunachal Pradesh,Urban,Primary,Person,92.8
Arunachal Pradesh,Urban,Primary To Higher Secondary,Person,93.6
Arunachal Pradesh,Urban,Primary & Upper Primary,Person,101.7
Arunachal Pradesh,Urban,Secondary,Person,69.5
Arunachal Pradesh,Urban,Secondary And Higher Secondary,Person,83.0
Arunachal Pradesh,Urban,Upper Primary,Person,115.7
Nagaland,Rural,Higher Secondary,Female,34.0
Nagaland,Rural,Post Higher Secondary,Female,7.8
Nagaland,Rural,Primary,Female,101.1
Nagaland,Rural,Primary To Higher Secondary,Female,92.2
Nagaland,Rural,Primary & Upper Primary,Female,98.1
Nagaland,Rural,Secondary,Female,123.8
Nagaland,Rural,Secondary And Higher Secondary,Female,78.3
Nagaland,Rural,Upper Primary,Female,92.2
Nagaland,Rural,Higher Secondary,Male,54.5
Nagaland,Rural,Post Higher Secondary,Male,12.8
Nagaland,Rural,Primary,Male,97.0
Nagaland,Rural,Primary To Higher Secondary,Male,92.7
Nagaland,Rural,Primary & Upper Primary,Male,95.9
Nagaland,Rural,Secondary,Male,100.4
Nagaland,Rural,Secondary And Higher Secondary,Male,84.0
Nagaland,Rural,Upper Primary,Male,93.9
Nagaland,Rural,Higher Secondary,Person,43.1
Nagaland,Rural,Post Higher Secondary,Person,10.7
Nagaland,Rural,Primary,Person,98.8
Nagaland,Rural,Primary To Higher Secondary,Person,92.5
Nagaland,Rural,Primary & Upper Primary,Person,96.8
Nagaland,Rural,Secondary,Person,109.9
Nagaland,Rural,Secondary And Higher Secondary,Person,81.3
Nagaland,Rural,Upper Primary,Person,93.2
Nagaland,Total,Higher Secondary,Female,67.5
Nagaland,Total,Post Higher Secondary,Female,21.5
Nagaland,Total,Primary,Female,98.7
Nagaland,Total,Primary To Higher Secondary,Female,93.2
Nagaland,Total,Primary & Upper Primary,Female,97.3
Nagaland,Total,Secondary,Female,98.3
Nagaland,Total,Secondary And Higher Secondary,Female,85.8
Nagaland,Total,Upper Primary,Female,95.0
Nagaland,Total,Higher Secondary,Male,64.0
Nagaland,Total,Post Higher Secondary,Male,25.2
Nagaland,Total,Primary,Male,95.0
Nagaland,Total,Primary To Higher Secondary,Male,93.9
Nagaland,Total,Primary & Upper Primary,Male,95.2
Nagaland,Total,Secondary,Male,107.5
Nagaland,Total,Secondary And Higher Secondary,Male,90.6
Nagaland,Total,Upper Primary,Male,95.5
Nagaland,Total,Higher Secondary,Person,65.8
Nagaland,Total,Post Higher Secondary,Person,23.6
Nagaland,Total,Primary,Person,96.6
Nagaland,Total,Primary To Higher Secondary,Person,93.6
Nagaland,Total,Primary & Upper Primary,Person,96.1
Nagaland,Total,Secondary,Person,102.8
Nagaland,Total,Secondary And Higher Secondary,Person,88.1
Nagaland,Total,Upper Primary,Person,95.3
Nagaland,Urban,Higher Secondary,Female,168.8
Nagaland,Urban,Post Higher Secondary,Female,39.7
Nagaland,Urban,Primary,Female,87.5
Nagaland,Urban,Primary To Higher Secondary,Female,95.8
Nagaland,Urban,Primary & Upper Primary,Female,94.6
Nagaland,Urban,Secondary,Female,72.6
Nagaland,Urban,Secondary And Higher Secondary,Female,97.1
Nagaland,Urban,Upper Primary,Female,101.2
Nagaland,Urban,Higher Secondary,Male,83.3
Nagaland,Urban,Post Higher Secondary,Male,47.3
Nagaland,Urban,Primary,Male,87.7
Nagaland,Urban,Primary To Higher Secondary,Male,97.8
Nagaland,Urban,Primary & Upper Primary,Male,92.8
Nagaland,Urban,Secondary,Male,130.2
Nagaland,Urban,Secondary And Higher Secondary,Male,108.3
Nagaland,Urban,Upper Primary,Male,100.6
Nagaland,Urban,Higher Secondary,Person,122.5
Nagaland,Urban,Post Higher Secondary,Person,43.5
Nagaland,Urban,Primary,Person,87.6
Nagaland,Urban,Primary To Higher Secondary,Person,96.8
Nagaland,Urban,Primary & Upper Primary,Person,93.6
Nagaland,Urban,Secondary,Person,90.8
Nagaland,Urban,Secondary And Higher Secondary,Person,101.5
Nagaland,Urban,Upper Primary,Person,100.9
Manipur,Rural,Higher Secondary,Female,80.6
Manipur,Rural,Post Higher Secondary,Female,18.3
Manipur,Rural,Primary,Female,96.7
Manipur,Rural,Primary To Higher Secondary,Female,96.8
Manipur,Rural,Primary & Upper Primary,Female,101.1
Manipur,Rural,Secondary,Female,93.7
Manipur,Rural,Secondary And Higher Secondary,Female,87.6
Manipur,Rural,Upper Primary,Female,110.9
Manipur,Rural,Higher Secondary,Male,92.9
Manipur,Rural,Post Higher Secondary,Male,33.3
Manipur,Rural,Primary,Male,98.8
Manipur,Rural,Primary To Higher Secondary,Male,97.6
Manipur,Rural,Primary & Upper Primary,Male,95.7
Manipur,Rural,Secondary,Male,116.6
Manipur,Rural,Secondary And Higher Secondary,Male,104.1
Manipur,Rural,Upper Primary,Male,88.2
Manipur,Rural,Higher Secondary,Person,87.1
Manipur,Rural,Post Higher Secondary,Person,25.6
Manipur,Rural,Primary,Person,98.0
Manipur,Rural,Primary To Higher Secondary,Person,97.3
Manipur,Rural,Primary & Upper Primary,Person,97.8
Manipur,Rural,Secondary,Person,104.3
Manipur,Rural,Secondary And Higher Secondary,Person,95.8
Manipur,Rural,Upper Primary,Person,97.5
Manipur,Total,Higher Secondary,Female,86.2
Manipur,Total,Post Higher Secondary,Female,24.0
Manipur,Total,Primary,Female,96.6
Manipur,Total,Primary To Higher Secondary,Female,96.2
Manipur,Total,Primary & Upper Primary,Female,98.8
Manipur,Total,Secondary,Female,94.0
Manipur,Total,Secondary And Higher Secondary,Female,90.7
Manipur,Total,Upper Primary,Female,103.3
Manipur,Total,Higher Secondary,Male,99.7
Manipur,Total,Post Higher Secondary,Male,39.2
Manipur,Total,Primary,Male,97.0
Manipur,Total,Primary To Higher Secondary,Male,97.0
Manipur,Total,Primary & Upper Primary,Male,94.4
Manipur,Total,Secondary,Male,110.7
Manipur,Total,Secondary And Higher Secondary,Male,105.6
Manipur,Total,Upper Primary,Male,88.7
Manipur,Total,Higher Secondary,Person,93.1
Manipur,Total,Post Higher Secondary,Person,31.6
Manipur,Total,Primary,Person,96.8
Manipur,Total,Primary To Higher Secondary,Person,96.6
Manipur,Total,Primary & Upper Primary,Person,96.1
Manipur,Total,Secondary,Person,101.9
Manipur,Total,Secondary And Higher Secondary,Person,98.0
Manipur,Total,Upper Primary,Person,94.7
Manipur,Urban,Higher Secondary,Female,100.2
Manipur,Urban,Post Higher Secondary,Female,39.9
Manipur,Urban,Primary,Female,96.4
Manipur,Urban,Primary To Higher Secondary,Female,95.0
Manipur,Urban,Primary & Upper Primary,Female,94.2
Manipur,Urban,Secondary,Female,94.5
Manipur,Urban,Secondary And Higher Secondary,Female,96.5
Manipur,Urban,Upper Primary,Female,90.2
Manipur,Urban,Higher Secondary,Male,119.7
Manipur,Urban,Post Higher Secondary,Male,53.5
Manipur,Urban,Primary,Male,93.0
Manipur,Urban,Primary To Higher Secondary,Male,95.7
Manipur,Urban,Primary & Upper Primary,Male,91.8
Manipur,Urban,Secondary,Male,102.2
Manipur,Urban,Secondary And Higher Secondary,Male,108.4
Manipur,Urban,Upper Primary,Male,89.6
Manipur,Urban,Higher Secondary,Person,109.7
Manipur,Urban,Post Higher Secondary,Person,47.0
Manipur,Urban,Primary,Person,94.4
Manipur,Urban,Primary To Higher Secondary,Person,95.4
Manipur,Urban,Primary & Upper Primary,Person,92.8
Manipur,Urban,Secondary,Person,98.2
Manipur,Urban,Secondary And Higher Secondary,Person,102.2
Manipur,Urban,Upper Primary,Person,89.9
Mizoram,Rural,Higher Secondary,Female,45.4
Mizoram,Rural,Post Higher Secondary,Female,0.8
Mizoram,Rural,Primary,Female,99.1
Mizoram,Rural,Primary To Higher Secondary,Female,94.4
Mizoram,Rural,Primary & Upper Primary,Female,106.9
Mizoram,Rural,Secondary,Female,90.0
Mizoram,Rural,Secondary And Higher Secondary,Female,71.6
Mizoram,Rural,Upper Primary,Female,120.1
Mizoram,Rural,Higher Secondary,Male,41.4
Mizoram,Rural,Post Higher Secondary,Male,0.5
Mizoram,Rural,Primary,Male,99.0
Mizoram,Rural,Primary To Higher Secondary,Male,95.7
Mizoram,Rural,Primary & Upper Primary,Male,105.8
Mizoram,Rural,Secondary,Male,103.5
Mizoram,Rural,Secondary And Higher Secondary,Male,74.4
Mizoram,Rural,Upper Primary,Male,119.1
Mizoram,Rural,Higher Secondary,Person,43.1
Mizoram,Rural,Post Higher Secondary,Person,0.6
Mizoram,Rural,Primary,Person,99.0
Mizoram,Rural,Primary To Higher Secondary,Person,95.1
Mizoram,Rural,Primary & Upper Primary,Person,106.2
Mizoram,Rural,Secondary,Person,96.9
Mizoram,Rural,Secondary And Higher Secondary,Person,73.1
Mizoram,Rural,Upper Primary,Person,119.5
Mizoram,Total,Higher Secondary,Female,78.2
Mizoram,Total,Post Higher Secondary,Female,18.2
Mizoram,Total,Primary,Female,100.5
Mizoram,Total,Primary To Higher Secondary,Female,98.8
Mizoram,Total,Primary & Upper Primary,Female,105.3
Mizoram,Total,Secondary,Female,94.3
Mizoram,Total,Secondary And Higher Secondary,Female,87.1
Mizoram,Total,Upper Primary,Female,113.7
Mizoram,Total,Higher Secondary,Male,65.4
Mizoram,Total,Post Higher Secondary,Male,16.2
Mizoram,Total,Primary,Male,101.6
Mizoram,Total,Primary To Higher Secondary,Male,98.8
Mizoram,Total,Primary & Upper Primary,Male,104.2
Mizoram,Total,Secondary,Male,108.8
Mizoram,Total,Secondary And Higher Secondary,Male,87.8
Mizoram,Total,Upper Primary,Male,109.4
