State,Residence_Type,Gender,Age group of children in months,Children without any immunisation (%),Fully immunised children (%),Sample number of children
Delhi,Rural,girl,6<=Age<=11,0,0,9
Delhi,Rural,girl,all (0-71 months),7.2,33.4,40
Delhi,Total,boy,0<=Age<6,0.4,0,152
Delhi,Total,boy,12<=Age<=23,0,13.1,37
Delhi,Total,boy,24<=AgW=35,0.3,36.8,83
Delhi,Total,boy,36<=AgW=t7,2.9,66.7,88
Delhi,Total,boy,48<=Age<=59,0,94.6,91
Delhi,Total,boy,60<=Age<=71,0.1,86.4,65
Delhi,Total,boy,6<=Age<=11,0.1,11.8,201
Delhi,Total,boy,all (0-71 months),0.7,52.7,717
Delhi,Total,children,0<=Age<6,1.2,0,152
Delhi,Total,children,12<=Age<=23,0,12,37
Delhi,Total,children,24<=AgW=35,0.1,28.6,83
Delhi,Total,children,36<=AgW=t7,20.2,53.4,88
Delhi,Total,children,48<=Age<=59,0,82.2,91
Delhi,Total,children,60<=Age<=71,0.1,91.7,65
Delhi,Total,children,6<=Age<=11,0.1,15.3,201
Delhi,Total,children,all (0-71 months),4.7,47.8,717
Delhi,Total,girl,0<=Age<6,2,0,152
Delhi,Total,girl,12<=Age<=23,0,9,37
Delhi,Total,girl,24<=AgW=35,0,25.5,83
Delhi,Total,girl,36<=AgW=t7,37.5,40.1,88
Delhi,Total,girl,48<=Age<=59,0,66.1,91
Delhi,Total,girl,60<=Age<=71,0,98.3,65
Delhi,Total,girl,6<=Age<=11,0,19.5,201
Delhi,Total,girl,all (0-71 months),9.3,42.3,717
Delhi,Urban,boy,0<=Age<6,0.4,0,145
Delhi,Urban,boy,12<=Age<=23,0,13.1,35
Delhi,Urban,boy,24<=AgW=35,0.3,39.5,76
Delhi,Urban,boy,36<=AgW=t7,2.9,66.8,84
Delhi,Urban,boy,48<=Age<=59,0,94.7,86
Delhi,Urban,boy,60<=Age<=71,0.1,86.3,59
Delhi,Urban,boy,6<=Age<=11,0.1,12.2,192
Delhi,Urban,boy,all (0-71 months),0.7,53.2,677
Delhi,Urban,children,0<=Age<6,0.2,0,145
Delhi,Urban,children,12<=Age<=23,0,12,35
Delhi,Urban,children,24<=AgW=35,0.1,30.1,76
Delhi,Urban,children,36<=AgW=t7,20.3,53.3,84
Delhi,Urban,children,48<=Age<=59,0,82.2,86
Delhi,Urban,children,60<=Age<=71,0.1,91.8,59
Delhi,Urban,children,6<=Age<=11,0.1,15.9,192
Delhi,Urban,children,all (0-71 months),4.7,48.2,677
Delhi,Urban,girl,0<=Age<6,0,0,145
Delhi,Urban,girl,12<=Age<=23,0,9,35
Delhi,Urban,girl,24<=AgW=35,0,26.6,76
Delhi,Urban,girl,36<=AgW=t7,37.7,39.7,84
Delhi,Urban,girl,48<=Age<=59,0,66,86
Delhi,Urban,girl,60<=Age<=71,0,98.9,59
Delhi,Urban,girl,6<=Age<=11,0,20,192
Delhi,Urban,girl,all (0-71 months),9.3,42.5,677
Rajasthan,Rural,boy,0<=AgW6,3.9,0,399
Rajasthan,Rural,boy,12<=AgW=23,0.6,48.4,233
Rajasthan,Rural,boy,24<=AgW=35,4.1,54.1,372
Rajasthan,Rural,boy,36<=Age<=t7,3.4,64.2,402
Rajasthan,Rural,boy,48<=Age<=59,5.1,76.9,422
Rajasthan,Rural,boy,60<=Age<=71,8.4,52.2,267
Rajasthan,Rural,boy,6<=AgW=11,0,19.8,482
Rajasthan,Rural,boy,all (0-71 months),3.8,51.7,2577
Rajasthan,Rural,children,0<=AgW6,4,0,399
Rajasthan,Rural,children,12<=AgW=23,0.3,55.5,233
Rajasthan,Rural,children,24<=AgW=35,5.3,57.2,372
Rajasthan,Rural,children,36<=Age<=t7,6.7,65.1,402
Rajasthan,Rural,children,48<=Age<=59,4.8,79,422
Rajasthan,Rural,children,60<=Age<=71,6.7,69.7,267
Rajasthan,Rural,children,6<=AgW=11,0.1,21.7,482
Rajasthan,Rural,children,all (0-71 months),4.5,56.6,2577
Rajasthan,Rural,girl,0<=AgW6,4.1,0,399
Rajasthan,Rural,girl,12<=AgW=23,0,62,233
Rajasthan,Rural,girl,24<=AgW=35,6.9,61.4,372
Rajasthan,Rural,girl,36<=Age<=t7,10.8,66.3,402
Rajasthan,Rural,girl,48<=Age<=59,4.6,80.6,422
Rajasthan,Rural,girl,60<=Age<=71,5.3,83.2,267
Rajasthan,Rural,girl,6<=AgW=11,0.3,24,482
Rajasthan,Rural,girl,all (0-71 months),5.1,61.6,2577
Rajasthan,Total,boy,0<=AgW6,3.2,0,613
Rajasthan,Total,boy,12<=AgW=23,1.1,44.3,327
Rajasthan,Total,boy,24<=AgW=35,3.7,56.6,553
Rajasthan,Total,boy,36<=Age<=t7,4.2,64.3,572
Rajasthan,Total,boy,48<=Age<=59,4.5,76.5,620
Rajasthan,Total,boy,60<=Age<=71,9,57.5,394
Rajasthan,Total,boy,6<=AgW=11,0,19.7,761
Rajasthan,Total,boy,all (0-71 months),3.9,52.5,3840
Rajasthan,Total,children,0<=AgW6,3.3,0,613
Rajasthan,Total,children,12<=AgW=23,0.5,55.6,327
Rajasthan,Total,children,24<=AgW=35,4.7,59.2,553
Rajasthan,Total,children,36<=Age<=t7,6.4,65.8,572
Rajasthan,Total,children,48<=Age<=59,4.6,78.9,620
Rajasthan,Total,children,60<=Age<=71,6.7,72.1,394
Rajasthan,Total,children,6<=AgW=11,0.1,21,761
Rajasthan,Total,children,all (0-71 months),4.2,57.3,3840
Rajasthan,Total,girl,0<=AgW6,3.4,0,613
Rajasthan,Total,girl,12<=AgW=23,0,65.5,327
Rajasthan,Total,girl,24<=AgW=35,5.9,62.6,553
Rajasthan,Total,girl,36<=Age<=t7,8.9,67.6,572
Rajasthan,Total,girl,48<=Age<=59,4.7,81.1,620
Rajasthan,Total,girl,60<=Age<=71,4.8,84.5,394
Rajasthan,Total,girl,6<=AgW=11,0.2,22.4,761
Rajasthan,Total,girl,all (0-71 months),4.5,62.3,3840
Rajasthan,Urban,boy,0<=AgW6,0,0,214
Rajasthan,Urban,boy,12<=AgW=23,3.8,22.7,94
Rajasthan,Urban,boy,24<=AgW=35,1.2,72.7,181
Rajasthan,Urban,boy,36<=Age<=t7,8.3,64.9,170
Rajasthan,Urban,boy,48<=Age<=59,2.6,75,198
Rajasthan,Urban,boy,60<=Age<=71,11,77,127
Rajasthan,Urban,boy,6<=AgW=11,0,19.2,279
Rajasthan,Urban,boy,all (0-71 months),4.3,56.3,1263
Rajasthan,Urban,children,0<=AgW6,0.2,0,214
Rajasthan,Urban,children,12<=AgW=23,1.5,56.1,94
Rajasthan,Urban,children,24<=AgW=35,1.1,70.9,181
Rajasthan,Urban,children,36<=Age<=t7,4.8,69,170
Rajasthan,Urban,children,48<=Age<=59,3.7,78.9,198
Rajasthan,Urban,children,60<=Age<=71,7,83.6,127
Rajasthan,Urban,children,6<=AgW=11,0,18,279
Rajasthan,Urban,children,all (0-71 months),3,60.9,1263
Rajasthan,Urban,girl,0<=AgW6,0.5,0,214
Rajasthan,Urban,girl,12<=AgW=23,0,79.1,94
Rajasthan,Urban,girl,24<=AgW=35,1,68.9,181
Rajasthan,Urban,girl,36<=Age<=t7,1.8,72.6,170
Rajasthan,Urban,girl,48<=Age<=59,5,83.5,198
Rajasthan,Urban,girl,60<=Age<=71,1.7,92.5,127
Rajasthan,Urban,girl,6<=AgW=11,0,17,279
Rajasthan,Urban,girl,all (0-71 months),1.8,65.4,1263
Uttar Pradesh,Rural,boy,0<=AgW6,6.3,0,751
Uttar Pradesh,Rural,boy,12<=Age<=23,0.2,43.1,395
Uttar Pradesh,Rural,boy,24<=AgW=35,5.5,51.7,750
Uttar Pradesh,Rural,boy,36<=AgWm7,1.6,71.4,872
Uttar Pradesh,Rural,boy,48<=Age<=59,0.6,76,734
Uttar Pradesh,Rural,boy,60<=Age<-71,1.3,82.6,517
Uttar Pradesh,Rural,boy,6<=AgW=11,1.6,12,995
Uttar Pradesh,Rural,boy,all (0-71 months),2.3,53.7,5014
Uttar Pradesh,Rural,children,0<=AgW6,5.8,0,751
Uttar Pradesh,Rural,children,12<=Age<=23,0.9,45.9,395
Uttar Pradesh,Rural,children,24<=AgW=35,3.2,56.7,750
Uttar Pradesh,Rural,children,36<=AgWm7,3,70.8,872
Uttar Pradesh,Rural,children,48<=Age<=59,2.9,75.5,734
Uttar Pradesh,Rural,children,60<=Age<-71,1,83.6,517
Uttar Pradesh,Rural,children,6<=AgW=11,1.2,12.6,995
Uttar Pradesh,Rural,children,all (0-71 months),2.6,54.7,5014
Uttar Pradesh,Rural,girl,0<=AgW6,5.4,0,751
Uttar Pradesh,Rural,girl,12<=Age<=23,1.7,49.1,395
Uttar Pradesh,Rural,girl,24<=AgW=35,0.9,61.7,750
Uttar Pradesh,Rural,girl,36<=AgWm7,4.5,70,872
Uttar Pradesh,Rural,girl,48<=Age<=59,5.7,74.8,734
Uttar Pradesh,Rural,girl,60<=Age<-71,0.7,84.5,517
Uttar Pradesh,Rural,girl,6<=AgW=11,0.7,13.3,995
Uttar Pradesh,Rural,girl,all (0-71 months),2.9,55.9,5014
Uttar Pradesh,Total,boy,0<=AgW6,5.5,0,1275
Uttar Pradesh,Total,boy,12<=AgH=23,0.2,44.4,657
Uttar Pradesh,Total,boy,24<=AgW=35,4.9,53.9,1216
Uttar Pradesh,Total,boy,36<=AgWm7,1.4,71.9,1302
Uttar Pradesh,Total,boy,48<=Age<=59,1.4,75.2,1185
Uttar Pradesh,Total,boy,60<=Age<-71,1.4,79.2,754
Uttar Pradesh,Total,boy,6<=AgW=11,1.4,13.1,1673
Uttar Pradesh,Total,boy,all (0-71 months),2.3,53.8,8062
Uttar Pradesh,Total,children,0<=AgW6,5,0,1275
Uttar Pradesh,Total,children,12<=AgH=23,0.7,45.2,657
Uttar Pradesh,Total,children,24<=AgW=35,3.2,58.9,1216
Uttar Pradesh,Total,children,36<=AgWm7,2.6,71.2,1302
Uttar Pradesh,Total,children,48<=Age<=59,3.1,74.1,1185
Uttar Pradesh,Total,children,60<=Age<-71,1.5,81.3,754
Uttar Pradesh,Total,children,6<=AgW=11,1.1,12.8,1673
Uttar Pradesh,Total,children,all (0-71 months),2.5,54.6,8062
Uttar Pradesh,Total,girl,0<=AgW6,4.5,0,1275
Uttar Pradesh,Total,girl,12<=AgH=23,1.2,46.1,657
Uttar Pradesh,Total,girl,24<=AgW=35,1.5,64.2,1216
Uttar Pradesh,Total,girl,36<=AgWm7,3.9,70.4,1302
Uttar Pradesh,Total,girl,48<=Age<=59,5.2,72.8,1185
Uttar Pradesh,Total,girl,60<=Age<-71,1.7,83.3,754
Uttar Pradesh,Total,girl,6<=AgW=11,0.8,12.5,1673
Uttar Pradesh,Total,girl,all (0-71 months),2.8,55.4,8062
Uttar Pradesh,Urban,boy,0<=AgW6,1.7,0,524
Uttar Pradesh,Urban,boy,12<=Age<=23,0.4,48.9,262
Uttar Pradesh,Urban,boy,24<=AgW=35,3.2,60.5,466
Uttar Pradesh,Urban,boy,36<=AgWm7,0.6,74.3,430
Uttar Pradesh,Urban,boy,48<=Age<=59,4.8,71.3,451
Uttar Pradesh,Urban,boy,60<=Age<-71,1.7,60.9,237
Uttar Pradesh,Urban,boy,6<=AgW=11,0.4,18.6,678
Uttar Pradesh,Urban,boy,all (0-71 months),2.1,54.2,3048
Uttar Pradesh,Urban,children,0<=AgW6,1.5,0,524
Uttar Pradesh,Urban,children,12<=Age<=23,0.2,43.1,262
Uttar Pradesh,Urban,children,24<=AgW=35,3.3,66.4,466
Uttar Pradesh,Urban,children,36<=AgWm7,0.8,73.2,430
Uttar Pradesh,Urban,children,48<=Age<=59,4,67.9,451
Uttar Pradesh,Urban,children,60<=Age<-71,3.9,70.1,237
Uttar Pradesh,Urban,children,6<=AgW=11,0.9,13.9,678
Uttar Pradesh,Urban,children,all (0-71 months),2.2,53.8,3048
Uttar Pradesh,Urban,girl,0<=AgW6,1.3,0,524
Uttar Pradesh,Urban,girl,12<=Age<=23,0,39.1,262
Uttar Pradesh,Urban,girl,24<=AgW=35,3.4,73.2,466
Uttar Pradesh,Urban,girl,36<=AgWm7,0.9,72,430
Uttar Pradesh,Urban,girl,48<=Age<=59,3.1,64.2,451
Uttar Pradesh,Urban,girl,60<=Age<-71,5.8,77.8,237
Uttar Pradesh,Urban,girl,6<=AgW=11,1.5,8.7,678
Uttar Pradesh,Urban,girl,all (0-71 months),2.3,53.5,3048
Bihar,Rural,boy,0<=Age<6,1.3,0,451
Bihar,Rural,boy,12<=Age<=23,3,51.7,153
Bihar,Rural,boy,24<=AgW=35,1.5,44.6,469
Bihar,Rural,boy,36<=AgW=t7,3,60.4,445
Bihar,Rural,boy,48<=Age<=59,4.2,61.9,473
Bihar,Rural,boy,60<=Age<=71,0.9,85,212
Bihar,Rural,boy,6<=Age<=11,0.1,7.1,657
Bihar,Rural,boy,all (0-71 months),2.2,46.5,2860
Bihar,Rural,children,0<=Age<6,0.9,0,451
Bihar,Rural,children,12<=Age<=23,1.5,42.2,153
Bihar,Rural,children,24<=AgW=35,2.2,49.8,469
Bihar,Rural,children,36<=AgW=t7,1.8,60.3,445
Bihar,Rural,children,48<=Age<=59,8.5,62.9,473
Bihar,Rural,children,60<=Age<=71,1.4,79.3,212
Bihar,Rural,children,6<=Age<=11,0.1,9.3,657
Bihar,Rural,children,all (0-71 months),3,48,2860
Bihar,Rural,girl,0<=Age<6,0.5,0,451
Bihar,Rural,girl,12<=Age<=23,0,32.6,153
Bihar,Rural,girl,24<=AgW=35,3,55.5,469
Bihar,Rural,girl,36<=AgW=t7,0.8,60.1,445
Bihar,Rural,girl,48<=Age<=59,13.4,64,473
Bihar,Rural,girl,60<=Age<=71,1.9,74,212
Bihar,Rural,girl,6<=Age<=11,0,12.3,657
Bihar,Rural,girl,all (0-71 months),3.8,49.6,2860
Bihar,Total,boy,0<=Age<6,1.2,0,691
Bihar,Total,boy,12<=Age<=23,3.2,48.8,233
Bihar,Total,boy,24<=Age<=35,1.4,46.4,657
Bihar,Total,boy,36<=AgW=t7,3.2,60.5,651
Bihar,Total,boy,48<=AgW=59,4,62.4,659
Bihar,Total,boy,60<=Age<=71,0.9,84.6,292
Bihar,Total,boy,6<=Age<=11,0.1,7.5,921
Bihar,Total,boy,all (0-71 months),2.2,46.8,4104
Bihar,Total,children,0<=Age<6,0.9,0,691
Bihar,Total,children,12<=Age<=23,1.6,40.6,233
Bihar,Total,children,24<=Age<=35,2.2,50.4,657
Bihar,Total,children,36<=AgW=t7,2,60.4,651
Bihar,Total,children,48<=AgW=59,8.2,63.3,659
Bihar,Total,children,60<=Age<=71,1.4,79.4,292
Bihar,Total,children,6<=Age<=11,0.1,9.6,921
Bihar,Total,children,all (0-71 months),2.9,48.1,4104
Bihar,Total,girl,0<=Age<6,0.6,0,691
Bihar,Total,girl,12<=Age<=23,0,32.4,233
Bihar,Total,girl,24<=Age<=35,3.2,55,657
Bihar,Total,girl,36<=AgW=t7,1,60.4,651
Bihar,Total,girl,48<=AgW=59,13.2,64.3,659
Bihar,Total,girl,60<=Age<=71,1.8,74.7,292
Bihar,Total,girl,6<=Age<=11,0,12.6,921
Bihar,Total,girl,all (0-71 months),3.7,49.4,4104
Bihar,Urban,boy,0<=Age<6,0,0,240
Bihar,Urban,boy,12<=Age<=23,4.4,29.4,80
Bihar,Urban,boy,24<=Age<=35,0.4,61.9,188
Bihar,Urban,boy,36<=AgW=t7,5.4,60.6,206
Bihar,Urban,boy,48<=AgW=59,1,68.8,186
Bihar,Urban,boy,60<=Age<=71,0,78.8,80
Bihar,Urban,boy,6<=Age<=l 1,0,13.3,264
Bihar,Urban,boy,all (0-71 months),1.8,50.6,1244
Bihar,Urban,children,0<=Age<6,0.7,0,240
Bihar,Urban,children,12<=Age<=23,2.3,30.2,80
Bihar,Urban,children,24<=Age<=35,2.2,57.1,188
Bihar,Urban,children,36<=AgW=t7,4.4,62.2,206
Bihar,Urban,children,48<=AgW=59,3.4,69.4,186
Bihar,Urban,children,60<=Age<=71,0.1,80.8,80
Bihar,Urban,children,6<=Age<=l 1,0,14.7,264
Bihar,Urban,children,all (0-71 months),2.4,49.1,1244
Bihar,Urban,girl,0<=Age<6,1.5,0,240
Bihar,Urban,girl,12<=Age<=23,0.3,30.9,80
Bihar,Urban,girl,24<=Age<=35,7.4,43.2,188
Bihar,Urban,girl,36<=AgW=t7,3.3,63.9,206
Bihar,Urban,girl,48<=AgW=59,7.7,70.5,186
Bihar,Urban,girl,60<=Age<=71,0.2,82,80
Bihar,Urban,girl,6<=Age<=l 1,0.1,16.2,264
Bihar,Urban,girl,all (0-71 months),3.1,47.1,1244
Sikkim,Rural,boy,0<=AgW6,1.3,0,52
Sikkim,Rural,boy,12<=AgW=23,0,15.2,4
Sikkim,Rural,boy,24<=Age<=35,0,100,14
Sikkim,Rural,boy,36<=Age<=47,0,98.7,24
Sikkim,Rural,boy,48<=AgW=59,0,98.8,15
Sikkim,Rural,boy,60<=AgW=71,0,100,6
Sikkim,Rural,boy,6<=AgW=11,0,8.9,100
Sikkim,Rural,boy,all (0-71 months),0.1,66,215
Sikkim,Rural,children,0<=AgW6,0.9,0,52
Sikkim,Rural,children,12<=AgW=23,0,15.2,4
Sikkim,Rural,children,24<=Age<=35,0,100,14
Sikkim,Rural,children,36<=Age<=47,0,98.1,24
Sikkim,Rural,children,48<=AgW=59,0,99.3,15
Sikkim,Rural,children,60<=AgW=71,0,94.8,6
Sikkim,Rural,children,6<=AgW=11,0,7.2,100
Sikkim,Rural,children,all (0-71 months),0.1,67.6,215
Sikkim,Rural,girl,0<=AgW6,0,0,52
Sikkim,Rural,girl,12<=AgW=23,0,0,4
Sikkim,Rural,girl,24<=Age<=35,0,100,14
Sikkim,Rural,girl,36<=Age<=47,0,97.3,24
Sikkim,Rural,girl,48<=AgW=59,0,100,15
Sikkim,Rural,girl,60<=AgW=71,0,27.1,6
Sikkim,Rural,girl,6<=AgW=11,0,5.6,100
Sikkim,Rural,girl,all (0-71 months),0,69.6,215
Sikkim,Total,boy,0<=AgW6,1.2,0,71
Sikkim,Total,boy,12<=AgW=23,0,19.1,7
Sikkim,Total,boy,24<=Age<=35,0,74.9,21
Sikkim,Total,boy,36<=Age<=47,0,99.1,32
Sikkim,Total,boy,48<=AgW=59,0,98.6,22
Sikkim,Total,boy,60<=AgW=71,0,100,6
Sikkim,Total,boy,6<=AgW=11,0,7.8,122
Sikkim,Total,boy,all (0-71 months),0.1,66,281
Sikkim,Total,children,0<=AgW6,0.6,0,71
Sikkim,Total,children,12<=AgW=23,0,26.6,7
Sikkim,Total,children,24<=Age<=35,0,91.6,21
Sikkim,Total,children,36<=Age<=47,0,98,32
Sikkim,Total,children,48<=AgW=59,0,99.1,22
Sikkim,Total,children,60<=AgW=71,0,94.8,6
Sikkim,Total,children,6<=AgW=11,0,6,122
Sikkim,Total,children,all (0-71 months),0.1,65.1,281
Sikkim,Total,girl,0<=AgW6,0,0,71
Sikkim,Total,girl,12<=AgW=23,0,100,7
Sikkim,Total,girl,24<=Age<=35,0,96.8,21
Sikkim,Total,girl,36<=Age<=47,0,96.2,32
Sikkim,Total,girl,48<=AgW=59,0,100,22
Sikkim,Total,girl,60<=AgW=71,0,27.1,6
Sikkim,Total,girl,6<=AgW=11,0,4.4,122
Sikkim,Total,girl,all (0-71 months),0,64.1,281
Sikkim,Urban,boy,0<=AgW6,0,0,19
Sikkim,Urban,boy,12<=AgW=23,0,100,3
Sikkim,Urban,boy,24<=Age<=35,0,2.2,7
Sikkim,Urban,boy,36<=Age<=47,0,100,8
Sikkim,Urban,boy,48<=AgW=59,0,91.4,7
Sikkim,Urban,boy,60<=AgW=71,0,0,0
Sikkim,Urban,boy,6<=AgW=11,0,4.1,22
Sikkim,Urban,boy,all (0-71 months),0,65.5,66
Sikkim,Urban,children,0<=AgW6,0,0,19
Sikkim,Urban,children,12<=AgW=23,0,100,3
Sikkim,Urban,children,24<=Age<=35,0,51.4,7
Sikkim,Urban,children,36<=Age<=47,0,97.6,8
Sikkim,Urban,children,48<=AgW=59,0,96.2,7
Sikkim,Urban,children,60<=AgW=71,0,0,0
Sikkim,Urban,children,6<=AgW=11,0,2,22
Sikkim,Urban,children,all (0-71 months),0,53.5,66
Sikkim,Urban,girl,0<=AgW6,0,0,19
Sikkim,Urban,girl,12<=AgW=23,0,100,3
Sikkim,Urban,girl,24<=Age<=35,0,78.1,7
Sikkim,Urban,girl,36<=Age<=47,0,86.9,8
Sikkim,Urban,girl,48<=AgW=59,0,100,7
Sikkim,Urban,girl,60<=AgW=71,0,0,0
Sikkim,Urban,girl,6<=AgW=11,0,0,22
Sikkim,Urban,girl,all (0-71 months),0,39.7,66
Arunachal Pradesh,Rural,boy,0<=AgW6,0,0,52
Arunachal Pradesh,Rural,boy,12<=AgH=23,0,37.4,35
Arunachal Pradesh,Rural,boy,24<=AgW-35,7.4,49,88
Arunachal Pradesh,Rural,boy,36<=AgW=47,14.9,41.2,102
Arunachal Pradesh,Rural,boy,48<=AgW=59,6.9,46.2,90
Arunachal Pradesh,Rural,boy,60<=Age<=71,0.4,57.9,64
Arunachal Pradesh,Rural,boy,6<=AgW=11,0.7,12.3,281
Arunachal Pradesh,Rural,boy,all (0-71 months),5.2,34.6,712
Arunachal Pradesh,Rural,children,0<=AgW6,3.9,0,52
Arunachal Pradesh,Rural,children,12<=AgH=23,9.2,24.3,35
Arunachal Pradesh,Rural,children,24<=AgW-35,5.8,65.8,88
Arunachal Pradesh,Rural,children,36<=AgW=47,14.1,47.4,102
Arunachal Pradesh,Rural,children,48<=AgW=59,7.2,43.9,90
Arunachal Pradesh,Rural,children,60<=Age<=71,2,48.6,64
Arunachal Pradesh,Rural,children,6<=AgW=11,2,15,281
Arunachal Pradesh,Rural,children,all (0-71 months),5.9,38.2,712
Arunachal Pradesh,Rural,girl,0<=AgW6,12.8,0,52
Arunachal Pradesh,Rural,girl,12<=AgH=23,22.8,4.8,35
Arunachal Pradesh,Rural,girl,24<=AgW-35,4.3,81.1,88
Arunachal Pradesh,Rural,girl,36<=AgW=47,13.2,56,102
Arunachal Pradesh,Rural,girl,48<=AgW=59,7.7,40.3,90
Arunachal Pradesh,Rural,girl,60<=Age<=71,3.8,38.5,64
Arunachal Pradesh,Rural,girl,6<=AgW=11,3.3,17.9,281
Arunachal Pradesh,Rural,girl,all (0-71 months),6.7,42.5,712
Arunachal Pradesh,Total,boy,0<=Age<6,0,0,88
Arunachal Pradesh,Total,boy,12<=AgW=23,0,35.2,49
Arunachal Pradesh,Total,boy,24<=AgH=35,5.7,54.1,114
Arunachal Pradesh,Total,boy,36<=AgWm7,13.5,46.4,130
Arunachal Pradesh,Total,boy,48<=AgW=59,5.6,55.1,129
Arunachal Pradesh,Total,boy,60<=Age<=71,4.5,56.7,97
Arunachal Pradesh,Total,boy,6<=AgW=11,0.9,14.4,406
Arunachal Pradesh,Total,boy,all (0-71 months),4.9,38.4,1013
Arunachal Pradesh,Total,children,0<=Age<6,3.1,0,88
Arunachal Pradesh,Total,children,12<=AgW=23,7.6,28.3,49
Arunachal Pradesh,Total,children,24<=AgH=35,4.7,68.8,114
Arunachal Pradesh,Total,children,36<=AgWm7,13.1,50.8,130
Arunachal Pradesh,Total,children,48<=AgW=59,7.5,51.7,129
Arunachal Pradesh,Total,children,60<=Age<=71,4,49.4,97
Arunachal Pradesh,Total,children,6<=AgW=11,1.9,16.5,406
Arunachal Pradesh,Total,children,all (0-71 months),5.5,41.3,1013
Arunachal Pradesh,Total,girl,0<=Age<6,8.2,0,88
Arunachal Pradesh,Total,girl,12<=AgW=23,18.9,18.1,49
Arunachal Pradesh,Total,girl,24<=AgH=35,3.7,83.6,114
Arunachal Pradesh,Total,girl,36<=AgWm7,12.4,57.2,130
Arunachal Pradesh,Total,girl,48<=AgW=59,10.5,46.6,129
Arunachal Pradesh,Total,girl,60<=Age<=71,3.5,40.3,97
Arunachal Pradesh,Total,girl,6<=AgW=11,2.9,18.9,406
Arunachal Pradesh,Total,girl,all (0-71 months),6.3,44.8,1013
Arunachal Pradesh,Urban,boy,0<=Age<6,0,0,36
Arunachal Pradesh,Urban,boy,12<=AgW=23,0,23.9,14
Arunachal Pradesh,Urban,boy,24<=AgH=35,0,70.7,26
Arunachal Pradesh,Urban,boy,36<=AgWm7,0,98,28
Arunachal Pradesh,Urban,boy,48<=AgW=59,0,92.4,39
Arunachal Pradesh,Urban,boy,60<=Age<=71,22.9,51,33
Arunachal Pradesh,Urban,boy,6<=AgW=11,2.4,25.8,125
Arunachal Pradesh,Urban,boy,all (0-71 months),3.3,57.6,301
Arunachal Pradesh,Urban,children,0<=Age<6,0,0,36
Arunachal Pradesh,Urban,children,12<=AgW=23,0,47.8,14
Arunachal Pradesh,Urban,children,24<=AgH=35,0,81.3,26
Arunachal Pradesh,Urban,children,36<=AgWm7,0,91.5,28
Arunachal Pradesh,Urban,children,48<=AgW=59,8.8,82.6,39
Arunachal Pradesh,Urban,children,60<=Age<=71,18,54.7,33
Arunachal Pradesh,Urban,children,6<=AgW=11,1.4,25.8,125
Arunachal Pradesh,Urban,children,all (0-71 months),3.5,58.3,301
Arunachal Pradesh,Urban,girl,0<=Age<6,0,0,36
Arunachal Pradesh,Urban,girl,12<=AgW=23,0,81.8,14
Arunachal Pradesh,Urban,girl,24<=AgH=35,0,97.6,26
Arunachal Pradesh,Urban,girl,36<=AgWm7,0,76.4,28
Arunachal Pradesh,Urban,girl,48<=AgW=59,20.6,69.4,39
Arunachal Pradesh,Urban,girl,60<=Age<=71,0,68.3,33
Arunachal Pradesh,Urban,girl,6<=AgW=11,0,25.8,125
Arunachal Pradesh,Urban,girl,all (0-71 months),3.7,59.4,301
Nagaland,Rural,boy,0<=AgW6,0,0,74
Nagaland,Rural,boy,12<=AgW=23,0,4.5,13
Nagaland,Rural,boy,24<=Age<=35,9.6,6.6,76
Nagaland,Rural,boy,36<=Age<=47,1.4,23.2,74
Nagaland,Rural,boy,48<=AgW=59,15,16.9,73
Nagaland,Rural,boy,60<=AgW=71,0.5,19.1,35
Nagaland,Rural,boy,6<=AgW=11,0,25.1,144
Nagaland,Rural,boy,all (0-71 months),5.3,13.8,489
Nagaland,Rural,children,0<=AgW6,0,0,74
Nagaland,Rural,children,12<=AgW=23,0,3.1,13
Nagaland,Rural,children,24<=Age<=35,5.4,4.5,76
Nagaland,Rural,children,36<=Age<=47,16.1,23.3,74
Nagaland,Rural,children,48<=AgW=59,8.4,11.7,73
Nagaland,Rural,children,60<=AgW=71,6.7,5.9,35
Nagaland,Rural,children,6<=AgW=11,0,15.1,144
Nagaland,Rural,children,all (0-71 months),5.8,9.3,489
Nagaland,Rural,girl,0<=AgW6,0,0,74
Nagaland,Rural,girl,12<=AgW=23,0,0,13
Nagaland,Rural,girl,24<=Age<=35,1.7,2.7,76
Nagaland,Rural,girl,36<=Age<=47,56.3,23.4,74
Nagaland,Rural,girl,48<=AgW=59,0,5,73
Nagaland,Rural,girl,60<=AgW=71,9.3,0.5,35
Nagaland,Rural,girl,6<=AgW=11,0,3.8,144
Nagaland,Rural,girl,all (0-71 months),6.5,4.2,489
Nagaland,Total,boy,0<=AgW6,0,0,119
Nagaland,Total,boy,12<=AgW=23,0,4.4,18
Nagaland,Total,boy,24<=Age<=35,8.4,9.4,105
Nagaland,Total,boy,36<=AgW=47,1.2,24.8,110
Nagaland,Total,boy,48<=AgW=59,18.8,15.6,103
Nagaland,Total,boy,60<=AgW=71,1.8,38,46
Nagaland,Total,boy,6<=AgW=11,0,27.8,213
Nagaland,Total,boy,all (0-71 months),5.5,16.4,714
Nagaland,Total,children,0<=AgW6,0,0,119
Nagaland,Total,children,12<=AgW=23,0,3.1,18
Nagaland,Total,children,24<=Age<=35,5.3,5.9,105
