State,Residence_Type,Gender,Course type,Distribution of students pursuing various courses (%)
Haryana,Urban,Male,commerce,5.5
Haryana,Urban,Male,courses from ITI/ recognised vocational institutes,0.9
Haryana,Urban,Male,engineering,3.6
Haryana,Urban,Male,humanities,10.4
Haryana,Urban,Male,IT/ computer courses,0.5
Haryana,Urban,Male,law,0.4
Haryana,Urban,Male,management,1.1
Haryana,Urban,Male,medicine,1.6
Haryana,Urban,Male,others*,0.9
Haryana,Urban,Male,science,5.4
Haryana,Urban,Male,up to X,69.7
Haryana,Urban,Person,all (incl. n.r.),100
Haryana,Urban,Person,commerce,7.2
Haryana,Urban,Person,courses from ITI/ recognised vocational institutes,1.1
Haryana,Urban,Person,engineering,2.6
Haryana,Urban,Person,humanities,9.7
Haryana,Urban,Person,IT/ computer courses,0.3
Haryana,Urban,Person,law,0.2
Haryana,Urban,Person,management,1
Haryana,Urban,Person,medicine,1.6
Haryana,Urban,Person,others*,1.6
Haryana,Urban,Person,science,6.1
Haryana,Urban,Person,up to X,68.5
Delhi,Rural,Female,all (incl. n.r.),100
Delhi,Rural,Female,commerce,33
Delhi,Rural,Female,courses from ITI/ recognised vocational institutes,0
Delhi,Rural,Female,engineering,0
Delhi,Rural,Female,humanities,21.1
Delhi,Rural,Female,IT/ computer courses,0
Delhi,Rural,Female,law,0
Delhi,Rural,Female,management,0
Delhi,Rural,Female,medicine,1.2
Delhi,Rural,Female,others*,0.3
Delhi,Rural,Female,science,0.3
Delhi,Rural,Female,up to X,44.2
Delhi,Rural,Male,all (incl. n.r.),100
Delhi,Rural,Male,commerce,5.7
Delhi,Rural,Male,courses from ITI/ recognised vocational institutes,0.1
Delhi,Rural,Male,engineering,0.5
Delhi,Rural,Male,humanities,37.5
Delhi,Rural,Male,IT/ computer courses,0.2
Delhi,Rural,Male,law,0
Delhi,Rural,Male,management,0.3
Delhi,Rural,Male,medicine,0.3
Delhi,Rural,Male,others*,0.3
Delhi,Rural,Male,science,0
Delhi,Rural,Male,up to X,55.2
Delhi,Rural,Person,all (incl. n.r.),100
Delhi,Rural,Person,commerce,19.2
Delhi,Rural,Person,courses from ITI/ recognised vocational institutes,0.1
Delhi,Rural,Person,engineering,0.3
Delhi,Rural,Person,humanities,29.4
Delhi,Rural,Person,IT/ computer courses,0.1
Delhi,Rural,Person,law,0
Delhi,Rural,Person,management,0.1
Delhi,Rural,Person,medicine,0.7
Delhi,Rural,Person,others*,0.3
Delhi,Rural,Person,science,0.1
Delhi,Rural,Person,up to X,49.7
Delhi,Total,Female,all (incl. n.r.),100
Delhi,Total,Female,commerce,5.6
Delhi,Total,Female,courses from ITI/ recognised vocational institutes,0
Delhi,Total,Female,engineering,1.2
Delhi,Total,Female,humanities,17.2
Delhi,Total,Female,IT/ computer courses,1.1
Delhi,Total,Female,law,0.2
Delhi,Total,Female,management,0.2
Delhi,Total,Female,medicine,0.6
Delhi,Total,Female,others*,1.1
Delhi,Total,Female,science,4.4
Delhi,Total,Female,up to X,68.4
Delhi,Total,Male,all (incl. n.r.),100
Delhi,Total,Male,commerce,7.9
Delhi,Total,Male,courses from ITI/ recognised vocational institutes,0.2
Delhi,Total,Male,engineering,1.8
Delhi,Total,Male,humanities,12.9
Delhi,Total,Male,IT/ computer courses,0.6
Delhi,Total,Male,law,0.1
Delhi,Total,Male,management,1
Delhi,Total,Male,medicine,0.2
Delhi,Total,Male,others*,2
Delhi,Total,Male,science,4.2
Delhi,Total,Male,up to X,68.9
Delhi,Total,Person,all (incl. n.r.),100
Delhi,Total,Person,commerce,6.9
Delhi,Total,Person,courses from ITI/ recognised vocational institutes,0.1
Delhi,Total,Person,engineering,1.6
Delhi,Total,Person,humanities,14.7
Delhi,Total,Person,IT/ computer courses,0.8
Delhi,Total,Person,law,0.2
Delhi,Total,Person,management,0.7
Delhi,Total,Person,medicine,0.4
Delhi,Total,Person,others*,1.6
Delhi,Total,Person,science,4.3
Delhi,Total,Person,up to X,68.7
Delhi,Urban,Female,all (incl. n.r.),100
Delhi,Urban,Female,commerce,4.7
Delhi,Urban,Female,courses from ITI/ recognised vocational institutes,0
Delhi,Urban,Female,engineering,1.3
Delhi,Urban,Female,humanities,17.1
Delhi,Urban,Female,IT/ computer courses,1.1
Delhi,Urban,Female,law,0.2
Delhi,Urban,Female,management,0.2
Delhi,Urban,Female,medicine,0.6
Delhi,Urban,Female,others*,1.1
Delhi,Urban,Female,science,4.5
Delhi,Urban,Female,up to X,69.2
Delhi,Urban,Male,all (incl. n.r.),100
Delhi,Urban,Male,commerce,7.9
Delhi,Urban,Male,courses from ITI/ recognised vocational institutes,0.2
Delhi,Urban,Male,engineering,1.9
Delhi,Urban,Male,humanities,12.4
Delhi,Urban,Male,IT/ computer courses,0.6
Delhi,Urban,Male,law,0.1
Delhi,Urban,Male,management,1
Delhi,Urban,Male,medicine,0.2
Delhi,Urban,Male,others*,2.1
Delhi,Urban,Male,science,4.3
Delhi,Urban,Male,up to X,69.3
Delhi,Urban,Person,all (incl. n.r.),100
Delhi,Urban,Person,commerce,6.6
Delhi,Urban,Person,courses from ITI/ recognised vocational institutes,0.1
Delhi,Urban,Person,engineering,1.6
Delhi,Urban,Person,humanities,14.3
Delhi,Urban,Person,IT/ computer courses,0.8
Delhi,Urban,Person,law,0.2
Delhi,Urban,Person,management,0.7
Delhi,Urban,Person,medicine,0.4
Delhi,Urban,Person,others*,1.7
Delhi,Urban,Person,science,4.4
Delhi,Urban,Person,up to X,69.2
Rajasthan,Rural,Female,all (incl. n.r.),100
Rajasthan,Rural,Female,commerce,0.3
Rajasthan,Rural,Female,courses from ITI/ recognised vocational institutes,0.1
Rajasthan,Rural,Female,engineering,0.3
Rajasthan,Rural,Female,humanities,15.3
Rajasthan,Rural,Female,IT/ computer courses,0.2
Rajasthan,Rural,Female,law,0
Rajasthan,Rural,Female,management,0
Rajasthan,Rural,Female,medicine,0.2
Rajasthan,Rural,Female,others*,0.8
Rajasthan,Rural,Female,science,2.4
Rajasthan,Rural,Female,up to X,80.6
Rajasthan,Rural,Male,all (incl. n.r.),100
Rajasthan,Rural,Male,commerce,0.8
Rajasthan,Rural,Male,courses from ITI/ recognised vocational institutes,0.9
Rajasthan,Rural,Male,engineering,0.2
Rajasthan,Rural,Male,humanities,16.4
Rajasthan,Rural,Male,IT/ computer courses,0.1
Rajasthan,Rural,Male,law,0
Rajasthan,Rural,Male,management,0
Rajasthan,Rural,Male,medicine,0.1
Rajasthan,Rural,Male,others*,0.6
Rajasthan,Rural,Male,science,3.6
Rajasthan,Rural,Male,up to X,77.3
Rajasthan,Rural,Person,all (incl. n.r.),100
Rajasthan,Rural,Person,commerce,0.6
Rajasthan,Rural,Person,courses from ITI/ recognised vocational institutes,0.6
Rajasthan,Rural,Person,engineering,0.2
Rajasthan,Rural,Person,humanities,15.9
Rajasthan,Rural,Person,IT/ computer courses,0.1
Rajasthan,Rural,Person,law,0
Rajasthan,Rural,Person,management,0
Rajasthan,Rural,Person,medicine,0.1
Rajasthan,Rural,Person,others*,0.7
Rajasthan,Rural,Person,science,3.1
Rajasthan,Rural,Person,up to X,78.7
Rajasthan,Total,Female,all (incl. n.r.),100
Rajasthan,Total,Female,commerce,1.7
Rajasthan,Total,Female,courses from ITI/ recognised vocational institutes,0.1
Rajasthan,Total,Female,engineering,0.3
Rajasthan,Total,Female,humanities,16.3
Rajasthan,Total,Female,IT/ computer courses,0.2
Rajasthan,Total,Female,law,0
Rajasthan,Total,Female,management,0
Rajasthan,Total,Female,medicine,0.4
Rajasthan,Total,Female,others*,1.3
Rajasthan,Total,Female,science,2.7
Rajasthan,Total,Female,up to X,77
Rajasthan,Total,Male,all (incl. n.r.),100
Rajasthan,Total,Male,commerce,1.8
Rajasthan,Total,Male,courses from ITI/ recognised vocational institutes,0.9
Rajasthan,Total,Male,engineering,0.6
Rajasthan,Total,Male,humanities,15.9
Rajasthan,Total,Male,IT/ computer courses,0.1
Rajasthan,Total,Male,law,0.1
Rajasthan,Total,Male,management,0.1
Rajasthan,Total,Male,medicine,0.7
Rajasthan,Total,Male,others*,0.8
Rajasthan,Total,Male,science,4.3
Rajasthan,Total,Male,up to X,74.6
Rajasthan,Total,Person,all (incl. n.r.),100
Rajasthan,Total,Person,commerce,1.8
Rajasthan,Total,Person,courses from ITI/ recognised vocational institutes,0.6
Rajasthan,Total,Person,engineering,0.5
Rajasthan,Total,Person,humanities,16.1
Rajasthan,Total,Person,IT/ computer courses,0.2
Rajasthan,Total,Person,law,0
Rajasthan,Total,Person,management,0.1
Rajasthan,Total,Person,medicine,0.5
Rajasthan,Total,Person,others*,1
Rajasthan,Total,Person,science,3.6
Rajasthan,Total,Person,up to X,75.6
Rajasthan,Urban,Female,all (incl. n.r.),100
Rajasthan,Urban,Female,commerce,6.8
Rajasthan,Urban,Female,courses from ITI/ recognised vocational institutes,0.2
Rajasthan,Urban,Female,engineering,0.5
Rajasthan,Urban,Female,humanities,19.7
Rajasthan,Urban,Female,IT/ computer courses,0.3
Rajasthan,Urban,Female,law,0
Rajasthan,Urban,Female,management,0.1
Rajasthan,Urban,Female,medicine,1
Rajasthan,Urban,Female,others*,2.9
Rajasthan,Urban,Female,science,3.8
Rajasthan,Urban,Female,up to X,64.7
Rajasthan,Urban,Male,all (incl. n.r.),100
Rajasthan,Urban,Male,commerce,5.1
Rajasthan,Urban,Male,courses from ITI/ recognised vocational institutes,0.8
Rajasthan,Urban,Male,engineering,1.7
Rajasthan,Urban,Male,humanities,14.6
Rajasthan,Urban,Male,IT/ computer courses,0.3
Rajasthan,Urban,Male,law,0.2
Rajasthan,Urban,Male,management,0.5
Rajasthan,Urban,Male,medicine,2.4
Rajasthan,Urban,Male,others*,1.4
Rajasthan,Urban,Male,science,6.5
Rajasthan,Urban,Male,up to X,66.3
Rajasthan,Urban,Person,all (incl. n.r.),100
Rajasthan,Urban,Person,commerce,5.8
Rajasthan,Urban,Person,courses from ITI/ recognised vocational institutes,0.5
Rajasthan,Urban,Person,engineering,1.2
Rajasthan,Urban,Person,humanities,16.7
Rajasthan,Urban,Person,IT/ computer courses,0.3
Rajasthan,Urban,Person,law,0.2
Rajasthan,Urban,Person,management,0.4
Rajasthan,Urban,Person,medicine,1.8
Rajasthan,Urban,Person,others*,2
Rajasthan,Urban,Person,science,5.4
Rajasthan,Urban,Person,up to X,65.6
Uttar Pradesh,Rural,Female,all (incl. n.r.),100
Uttar Pradesh,Rural,Female,commerce,0.9
Uttar Pradesh,Rural,Female,courses from ITI/ recognised vocational institutes,0.1
Uttar Pradesh,Rural,Female,engineering,0.1
Uttar Pradesh,Rural,Female,humanities,11.7
Uttar Pradesh,Rural,Female,IT/ computer courses,0
Uttar Pradesh,Rural,Female,law,0
Uttar Pradesh,Rural,Female,management,0.1
Uttar Pradesh,Rural,Female,medicine,0
Uttar Pradesh,Rural,Female,others*,0.8
Uttar Pradesh,Rural,Female,science,5.4
Uttar Pradesh,Rural,Female,up to X,80.9
Uttar Pradesh,Rural,Male,all (incl. n.r.),100
Uttar Pradesh,Rural,Male,commerce,1
Uttar Pradesh,Rural,Male,courses from ITI/ recognised vocational institutes,0.6
Uttar Pradesh,Rural,Male,engineering,0.2
Uttar Pradesh,Rural,Male,humanities,8.6
Uttar Pradesh,Rural,Male,IT/ computer courses,0.2
Uttar Pradesh,Rural,Male,law,0
Uttar Pradesh,Rural,Male,management,0
Uttar Pradesh,Rural,Male,medicine,0.1
Uttar Pradesh,Rural,Male,others*,0.6
Uttar Pradesh,Rural,Male,science,7.5
Uttar Pradesh,Rural,Male,up to X,81.2
Uttar Pradesh,Rural,Person,all (incl. n.r.),100
Uttar Pradesh,Rural,Person,commerce,0.9
Uttar Pradesh,Rural,Person,courses from ITI/ recognised vocational institutes,0.3
Uttar Pradesh,Rural,Person,engineering,0.2
Uttar Pradesh,Rural,Person,humanities,10
Uttar Pradesh,Rural,Person,IT/ computer courses,0.1
Uttar Pradesh,Rural,Person,law,0
Uttar Pradesh,Rural,Person,management,0.1
Uttar Pradesh,Rural,Person,medicine,0
Uttar Pradesh,Rural,Person,others*,0.7
Uttar Pradesh,Rural,Person,science,6.6
Uttar Pradesh,Rural,Person,up to X,81.1
Uttar Pradesh,Total,Female,all (incl. n.r.),100
Uttar Pradesh,Total,Female,commerce,1.1
Uttar Pradesh,Total,Female,courses from ITI/ recognised vocational institutes,0.1
Uttar Pradesh,Total,Female,engineering,0.2
Uttar Pradesh,Total,Female,humanities,11.9
Uttar Pradesh,Total,Female,IT/ computer courses,0
Uttar Pradesh,Total,Female,law,0
Uttar Pradesh,Total,Female,management,0.2
Uttar Pradesh,Total,Female,medicine,0.1
Uttar Pradesh,Total,Female,others*,1
Uttar Pradesh,Total,Female,science,6
Uttar Pradesh,Total,Female,up to X,79.4
Uttar Pradesh,Total,Male,all (incl. n.r.),100
Uttar Pradesh,Total,Male,commerce,1.5
Uttar Pradesh,Total,Male,courses from ITI/ recognised vocational institutes,0.6
Uttar Pradesh,Total,Male,engineering,0.8
Uttar Pradesh,Total,Male,humanities,8.1
Uttar Pradesh,Total,Male,IT/ computer courses,0.5
Uttar Pradesh,Total,Male,law,0.1
Uttar Pradesh,Total,Male,management,0.1
Uttar Pradesh,Total,Male,medicine,0.1
Uttar Pradesh,Total,Male,others*,0.6
Uttar Pradesh,Total,Male,science,8.3
Uttar Pradesh,Total,Male,up to X,79.4
Uttar Pradesh,Total,Person,all (incl. n.r.),100
Uttar Pradesh,Total,Person,commerce,1.3
Uttar Pradesh,Total,Person,courses from ITI/ recognised vocational institutes,0.4
Uttar Pradesh,Total,Person,engineering,0.5
Uttar Pradesh,Total,Person,humanities,9.7
Uttar Pradesh,Total,Person,IT/ computer courses,0.3
Uttar Pradesh,Total,Person,law,0.1
Uttar Pradesh,Total,Person,management,0.1
Uttar Pradesh,Total,Person,medicine,0.1
Uttar Pradesh,Total,Person,others*,0.8
Uttar Pradesh,Total,Person,science,7.3
Uttar Pradesh,Total,Person,up to X,79.4
Uttar Pradesh,Urban,Female,all (incl. n.r.),100
Uttar Pradesh,Urban,Female,commerce,2.1
Uttar Pradesh,Urban,Female,courses from ITI/ recognised vocational institutes,0.1
Uttar Pradesh,Urban,Female,engineering,0.6
Uttar Pradesh,Urban,Female,humanities,12.5
Uttar Pradesh,Urban,Female,IT/ computer courses,0.1
Uttar Pradesh,Urban,Female,law,0.1
Uttar Pradesh,Urban,Female,management,0.5
Uttar Pradesh,Urban,Female,medicine,0.4
Uttar Pradesh,Urban,Female,others*,1.6
Uttar Pradesh,Urban,Female,science,8.3
Uttar Pradesh,Urban,Female,up to X,73.5
Uttar Pradesh,Urban,Male,all (incl. n.r.),100
Uttar Pradesh,Urban,Male,commerce,3.4
Uttar Pradesh,Urban,Male,courses from ITI/ recognised vocational institutes,0.7
Uttar Pradesh,Urban,Male,engineering,2.8
Uttar Pradesh,Urban,Male,humanities,5.9
Uttar Pradesh,Urban,Male,IT/ computer courses,1.6
Uttar Pradesh,Urban,Male,law,0.3
Uttar Pradesh,Urban,Male,management,0.4
Uttar Pradesh,Urban,Male,medicine,0.4
Uttar Pradesh,Urban,Male,others*,0.8
Uttar Pradesh,Urban,Male,science,11.2
Uttar Pradesh,Urban,Male,up to X,72.6
Uttar Pradesh,Urban,Person,all (incl. n.r.),100
Uttar Pradesh,Urban,Person,commerce,2.9
Uttar Pradesh,Urban,Person,courses from ITI/ recognised vocational institutes,0.4
Uttar Pradesh,Urban,Person,engineering,1.8
Uttar Pradesh,Urban,Person,humanities,8.8
Uttar Pradesh,Urban,Person,IT/ computer courses,1
Uttar Pradesh,Urban,Person,law,0.2
Uttar Pradesh,Urban,Person,management,0.4
Uttar Pradesh,Urban,Person,medicine,0.4
Uttar Pradesh,Urban,Person,others*,1.2
Uttar Pradesh,Urban,Person,science,9.9
Uttar Pradesh,Urban,Person,up to X,73
Bihar,Rural,Female,all (incl. n.r.),100
Bihar,Rural,Female,commerce,0.3
Bihar,Rural,Female,courses from ITI/ recognised vocational institutes,0
Bihar,Rural,Female,engineering,0
Bihar,Rural,Female,humanities,7.8
Bihar,Rural,Female,IT/ computer courses,0
Bihar,Rural,Female,law,0
Bihar,Rural,Female,management,0.1
Bihar,Rural,Female,medicine,0
Bihar,Rural,Female,others*,0
Bihar,Rural,Female,science,1.4
Bihar,Rural,Female,up to X,90.2
Bihar,Rural,Male,all (incl. n.r.),100
Bihar,Rural,Male,commerce,1.5
Bihar,Rural,Male,courses from ITI/ recognised vocational institutes,0.7
Bihar,Rural,Male,engineering,0
Bihar,Rural,Male,humanities,8.4
Bihar,Rural,Male,IT/ computer courses,0.1
Bihar,Rural,Male,law,0
Bihar,Rural,Male,management,0
Bihar,Rural,Male,medicine,0
Bihar,Rural,Male,others*,0.1
Bihar,Rural,Male,science,3
Bihar,Rural,Male,up to X,86.1
Bihar,Rural,Person,all (incl. n.r.),100
Bihar,Rural,Person,commerce,1.1
Bihar,Rural,Person,courses from ITI/ recognised vocational institutes,0.4
Bihar,Rural,Person,engineering,0
Bihar,Rural,Person,humanities,8.2
Bihar,Rural,Person,IT/ computer courses,0.1
Bihar,Rural,Person,law,0
Bihar,Rural,Person,management,0
Bihar,Rural,Person,medicine,0
Bihar,Rural,Person,others*,0.1
Bihar,Rural,Person,science,2.4
Bihar,Rural,Person,up to X,87.7
Bihar,Total,Female,all (incl. n.r.),100
Bihar,Total,Female,commerce,0.5
Bihar,Total,Female,courses from ITI/ recognised vocational institutes,0
Bihar,Total,Female,engineering,0
Bihar,Total,Female,humanities,8.5
Bihar,Total,Female,IT/ computer courses,0
Bihar,Total,Female,law,0
Bihar,Total,Female,management,0.1
Bihar,Total,Female,medicine,0
Bihar,Total,Female,others*,0.1
Bihar,Total,Female,science,1.9
Bihar,Total,Female,up to X,88.9
Bihar,Total,Male,all (incl. n.r.),100
Bihar,Total,Male,commerce,1.5
Bihar,Total,Male,courses from ITI/ recognised vocational institutes,0.7
Bihar,Total,Male,engineering,0.1
Bihar,Total,Male,humanities,8.4
Bihar,Total,Male,IT/ computer courses,0.2
Bihar,Total,Male,law,0
Bihar,Total,Male,management,0
Bihar,Total,Male,medicine,0
Bihar,Total,Male,others*,0.2
Bihar,Total,Male,science,3.6
Bihar,Total,Male,up to X,85.3
Bihar,Total,Person,all (incl. n.r.),100
Bihar,Total,Person,commerce,1.1
Bihar,Total,Person,courses from ITI/ recognised vocational institutes,0.5
Bihar,Total,Person,engineering,0.1
Bihar,Total,Person,humanities,8.5
Bihar,Total,Person,IT/ computer courses,0.1
Bihar,Total,Person,law,0
Bihar,Total,Person,management,0.1
Bihar,Total,Person,medicine,0
Bihar,Total,Person,others*,0.1
Bihar,Total,Person,science,2.9
Bihar,Total,Person,up to X,86.7
Bihar,Urban,Female,all (incl. n.r.),100
Bihar,Urban,Female,commerce,1.9
Bihar,Urban,Female,courses from ITI/ recognised vocational institutes,0.1
Bihar,Urban,Female,engineering,0.1
Bihar,Urban,Female,humanities,14.1
Bihar,Urban,Female,IT/ computer courses,0.1
Bihar,Urban,Female,law,0
Bihar,Urban,Female,management,0
Bihar,Urban,Female,medicine,0.1
Bihar,Urban,Female,others*,0.4
Bihar,Urban,Female,science,5.2
Bihar,Urban,Female,up to X,78
Bihar,Urban,Male,all (incl. n.r.),100
Bihar,Urban,Male,commerce,1.5
Bihar,Urban,Male,courses from ITI/ recognised vocational institutes,1
Bihar,Urban,Male,engineering,0.3
Bihar,Urban,Male,humanities,8.7
Bihar,Urban,Male,IT/ computer courses,0.4
Bihar,Urban,Male,law,0
Bihar,Urban,Male,management,0.2
Bihar,Urban,Male,medicine,0.1
Bihar,Urban,Male,others*,0.5
Bihar,Urban,Male,science,8.8
Bihar,Urban,Male,up to X,78.5
Bihar,Urban,Person,all (incl. n.r.),100
Bihar,Urban,Person,commerce,1.7
Bihar,Urban,Person,courses from ITI/ recognised vocational institutes,0.6
Bihar,Urban,Person,engineering,0.2
Bihar,Urban,Person,humanities,10.8
Bihar,Urban,Person,IT/ computer courses,0.3
Bihar,Urban,Person,law,0
Bihar,Urban,Person,management,0.1
Bihar,Urban,Person,medicine,0.1
Bihar,Urban,Person,others*,0.5
Bihar,Urban,Person,science,7.4
Bihar,Urban,Person,up to X,78.3
Sikkim,Rural,Female,all (incl. n.r.),100
Sikkim,Rural,Female,commerce,4.3
Sikkim,Rural,Female,courses from ITI/ recognised vocational institutes,0
Sikkim,Rural,Female,engineering,0.1
Sikkim,Rural,Female,humanities,18.9
Sikkim,Rural,Female,IT/ computer courses,0.1
Sikkim,Rural,Female,law,0
Sikkim,Rural,Female,management,0
Sikkim,Rural,Female,medicine,0
Sikkim,Rural,Female,others*,0.5
Sikkim,Rural,Female,science,0.2
Sikkim,Rural,Female,up to X,75.9
Sikkim,Rural,Male,all (incl. n.r.),100
Sikkim,Rural,Male,commerce,7.2
Sikkim,Rural,Male,courses from ITI/ recognised vocational institutes,0.1
Sikkim,Rural,Male,engineering,0.2
Sikkim,Rural,Male,humanities,10.5
Sikkim,Rural,Male,IT/ computer courses,0.1
Sikkim,Rural,Male,law,0
Sikkim,Rural,Male,management,0
Sikkim,Rural,Male,medicine,0
Sikkim,Rural,Male,others*,0
Sikkim,Rural,Male,science,2.9
Sikkim,Rural,Male,up to X,79
Sikkim,Rural,Person,all (incl. n.r.),100
Sikkim,Rural,Person,commerce,5.7
Sikkim,Rural,Person,courses from ITI/ recognised vocational institutes,0
Sikkim,Rural,Person,engineering,0.2
Sikkim,Rural,Person,humanities,14.9
Sikkim,Rural,Person,IT/ computer courses,0.1
Sikkim,Rural,Person,law,0
Sikkim,Rural,Person,management,0
Sikkim,Rural,Person,medicine,0
Sikkim,Rural,Person,others*,0.2
Sikkim,Rural,Person,science,1.5
Sikkim,Rural,Person,up to X,77.4
Sikkim,Total,Female,all (incl. n.r.),100
Sikkim,Total,Female,commerce,4.8
Sikkim,Total,Female,courses from ITI/ recognised vocational institutes,0
Sikkim,Total,Female,engineering,0.1
Sikkim,Total,Female,humanities,18.8
Sikkim,Total,Female,IT/ computer courses,0
Sikkim,Total,Female,law,0
Sikkim,Total,Female,management,0.1
Sikkim,Total,Female,medicine,0
Sikkim,Total,Female,others*,0.4
Sikkim,Total,Female,science,1.7
Sikkim,Total,Female,up to X,74.2
Sikkim,Total,Male,all (incl. n.r.),100
Sikkim,Total,Male,commerce,7.4
Sikkim,Total,Male,courses from ITI/ recognised vocational institutes,0.1
Sikkim,Total,Male,engineering,0.2
Sikkim,Total,Male,humanities,10.8
Sikkim,Total,Male,IT/ computer courses,0.2
Sikkim,Total,Male,law,0
Sikkim,Total,Male,management,0
Sikkim,Total,Male,medicine,5.2
Sikkim,Total,Male,others*,0
Sikkim,Total,Male,science,3.2
Sikkim,Total,Male,up to X,73
Sikkim,Total,Person,all (incl. n.r.),100
Sikkim,Total,Person,commerce,6.1
Sikkim,Total,Person,courses from ITI/ recognised vocational institutes,0
Sikkim,Total,Person,engineering,0.1
Sikkim,Total,Person,humanities,14.8
Sikkim,Total,Person,IT/ computer courses,0.1
Sikkim,Total,Person,law,0
Sikkim,Total,Person,management,0
Sikkim,Total,Person,medicine,2.6
Sikkim,Total,Person,others*,0.2
Sikkim,Total,Person,science,2.4
Sikkim,Total,Person,up to X,73.6
Sikkim,Urban,Female,all (incl. n.r.),100
Sikkim,Urban,Female,commerce,6.2
Sikkim,Urban,Female,courses from ITI/ recognised vocational institutes,0.2
Sikkim,Urban,Female,engineering,0
Sikkim,Urban,Female,humanities,18.2
Sikkim,Urban,Female,IT/ computer courses,0
Sikkim,Urban,Female,law,0
Sikkim,Urban,Female,management,0.2
Sikkim,Urban,Female,medicine,0.2
Sikkim,Urban,Female,others*,0
Sikkim,Urban,Female,science,6.7
Sikkim,Urban,Female,up to X,68.4
Sikkim,Urban,Male,all (incl. n.r.),100
Sikkim,Urban,Male,commerce,7.8
Sikkim,Urban,Male,courses from ITI/ recognised vocational institutes,0
Sikkim,Urban,Male,engineering,0.1
Sikkim,Urban,Male,humanities,11.3
Sikkim,Urban,Male,IT/ computer courses,0.6
Sikkim,Urban,Male,law,0
Sikkim,Urban,Male,management,0
Sikkim,Urban,Male,medicine,17.3
Sikkim,Urban,Male,others*,0
Sikkim,Urban,Male,science,3.7
Sikkim,Urban,Male,up to X,59.1
Sikkim,Urban,Person,all (incl. n.r.),100
Sikkim,Urban,Person,commerce,7.1
Sikkim,Urban,Person,courses from ITI/ recognised vocational institutes,0.1
Sikkim,Urban,Person,engineering,0.1
Sikkim,Urban,Person,humanities,14.3
Sikkim,Urban,Person,IT/ computer courses,0.3
Sikkim,Urban,Person,law,0
Sikkim,Urban,Person,management,0.1
Sikkim,Urban,Person,medicine,9.9
Sikkim,Urban,Person,others*,0
Sikkim,Urban,Person,science,5
Sikkim,Urban,Person,up to X,63.1
Arunachal Pradesh,Rural,Female,all (incl. n.r.),100
Arunachal Pradesh,Rural,Female,commerce,0.4
Arunachal Pradesh,Rural,Female,courses from ITI/ recognised vocational institutes,0
Arunachal Pradesh,Rural,Female,engineering,0.8
Arunachal Pradesh,Rural,Female,humanities,16
Arunachal Pradesh,Rural,Female,IT/ computer courses,0.3
Arunachal Pradesh,Rural,Female,law,0
Arunachal Pradesh,Rural,Female,management,0.2
Arunachal Pradesh,Rural,Female,medicine,0.2
Arunachal Pradesh,Rural,Female,others*,0.4
Arunachal Pradesh,Rural,Female,science,0.9
Arunachal Pradesh,Rural,Female,up to X,80.7
Arunachal Pradesh,Rural,Male,all (incl. n.r.),100
Arunachal Pradesh,Rural,Male,commerce,0.1
Arunachal Pradesh,Rural,Male,courses from ITI/ recognised vocational institutes,0.3
Arunachal Pradesh,Rural,Male,engineering,2.7
Arunachal Pradesh,Rural,Male,humanities,19.6
Arunachal Pradesh,Rural,Male,IT/ computer courses,0.3
Arunachal Pradesh,Rural,Male,law,0
Arunachal Pradesh,Rural,Male,management,0
Arunachal Pradesh,Rural,Male,medicine,0.1
Arunachal Pradesh,Rural,Male,others*,1.4
Arunachal Pradesh,Rural,Male,science,1.2
Arunachal Pradesh,Rural,Male,up to X,74.4
Arunachal Pradesh,Rural,Person,all (incl. n.r.),100
Arunachal Pradesh,Rural,Person,commerce,0.2
Arunachal Pradesh,Rural,Person,courses from ITI/ recognised vocational institutes,0.1
Arunachal Pradesh,Rural,Person,engineering,1.9
Arunachal Pradesh,Rural,Person,humanities,18
Arunachal Pradesh,Rural,Person,IT/ computer courses,0.3
Arunachal Pradesh,Rural,Person,law,0
Arunachal Pradesh,Rural,Person,management,0.1
Arunachal Pradesh,Rural,Person,medicine,0.1
Arunachal Pradesh,Rural,Person,others*,0.9
Arunachal Pradesh,Rural,Person,science,1.1
Arunachal Pradesh,Rural,Person,up to X,77.1
Arunachal Pradesh,Total,Female,all (incl. n.r.),100
Arunachal Pradesh,Total,Female,commerce,0.6
Arunachal Pradesh,Total,Female,courses from ITI/ recognised vocational institutes,0
Arunachal Pradesh,Total,Female,engineering,1
Arunachal Pradesh,Total,Female,humanities,17.8
Arunachal Pradesh,Total,Female,IT/ computer courses,0.3
Arunachal Pradesh,Total,Female,law,0
Arunachal Pradesh,Total,Female,management,0.2
Arunachal Pradesh,Total,Female,medicine,0.2
Arunachal Pradesh,Total,Female,others*,0.6
Arunachal Pradesh,Total,Female,science,1.3
Arunachal Pradesh,Total,Female,up to X,77.9
Arunachal Pradesh,Total,Male,all (incl. n.r.),100
Arunachal Pradesh,Total,Male,commerce,0.5
Arunachal Pradesh,Total,Male,courses from ITI/ recognised vocational institutes,0.2
Arunachal Pradesh,Total,Male,engineering,2.9
Arunachal Pradesh,Total,Male,humanities,21
Arunachal Pradesh,Total,Male,IT/ computer courses,0.3
Arunachal Pradesh,Total,Male,law,0
Arunachal Pradesh,Total,Male,management,0
